"通貨ペア","日付","始値","高値","安値","終値"
"2","2019/11/11",120.355,120.638,119.250,120.228
"2","2019/11/04",120.800,121.298,120.138,120.378
"2","2019/10/28",120.416,121.468,120.281,120.764
"2","2019/10/21",120.957,121.475,120.353,120.397
"2","2019/10/14",119.596,121.355,119.115,121.023
"2","2019/10/07",117.087,119.999,117.087,119.641
"2","2019/09/30",118.135,118.171,117.070,117.332
"2","2019/09/23",118.649,118.790,117.444,118.108
"2","2019/09/16",119.247,119.822,118.495,118.51
"2","2019/09/09",117.790,120.010,117.553,119.757
"2","2019/09/02",116.405,118.612,115.865,117.905
"2","2019/08/26",116.810,118.191,116.537,116.764
"2","2019/08/19",117.920,118.478,117.260,117.432
"2","2019/08/12",118.286,119.587,117.515,117.928
"2","2019/08/05",118.358,119.859,117.667,118.327
"2","2019/07/29",120.905,121.378,118.262,118.36
"2","2019/07/22",120.839,121.376,120.051,120.907
"2","2019/07/15",121.585,121.852,120.780,120.843
"2","2019/07/08",121.723,122.320,121.514,121.594
"2","2019/07/01",122.981,123.348,121.314,121.8
"2","2019/06/24",121.995,122.894,121.653,122.625
"2","2019/06/17",121.618,122.126,120.952,122.022
"2","2019/06/10",122.844,123.177,121.588,121.645
"2","2019/06/03",120.945,122.716,120.783,122.598
"2","2019/05/27",122.529,122.805,120.920,120.98
"2","2019/05/20",122.836,123.750,122.147,122.475
"2","2019/05/13",123.345,123.399,122.082,122.742
"2","2019/05/06",123.643,124.298,122.485,123.567
"2","2019/04/29",124.430,125.230,124.278,124.475
"2","2019/04/22",125.805,126.067,124.090,124.539
"2","2019/04/15",126.530,126.808,125.651,125.835
"2","2019/04/08",125.259,126.769,124.778,126.532
"2","2019/04/01",124.553,125.517,124.440,125.282
"2","2019/03/25",124.242,125.011,123.653,124.286
"2","2019/03/18",126.189,126.791,123.821,124.175
"2","2019/03/11",124.820,126.572,124.481,126.305
"2","2019/03/04",127.293,127.382,124.275,124.875
"2","2019/02/25",125.412,127.500,125.342,127.21
"2","2019/02/18",124.717,125.938,124.693,125.376
"2","2019/02/11",124.252,125.539,124.219,124.688
"2","2019/02/04",125.394,125.947,124.173,124.264
"2","2019/01/28",124.875,125.735,124.363,125.438
"2","2019/01/21",124.592,125.317,123.790,124.944
"2","2019/01/14",124.362,124.973,123.398,124.727
"2","2019/01/07",123.637,125.096,123.407,124.427
"2","2018/12/31",126.143,126.440,120.501,123.627
"2","2018/12/24",126.113,127.087,125.542,126.216
"2","2018/12/17",128.132,128.594,126.381,126.39
"2","2018/12/10",128.283,129.254,127.984,128.175
"2","2018/12/03",128.988,129.150,127.618,128.521
"2","2018/11/26",128.024,129.271,127.927,128.476
"2","2018/11/19",128.715,129.100,127.820,127.938
"2","2018/11/12",128.825,129.230,127.498,128.832
"2","2018/11/05",128.834,130.149,128.597,129.003
"2","2018/10/29",127.527,129.326,127.247,128.953
"2","2018/10/22",129.563,130.202,126.633,127.573
"2","2018/10/15",129.545,130.294,128.322,129.575
"2","2018/10/08",131.051,131.248,129.194,129.681
"2","2018/10/01",132.020,132.462,130.601,130.976
"2","2018/09/24",132.137,133.118,131.180,131.903
"2","2018/09/17",130.215,133.135,130.098,132.344
"2","2018/09/10",128.229,131.113,127.863,130.183
"2","2018/09/03",128.809,129.982,128.017,128.271
"2","2018/08/27",129.350,130.865,128.555,128.964
"2","2018/08/20",126.386,129.419,126.074,129.277
"2","2018/08/13",125.795,126.991,124.901,126.437
"2","2018/08/06",128.635,129.455,126.008,126.53
