"通貨ペア","日付","始値","高値","安値","終値"
"3","2019/10/28",1.10767,1.11756,1.10735,1.11634
"3","2019/10/21",1.11535,1.11795,1.10730,1.10782
"3","2019/10/14",1.10340,1.11660,1.09912,1.11627
"3","2019/10/07",1.09765,1.10626,1.09410,1.10369
"3","2019/09/30",1.09389,1.09993,1.08790,1.09777
"3","2019/09/23",1.10135,1.10253,1.09046,1.09412
"3","2019/09/16",1.10707,1.10863,1.09901,1.10194
"3","2019/09/09",1.10241,1.11096,1.09267,1.10782
"3","2019/09/02",1.09862,1.10848,1.09258,1.10275
"3","2019/08/26",1.11452,1.11611,1.09631,1.09897
"3","2019/08/19",1.10904,1.11534,1.10513,1.11372
"3","2019/08/12",1.11988,1.12306,1.10664,1.10898
"3","2019/08/05",1.11052,1.12497,1.11037,1.12024
"3","2019/07/29",1.11251,1.11621,1.10269,1.11054
"3","2019/07/22",1.12151,1.12254,1.11013,1.11274
"3","2019/07/15",1.12665,1.12838,1.11998,1.12176
"3","2019/07/08",1.12247,1.12856,1.11932,1.12691
"3","2019/07/01",1.13626,1.13711,1.12073,1.12267
"3","2019/06/24",1.13704,1.14121,1.13440,1.13691
"3","2019/06/17",1.12081,1.13778,1.11813,1.13689
"3","2019/06/10",1.13255,1.13434,1.12024,1.12072
"3","2019/06/03",1.11657,1.13479,1.11602,1.1333
"3","2019/05/27",1.12080,1.12151,1.11160,1.1166
"3","2019/05/20",1.11589,1.12121,1.11069,1.12061
"3","2019/05/13",1.12339,1.12634,1.11550,1.11566
"3","2019/05/06",1.11775,1.12536,1.11666,1.12383
"3","2019/04/29",1.11457,1.12648,1.11351,1.12019
"3","2019/04/22",1.12416,1.12619,1.11098,1.11493
"3","2019/04/15",1.12990,1.13237,1.12258,1.12445
"3","2019/04/08",1.12141,1.13237,1.12129,1.12974
"3","2019/04/01",1.12263,1.12547,1.11837,1.12159
"3","2019/03/25",1.12923,1.13314,1.12098,1.12161
"3","2019/03/18",1.13192,1.14483,1.12731,1.12966
"3","2019/03/11",1.12313,1.13444,1.12217,1.13283
"3","2019/03/04",1.13799,1.13815,1.11762,1.12332
"3","2019/02/25",1.13333,1.14197,1.13258,1.13643
"3","2019/02/18",1.12907,1.13711,1.12754,1.13319
"3","2019/02/11",1.13171,1.13416,1.12340,1.12918
"3","2019/02/04",1.14497,1.14604,1.13209,1.1324
"3","2019/01/28",1.13998,1.15141,1.13901,1.14557
"3","2019/01/21",1.13586,1.14177,1.12894,1.14113
"3","2019/01/14",1.14572,1.14896,1.13532,1.1365
"3","2019/01/07",1.13949,1.15698,1.13935,1.14618
"3","2018/12/31",1.14329,1.14968,1.13013,1.13986
"3","2018/12/24",1.13687,1.14728,1.13428,1.1443
"3","2018/12/17",1.12995,1.14858,1.12995,1.13603
"3","2018/12/10",1.13898,1.14426,1.12696,1.13049
"3","2018/12/03",1.13491,1.14235,1.13108,1.14063
"3","2018/11/26",1.13384,1.14017,1.12668,1.13158
"3","2018/11/19",1.14110,1.14723,1.13261,1.13299
"3","2018/11/12",1.13186,1.14202,1.12153,1.14147
"3","2018/11/05",1.13840,1.14996,1.13158,1.13371
"3","2018/10/29",1.13957,1.14559,1.13022,1.13906
"3","2018/10/22",1.15115,1.15501,1.13356,1.14026
"3","2018/10/15",1.15492,1.16212,1.14328,1.15171
"3","2018/10/08",1.15198,1.16104,1.14320,1.15602
"3","2018/10/01",1.16078,1.16243,1.14632,1.15213
"3","2018/09/24",1.17431,1.18151,1.15697,1.16025
"3","2018/09/17",1.16243,1.18028,1.16178,1.17528
"3","2018/09/10",1.15482,1.17215,1.15257,1.16234
"3","2018/09/03",1.15944,1.16591,1.15300,1.15568
"3","2018/08/27",1.16216,1.17336,1.15845,1.16088
"3","2018/08/20",1.14339,1.16397,1.13940,1.16224
"3","2018/08/13",1.13832,1.14447,1.13008,1.144
"3","2018/08/06",1.15657,1.16281,1.13880,1.14144
"3","2018/07/30",1.16557,1.17459,1.15600,1.15649
"3","2018/07/23",1.17213,1.17503,1.16203,1.16602
"3","2018/07/16",1.16829,1.17445,1.15748,1.17169
"3","2018/07/09",1.17451,1.17906,1.16128,1.16841
"3","2018/07/02",1.16643,1.17677,1.15912,1.17444
"3","2018/06/25",1.16626,1.17205,1.15271,1.16876
