"通貨ペア","日付","始値","高値","安値","終値"
"4","2019/10/07",131.375,137.893,130.427,137.04
"4","2019/09/30",132.685,133.355,131.278,131.807
"4","2019/09/23",134.267,134.594,132.314,132.683
"4","2019/09/16",134.549,135.749,133.876,134.167
"4","2019/09/09",131.121,135.159,130.809,135.048
"4","2019/09/02",128.671,132.165,126.669,131.401
"4","2019/08/26",128.580,130.385,128.137,129.176
"4","2019/08/19",129.107,130.683,128.268,129.487
"4","2019/08/12",127.057,129.575,126.549,129.12
"4","2019/08/05",129.424,130.066,126.969,127.021
"4","2019/07/29",134.499,134.544,129.077,129.615
"4","2019/07/22",134.696,135.669,134.244,134.539
"4","2019/07/15",135.600,135.844,133.848,134.618
"4","2019/07/08",135.800,136.280,135.080,135.682
"4","2019/07/01",137.372,137.780,135.168,135.873
"4","2019/06/24",136.609,137.336,135.805,136.901
"4","2019/06/17",136.534,137.186,135.374,136.709
"4","2019/06/10",138.075,138.325,136.512,136.61
"4","2019/06/03",136.823,138.168,136.559,137.781
"4","2019/05/27",139.017,139.641,136.632,136.828
"4","2019/05/20",140.169,141.732,138.509,138.917
"4","2019/05/13",142.717,142.869,139.544,139.939
"4","2019/05/06",145.501,145.946,142.232,143
"4","2019/04/29",144.133,146.507,144.048,146.289
"4","2019/04/22",145.292,145.627,143.769,144.262
"4","2019/04/15",146.338,146.997,145.263,145.366
"4","2019/04/08",145.516,147.014,144.785,146.409
"4","2019/04/01",144.557,147.197,144.388,145.611
"4","2019/03/25",145.297,146.508,143.812,144.255
"4","2019/03/18",148.163,148.387,144.134,145.144
"4","2019/03/11",144.250,148.875,143.724,148.113
"4","2019/03/04",148.147,148.309,144.317,144.657
"4","2019/02/25",144.637,148.569,144.387,147.863
"4","2019/02/18",142.539,145.048,142.477,144.422
"4","2019/02/11",141.976,143.334,141.008,142.303
"4","2019/02/04",143.037,144.173,141.128,141.949
"4","2019/01/28",144.384,144.723,142.077,143.263
"4","2019/01/21",141.190,144.841,140.625,144.491
"4","2019/01/14",139.474,142.214,137.340,141.262
"4","2019/01/07",138.020,139.486,137.447,139.373
"4","2018/12/31",139.969,140.874,133.680,138.05
"4","2018/12/24",140.237,140.932,139.498,140.029
"4","2018/12/17",142.782,143.239,140.240,140.539
"4","2018/12/10",143.024,143.934,141.174,142.608
"4","2018/12/03",145.026,145.512,142.845,143.561
"4","2018/11/26",144.799,145.838,144.515,144.683
"4","2018/11/19",144.843,145.951,143.969,144.656
"4","2018/11/12",146.945,148.734,144.252,144.757
"4","2018/11/05",147.314,149.485,146.852,147.61
"4","2018/10/29",143.473,147.255,143.213,146.826
"4","2018/10/22",147.029,147.579,142.769,143.554
"4","2018/10/15",146.885,148.405,145.809,147.017
"4","2018/10/08",149.226,149.510,147.162,147.569
"4","2018/10/01",148.203,149.421,147.192,149.04
"4","2018/09/24",147.130,149.090,146.944,148.171
"4","2018/09/17",146.377,149.714,146.313,147.325
"4","2018/09/10",143.405,147.022,143.069,146.359
"4","2018/09/03",143.488,144.972,142.591,143.385
"4","2018/08/27",142.941,145.687,142.527,143.972
"4","2018/08/20",140.842,143.238,140.664,142.884
"4","2018/08/13",140.899,142.472,139.895,140.902
"4","2018/08/06",144.562,144.735,140.934,141.549
"4","2018/07/30",145.425,147.145,144.509,144.686
"4","2018/07/23",146.187,146.508,145.268,145.451
"4","2018/07/16",148.532,149.311,145.973,146.391
"4","2018/07/09",146.971,148.899,146.111,148.662
"4","2018/07/02",146.014,146.870,145.184,146.595
"4","2018/06/25",145.779,146.330,143.769,146.163
"4","2018/06/18",146.885,146.906,144.382,145.831
"4","2018/06/11",146.553,147.984,146.293,146.943
"4","2018/06/04",146.075,148.118,145.838,146.709
"4","2018/05/28",146.107,146.291,143.194,146.173
"4","2018/05/21",149.339,149.722,145.277,145.765
"4","2018/05/14",147.995,150.005,147.993,149.228
"4","2018/05/07",147.596,149.306,147.049,148.022
"4","2018/04/30",150.214,150.844,147.061,147.587
