"通貨ペア","日付","始値","高値","安値","終値"
"5","2019/08/12",1.20308,1.21754,1.20131,1.21435
"5","2019/08/05",1.21438,1.22094,1.20242,1.20254
"5","2019/07/29",1.23742,1.23812,1.20793,1.21608
"5","2019/07/22",1.25019,1.25223,1.23756,1.23813
"5","2019/07/15",1.25676,1.25761,1.23816,1.24979
"5","2019/07/08",1.25225,1.25758,1.24391,1.25751
"5","2019/07/01",1.26955,1.27055,1.24809,1.25234
"5","2019/06/24",1.27322,1.27836,1.26586,1.26928
"5","2019/06/17",1.25846,1.27458,1.25058,1.27371
"5","2019/06/10",1.27275,1.27585,1.25787,1.25849
"5","2019/06/03",1.26302,1.27628,1.26102,1.27359
"5","2019/05/27",1.27155,1.27478,1.25586,1.2628
"5","2019/05/20",1.27284,1.28129,1.26050,1.27114
"5","2019/05/13",1.29961,1.30407,1.27170,1.2719
"5","2019/05/06",1.31544,1.31701,1.29674,1.30047
"5","2019/04/29",1.29149,1.31764,1.29047,1.31656
"5","2019/04/22",1.29827,1.30192,1.28655,1.29173
"5","2019/04/15",1.30674,1.31190,1.29758,1.29856
"5","2019/04/08",1.30289,1.31325,1.30249,1.30713
"5","2019/04/01",1.30290,1.31954,1.29864,1.30352
"5","2019/03/25",1.32055,1.32689,1.29763,1.30191
"5","2019/03/18",1.32899,1.33109,1.30038,1.32044
"5","2019/03/11",1.29790,1.33803,1.29603,1.32841
"5","2019/03/04",1.32428,1.32542,1.29896,1.30134
"5","2019/02/25",1.30684,1.33500,1.30457,1.32099
"5","2019/02/18",1.29031,1.31090,1.28914,1.30541
"5","2019/02/11",1.29296,1.29584,1.27727,1.28877
"5","2019/02/04",1.30586,1.31032,1.28536,1.29365
"5","2019/01/28",1.31818,1.32101,1.30429,1.30842
"5","2019/01/21",1.28712,1.32168,1.28301,1.31973
"5","2019/01/14",1.28483,1.30009,1.26654,1.28716
"5","2019/01/07",1.27203,1.28656,1.27065,1.28394
"5","2018/12/31",1.26943,1.28142,1.23340,1.27292
"5","2018/12/24",1.26415,1.27387,1.26159,1.26962
"5","2018/12/17",1.25965,1.27066,1.25598,1.26326
"5","2018/12/10",1.26995,1.27596,1.24766,1.25786
"5","2018/12/03",1.27586,1.28394,1.26585,1.27416
"5","2018/11/26",1.28212,1.28638,1.27251,1.27434
"5","2018/11/19",1.28391,1.29268,1.27632,1.28094
"5","2018/11/12",1.29114,1.30717,1.27231,1.28255
"5","2018/11/05",1.30184,1.31738,1.29575,1.29724
"5","2018/10/29",1.28197,1.30401,1.26953,1.29692
"5","2018/10/22",1.30629,1.30894,1.27761,1.28314
"5","2018/10/15",1.30942,1.32355,1.30103,1.3068
"5","2018/10/08",1.31168,1.32572,1.30275,1.31551
"5","2018/10/01",1.30300,1.31223,1.29213,1.31112
"5","2018/09/24",1.30748,1.32173,1.29992,1.30333
