"通貨ペア","日付","始値","高値","安値","終値"
"7","2019/10/14",1.31966,1.32388,1.31184,1.31213
"7","2019/10/07",1.33172,1.33451,1.31703,1.32015
"7","2019/09/30",1.32311,1.33470,1.32053,1.33162
"7","2019/09/23",1.32620,1.33042,1.32132,1.32373
"7","2019/09/16",1.32330,1.33095,1.32088,1.32688
"7","2019/09/09",1.31688,1.32826,1.31332,1.32814
"7","2019/09/02",1.33180,1.33818,1.31574,1.31788
"7","2019/08/26",1.32904,1.33326,1.32242,1.3309
"7","2019/08/19",1.32628,1.33452,1.32504,1.32815
"7","2019/08/12",1.32006,1.33382,1.31840,1.32683
"7","2019/08/05",1.32021,1.33442,1.31769,1.32114
"7","2019/07/29",1.31666,1.32653,1.31045,1.3207
"7","2019/07/22",1.30540,1.31975,1.30398,1.31684
"7","2019/07/15",1.30261,1.31092,1.30147,1.30527
"7","2019/07/08",1.30707,1.31433,1.30174,1.30307
"7","2019/07/01",1.30818,1.31446,1.30368,1.30665
"7","2019/06/24",1.32112,1.32141,1.30590,1.30906
"7","2019/06/17",1.34071,1.34316,1.31503,1.32159
"7","2019/06/10",1.32523,1.34219,1.32497,1.34112
"7","2019/06/03",1.35145,1.35255,1.32615,1.32808
"7","2019/05/27",1.34378,1.35642,1.34288,1.35169
"7","2019/05/20",1.34445,1.35016,1.33558,1.34382
"7","2019/05/13",1.34133,1.35127,1.34001,1.34652
"7","2019/05/06",1.34518,1.35046,1.33796,1.34207
"7","2019/04/29",1.34573,1.34897,1.33764,1.34281
"7","2019/04/22",1.33844,1.35210,1.33346,1.34623
"7","2019/04/15",1.33307,1.34022,1.32737,1.33839
"7","2019/04/08",1.33822,1.33951,1.32833,1.33317
"7","2019/04/01",1.33466,1.34023,1.32954,1.33841
"7","2019/03/25",1.34216,1.34501,1.33408,1.3356
"7","2019/03/18",1.33321,1.34286,1.32498,1.34273
"7","2019/03/11",1.34132,1.34389,1.32864,1.33489
"7","2019/03/04",1.32718,1.34669,1.32712,1.34103
"7","2019/02/25",1.31310,1.33054,1.31120,1.32951
"7","2019/02/18",1.32505,1.32806,1.31332,1.31453
"7","2019/02/11",1.32665,1.33396,1.31955,1.32494
"7","2019/02/04",1.30891,1.33283,1.30802,1.32687
"7","2019/01/28",1.32160,1.32852,1.30679,1.30886
"7","2019/01/21",1.32623,1.33744,1.32174,1.32197
"7","2019/01/14",1.32579,1.33182,1.32254,1.32709
"7","2019/01/07",1.33757,1.33878,1.31795,1.32632
"7","2018/12/31",1.36345,1.36643,1.33802,1.33815
"7","2018/12/24",1.35925,1.36607,1.35643,1.36447
"7","2018/12/17",1.33787,1.35997,1.33718,1.35987
"7","2018/12/10",1.33307,1.34235,1.32922,1.33881
"7","2018/12/03",1.32325,1.34439,1.31593,1.33182
"7","2018/11/26",1.32195,1.33590,1.31863,1.32926
"7","2018/11/19",1.31516,1.33174,1.31407,1.32287
"7","2018/11/12",1.31993,1.32630,1.31262,1.31515
"7","2018/11/05",1.30886,1.32324,1.30553,1.31952
"7","2018/10/29",1.30939,1.31693,1.30478,1.31
"7","2018/10/22",1.31019,1.31588,1.29689,1.30916
"7","2018/10/15",1.30192,1.31316,1.29156,1.31092
"7","2018/10/08",1.29409,1.30709,1.29262,1.30298
"7","2018/10/01",1.28511,1.29545,1.27816,1.29492
"7","2018/09/24",1.29184,1.30813,1.29082,1.29233
"7","2018/09/17",1.30361,1.30639,1.28836,1.29163
"7","2018/09/10",1.31691,1.31973,1.29754,1.30314
"7","2018/09/03",1.30605,1.32256,1.30442,1.31748
"7","2018/08/27",1.30110,1.30879,1.28868,1.30438
"7","2018/08/20",1.30544,1.31026,1.29862,1.30338
"7","2018/08/13",1.31502,1.31739,1.30500,1.30596
"7","2018/08/06",1.29890,1.31527,1.29616,1.31245
"7","2018/07/30",1.30556,1.30956,1.29673,1.29917
"7","2018/07/23",1.31354,1.31908,1.30240,1.30611
"7","2018/07/16",1.31551,1.32890,1.31091,1.31244
"7","2018/07/09",1.30908,1.32176,1.30637,1.3157
"7","2018/07/02",1.31522,1.32253,1.30760,1.31024
"7","2018/06/25",1.32641,1.33855,1.31301,1.31321
"7","2018/06/18",1.31882,1.33814,1.31587,1.32726
"7","2018/06/11",1.29744,1.32003,1.29486,1.31958
"7","2018/06/04",1.29486,1.30661,1.28567,1.29238
"7","2018/05/28",1.29650,1.30463,1.28178,1.29676
"7","2018/05/21",1.28717,1.29876,1.27418,1.29727
"7","2018/05/14",1.27865,1.29237,1.27487,1.2877
"7","2018/05/07",1.28469,1.29968,1.27286,1.27876
"7","2018/04/30",1.28337,1.29168,1.28026,1.28555
"7","2018/04/23",1.27556,1.28996,1.27500,1.28378
"7","2018/04/16",1.25893,1.27557,1.25266,1.27527
"7","2018/04/09",1.27705,1.28184,1.25434,1.26086
"7","2018/04/02",1.28841,1.29428,1.27325,1.27627
"7","2018/03/26",1.28796,1.29389,1.28142,1.28937
