"通貨ペア","日付","始値","高値","安値","終値"
"8","2019/11/11",74.840,74.958,73.356,74.151
"8","2019/11/04",74.779,75.672,74.566,74.924
"8","2019/10/28",74.120,75.294,74.067,74.774
"8","2019/10/21",74.236,74.825,73.925,74.114
"8","2019/10/14",73.610,74.400,72.995,74.303
"8","2019/10/07",72.077,73.960,71.842,73.606
"8","2019/09/30",73.001,73.349,71.732,72.306
"8","2019/09/23",72.860,73.318,72.478,73.047
"8","2019/09/16",73.913,74.296,72.717,72.737
"8","2019/09/09",73.097,74.496,73.036,74.384
"8","2019/09/02",71.212,73.283,71.096,73.222
"8","2019/08/26",70.553,72.074,69.917,71.554
"8","2019/08/19",72.077,72.400,71.033,71.154
"8","2019/08/12",71.595,72.918,70.897,72.075
"8","2019/08/05",72.371,72.692,70.741,71.629
"8","2019/07/29",75.056,75.194,72.216,72.444
"8","2019/07/22",75.847,76.161,75.023,75.058
"8","2019/07/15",75.685,76.142,75.440,75.853
"8","2019/07/08",75.651,75.914,75.184,75.771
"8","2019/07/01",76.045,76.272,75.133,75.724
"8","2019/06/24",74.315,75.728,74.299,75.722
"8","2019/06/17",74.528,74.781,73.928,74.342
"8","2019/06/10",75.914,75.953,74.481,74.584
"8","2019/06/03",75.050,75.902,74.963,75.69
"8","2019/05/27",75.696,76.163,75.087,75.121
"8","2019/05/20",75.929,76.390,75.390,75.706
"8","2019/05/13",76.755,76.813,75.329,75.537
"8","2019/05/06",77.209,78.042,76.340,76.972
"8","2019/04/29",78.499,78.943,77.821,78.037
"8","2019/04/22",79.958,80.078,78.113,78.629
"8","2019/04/15",80.307,80.718,79.888,80.002
"8","2019/04/08",79.326,80.484,78.948,80.317
"8","2019/04/01",78.837,79.633,78.490,79.344
"8","2019/03/25",77.850,78.996,77.539,78.654
"8","2019/03/18",78.926,79.411,77.778,77.804
"8","2019/03/11",78.140,79.243,77.909,78.978
"8","2019/03/04",79.493,79.557,77.727,78.307
"8","2019/02/25",78.941,79.775,78.885,79.201
"8","2019/02/18",78.772,79.816,78.332,78.868
"8","2019/02/11",77.777,79.238,77.734,78.822
"8","2019/02/04",79.318,79.841,77.436,77.756
"8","2019/01/28",78.579,79.603,77.964,79.372
"8","2019/01/21",78.571,78.833,77.508,78.62
"8","2019/01/14",78.261,79.094,77.564,78.649
"8","2019/01/07",77.182,78.350,77.030,78.281
"8","2018/12/31",77.617,78.058,72.836,77.213
"8","2018/12/24",78.061,78.738,77.501,77.626
"8","2018/12/17",81.286,81.499,78.302,78.309
"8","2018/12/10",80.896,82.205,80.723,81.381
"8","2018/12/03",83.815,83.891,80.932,81.109
"8","2018/11/26",81.594,83.204,81.579,82.96
"8","2018/11/19",82.396,82.621,81.148,81.602
"8","2018/11/12",82.130,82.892,81.385,82.773
"8","2018/11/05",81.345,83.048,81.242,82.237
"8","2018/10/29",79.316,81.939,79.102,81.479
"8","2018/10/22",80.120,80.312,78.559,79.323
"8","2018/10/15",79.702,80.485,79.480,80.069
"8","2018/10/08",80.200,80.595,78.998,79.79
"8","2018/10/01",82.099,82.476,79.996,80.159
"8","2018/09/24",81.717,82.502,81.300,82.068
"8","2018/09/17",80.096,82.356,79.775,82.027
"8","2018/09/10",78.834,80.799,78.766,80.121
"8","2018/09/03",79.847,80.578,78.685,78.885
"8","2018/08/27",81.565,81.795,79.635,79.908
"8","2018/08/20",80.789,81.701,80.571,81.474
"8","2018/08/13",80.453,80.970,79.702,80.835
"8","2018/08/06",82.235,82.796,80.615,80.919
"8","2018/07/30",82.095,83.255,81.956,82.299
"8","2018/07/23",82.638,82.890,81.806,82.161
"8","2018/07/16",83.247,83.926,82.207,82.727
"8","2018/07/09",82.025,83.602,82.009,83.348
"8","2018/07/02",81.829,82.259,80.981,82.022
"8","2018/06/25",81.748,82.042,80.693,81.965
"8","2018/06/18",82.325,82.395,80.628,81.793
"8","2018/06/11",82.989,84.155,82.266,82.337
"8","2018/06/04",82.837,84.533,82.585,83.148
"8","2018/05/28",82.988,83.066,81.026,82.903
"8","2018/05/21",83.407,84.475,82.379,82.714
"8","2018/05/14",82.430,83.428,82.175,83.155
"8","2018/05/07",82.180,82.670,81.131,82.458
"8","2018/04/30",82.608,82.721,81.670,82.185
"8","2018/04/23",82.624,83.090,82.374,82.674
"8","2018/04/16",83.440,83.942,82.423,82.524
"8","2018/04/09",81.963,84.077,81.957,83.37
"8","2018/04/02",81.675,82.646,80.825,82.077
"8","2018/03/26",80.565,81.953,80.564,81.644
"8","2018/03/19",81.754,82.570,80.486,80.663
"8","2018/03/12",83.772,84.513,81.743,81.763
"8","2018/03/05",81.846,83.890,81.466,83.814
"8","2018/02/26",84.015,84.152,81.549,82.052
"8","2018/02/19",84.041,84.850,83.259,83.687
"8","2018/02/12",85.037,85.577,83.306,84.057
"8","2018/02/05",87.165,87.499,84.005,85.012
"8","2018/01/29",88.028,88.479,87.230,87.291
"8","2018/01/22",88.413,89.053,87.695,88.113
"8","2018/01/15",87.758,88.998,87.659,88.55
"8","2018/01/08",88.908,89.063,87.193,87.849
"8","2018/01/01",87.835,89.077,87.624,88.91
"8","2017/12/25",87.242,88.146,87.237,87.916
"8","2017/12/18",86.131,87.514,85.951,87.375
"8","2017/12/11",85.219,86.479,85.136,86.076
"8","2017/12/04",85.643,86.189,84.654,85.219
"8","2017/11/27",84.887,85.709,84.337,85.343
"8","2017/11/20",84.802,85.302,84.488,84.987
"8","2017/11/13",86.831,87.077,84.628,84.797
"8","2017/11/06",87.185,87.682,86.775,86.947
"8","2017/10/30",87.204,88.079,86.677,87.237
"8","2017/10/23",88.902,89.064,87.031,87.242
"8","2017/10/16",88.172,88.973,87.762,88.699
"8","2017/10/09",87.569,88.300,87.234,88.209
"8","2017/10/02",88.107,88.728,87.392,87.52
"8","2017/09/25",89.180,89.666,87.936,88.193
"8","2017/09/18",88.822,90.295,88.458,89.144
"8","2017/09/11",87.147,89.257,87.087,88.71
"8","2017/09/04",87.141,87.716,86.545,86.824
"8","2017/08/28",86.635,87.926,85.684,87.843
"8","2017/08/21",86.583,86.962,85.930,86.734
"8","2017/08/14",86.043,87.544,85.988,86.588
"8","2017/08/07",87.767,88.004,85.444,86.147
"8","2017/07/31",88.291,88.698,87.337,87.759
"8","2017/07/24",87.899,89.412,87.636,88.375
"8","2017/07/17",87.952,89.299,87.485,87.956
"8","2017/07/10",86.586,88.122,86.571,88.058
"8","2017/07/03",86.137,86.943,85.656,86.572
"8","2017/06/26",84.142,86.511,84.092,86.459
"8","2017/06/19",84.427,85.071,83.717,84.225
"8","2017/06/12",83.111,84.798,82.579,84.483
"8","2017/06/05",82.039,83.381,81.770,83.018
"8","2017/05/29",82.744,82.956,81.893,82.18
"8","2017/05/22",82.753,83.866,82.507,82.839
"8","2017/05/15",83.673,84.501,81.766,82.93
"8","2017/05/08",83.606,84.322,83.168,83.726
"8","2017/05/01",83.324,84.522,82.662,83.547
"8","2017/04/24",83.397,84.001,82.725,83.42
"8","2017/04/17",82.338,82.938,81.481,82.319
"8","2017/04/10",83.241,83.698,81.847,82.286
"8","2017/04/03",84.984,85.072,82.790,83.361
"8","2017/03/27",84.632,85.753,83.811,84.99
"8","2017/03/20",86.687,87.227,84.343,84.859
"8","2017/03/13",86.573,87.469,86.486,86.774
"8","2017/03/06",86.404,87.056,85.840,86.562
"8","2017/02/27",86.102,87.467,85.835,86.579
"8","2017/02/20",86.579,87.380,85.877,86.001
"8","2017/02/13",87.172,88.166,86.291,86.528
"8","2017/02/06",86.286,87.166,85.226,86.898
"8","2017/01/30",86.726,86.857,85.191,86.463
"8","2017/01/23",86.240,87.075,85.320,86.838
"8","2017/01/16",85.445,87.064,84.995,86.537
"8","2017/01/09",85.333,86.262,85.044,85.916
"8","2017/01/02",84.326,85.698,84.308,85.337
