"通貨ペア","日付","始値","高値","安値","終値"
"10","2019/08/26",0.97209,0.99159,0.97097,0.98947
"10","2019/08/19",0.97707,0.98752,0.97338,0.97518
"10","2019/08/12",0.97238,0.98074,0.96577,0.97841
"10","2019/08/05",0.98242,0.98261,0.96903,0.97251
"10","2019/07/29",0.99269,0.99736,0.98127,0.98224
"10","2019/07/22",0.98216,0.99444,0.98021,0.99309
"10","2019/07/15",0.98416,0.99059,0.98029,0.98165
"10","2019/07/08",0.99094,0.99497,0.98343,0.984
"10","2019/07/01",0.97806,0.99302,0.97788,0.99126
"10","2019/06/24",0.97567,0.98124,0.96920,0.9763
"10","2019/06/17",0.99808,1.00128,0.97543,0.97611
"10","2019/06/10",0.98842,0.99934,0.98820,0.99875
"10","2019/06/03",1.00083,1.00097,0.98521,0.98708
"10","2019/05/27",1.00161,1.00963,0.99991,1.00104
"10","2019/05/20",1.01055,1.01191,1.00067,1.00148
"10","2019/05/13",1.01051,1.01197,1.00480,1.01077
"10","2019/05/06",1.01631,1.02244,1.00992,1.0106
"10","2019/04/29",1.01880,1.02140,1.01250,1.01632
"10","2019/04/22",1.01366,1.02349,1.01358,1.01898
"10","2019/04/15",1.00188,1.01577,1.00073,1.01421
"10","2019/04/08",0.99977,1.00444,0.99762,1.00264
"10","2019/04/01",0.99476,1.00105,0.99279,0.99973
"10","2019/03/25",0.99335,0.99727,0.99035,0.99534
"10","2019/03/18",1.00175,1.00231,0.98928,0.99368
"10","2019/03/11",1.00779,1.01178,1.00090,1.00135
"10","2019/03/04",0.99747,1.01224,0.99706,1.00779
"10","2019/02/25",0.99931,1.00178,0.99246,0.99893
"10","2019/02/18",1.00484,1.00585,0.99797,1.00024
"10","2019/02/11",1.00007,1.00962,0.99860,1.00493
"10","2019/02/04",0.99413,1.00269,0.99358,0.99967
"10","2019/01/28",0.99265,0.99931,0.99037,0.9951
"10","2019/01/21",0.99365,0.99883,0.99207,0.99275
"10","2019/01/14",0.98455,0.99572,0.97986,0.99546
"10","2019/01/07",0.98654,0.98730,0.97144,0.98399
"10","2018/12/31",0.98296,0.99184,0.97947,0.98627
"10","2018/12/24",0.99350,0.99617,0.97882,0.98387
"10","2018/12/17",0.99423,0.99804,0.98392,0.99544
"10","2018/12/10",0.99030,0.99826,0.98612,0.99819
"10","2018/12/03",0.99813,1.00067,0.98880,0.98918
"10","2018/11/26",0.99681,1.00041,0.99159,0.99875
"10","2018/11/19",0.99936,1.00052,0.99071,0.99748
"10","2018/11/12",1.00504,1.01265,0.99895,0.9995
"10","2018/11/05",1.00264,1.00840,0.99507,1.00524
"10","2018/10/29",0.99745,1.00930,0.99642,1.00345
"10","2018/10/22",0.99487,1.00249,0.99359,0.99639
"10","2018/10/15",0.99072,0.99759,0.98464,0.99584
"10","2018/10/08",0.99133,0.99538,0.98549,0.99131
"10","2018/10/01",0.98008,0.99532,0.98006,0.99223
"10","2018/09/24",0.95816,0.98174,0.95768,0.98164
"10","2018/09/17",0.96731,0.96986,0.95404,0.95806
"10","2018/09/10",0.96882,0.97569,0.96327,0.96701
"10","2018/09/03",0.96910,0.97653,0.96399,0.96856
"10","2018/08/27",0.98280,0.98442,0.96502,0.96878
"10","2018/08/20",0.99510,0.99666,0.98063,0.98283
"10","2018/08/13",0.99289,0.99807,0.98993,0.99514
"10","2018/08/06",0.99403,0.99830,0.98928,0.99531
"10","2018/07/30",0.99406,0.99636,0.98654,0.99423
"10","2018/07/23",0.99185,0.99764,0.98993,0.99436
"10","2018/07/16",1.00081,1.00416,0.99138,0.99198
"10","2018/07/09",0.98933,1.00663,0.98561,1.0015
"10","2018/07/02",0.99043,0.99637,0.98824,0.99024
"10","2018/06/25",0.98775,0.99907,0.98540,0.98984
"10","2018/06/18",0.99698,0.99885,0.98716,0.98739
"10","2018/06/11",0.98430,0.99863,0.98236,0.99667
"10","2018/06/04",0.98849,0.98926,0.97866,0.98469
"10","2018/05/28",0.99202,0.99815,0.98243,0.98751
"10","2018/05/21",0.99717,0.99997,0.98840,0.99048
"10","2018/05/14",0.99947,1.00398,0.99486,0.99715
"10","2018/05/07",0.99991,1.00547,0.99748,1.00038
"10","2018/04/30",0.98750,1.00209,0.98706,1.00031
"10","2018/04/23",0.97486,0.99184,0.97452,0.98742
"10","2018/04/16",0.96208,0.97578,0.95757,0.97466
"10","2018/04/09",0.95847,0.96450,0.95326,0.96174
"10","2018/04/02",0.95400,0.96476,0.95249,0.95889
"10","2018/03/26",0.94609,0.95816,0.94314,0.95334
"10","2018/03/19",0.95203,0.95677,0.94432,0.94706
"10","2018/03/12",0.95097,0.95457,0.94224,0.95219
"10","2018/03/05",0.93492,0.95328,0.93440,0.95103
"10","2018/02/26",0.93600,0.94888,0.93237,0.93725
"10","2018/02/19",0.92747,0.94076,0.92609,0.93625
"10","2018/02/12",0.93904,0.94031,0.91858,0.92704
"10","2018/02/05",0.93261,0.94683,0.92854,0.93973
"10","2018/01/29",0.93408,0.93917,0.92543,0.93113
"10","2018/01/22",0.96049,0.96380,0.92880,0.9333
"10","2018/01/15",0.96782,0.96832,0.95338,0.96238
"10","2018/01/08",0.97472,0.98438,0.96639,0.96776
"10","2018/01/01",0.97364,0.97957,0.96979,0.9747
"10","2017/12/25",0.98866,0.99140,0.97323,0.97444
"10","2017/12/18",0.98949,0.99153,0.98266,0.98919
"10","2017/12/11",0.99375,0.99377,0.98382,0.98943
"10","2017/12/04",0.98088,0.99758,0.97926,0.99258
"10","2017/11/27",0.97870,0.98805,0.97332,0.97619
"10","2017/11/20",0.98827,0.99448,0.97835,0.97936
"10","2017/11/13",0.99567,0.99849,0.98445,0.98885
"10","2017/11/06",0.99880,1.00273,0.99199,0.99562
"10","2017/10/30",0.99725,1.00357,0.99369,1.00022
"10","2017/10/23",0.98458,1.00370,0.98293,0.99701
"10","2017/10/16",0.97463,0.98510,0.97280,0.98438
