"通貨ペア","日付","始値","高値","安値","終値"
"11","2019/10/28",0.63462,0.64559,0.63315,0.64283
"11","2019/10/21",0.63719,0.64352,0.63472,0.63478
"11","2019/10/14",0.63292,0.63897,0.62398,0.63836
"11","2019/10/07",0.63110,0.63534,0.62751,0.63324
"11","2019/09/30",0.62853,0.63360,0.62031,0.63099
"11","2019/09/23",0.62597,0.63479,0.62573,0.62937
"11","2019/09/16",0.63644,0.63910,0.62532,0.62572
"11","2019/09/09",0.64177,0.64499,0.63714,0.63767
"11","2019/09/02",0.62954,0.64432,0.62683,0.64247
"11","2019/08/26",0.63787,0.64027,0.62825,0.63053
"11","2019/08/19",0.64194,0.64304,0.63594,0.63866
"11","2019/08/12",0.64566,0.64743,0.64202,0.64248
"11","2019/08/05",0.65220,0.65853,0.63770,0.64599
"11","2019/07/29",0.66296,0.66410,0.65046,0.65332
"11","2019/07/22",0.67593,0.67863,0.66252,0.66316
"11","2019/07/15",0.66857,0.67889,0.66857,0.67593
"11","2019/07/08",0.66209,0.66978,0.65693,0.66938
"11","2019/07/01",0.67157,0.67259,0.66014,0.66229
"11","2019/06/24",0.65824,0.67202,0.65821,0.67166
"11","2019/06/17",0.64908,0.66035,0.64854,0.65849
"11","2019/06/10",0.66515,0.66608,0.64874,0.64904
"11","2019/06/03",0.65268,0.66807,0.65259,0.66585
"11","2019/05/27",0.65474,0.65585,0.64941,0.6537
"11","2019/05/20",0.65265,0.65549,0.64810,0.65513
"11","2019/05/13",0.65968,0.65977,0.65121,0.65138
"11","2019/05/06",0.66131,0.66287,0.65245,0.65954
"11","2019/04/29",0.66560,0.66840,0.66054,0.66412
"11","2019/04/22",0.66781,0.66882,0.65794,0.66611
"11","2019/04/15",0.67613,0.67821,0.66642,0.6686
"11","2019/04/08",0.67279,0.67809,0.67128,0.67609
"11","2019/04/01",0.68119,0.68367,0.67176,0.67294
"11","2019/03/25",0.68813,0.69240,0.67708,0.68031
"11","2019/03/18",0.68408,0.69378,0.68269,0.68734
"11","2019/03/11",0.67896,0.68722,0.67894,0.68445
"11","2019/03/04",0.68230,0.68273,0.67441,0.68036
"11","2019/02/25",0.68578,0.69023,0.67933,0.67965
"11","2019/02/18",0.68517,0.68927,0.67568,0.68468
"11","2019/02/11",0.67384,0.68736,0.67189,0.68614
"11","2019/02/04",0.68924,0.69052,0.67289,0.67476
"11","2019/01/28",0.68262,0.69410,0.68149,0.68965
"11","2019/01/21",0.67522,0.68501,0.67060,0.68388
"11","2019/01/14",0.68220,0.68479,0.67269,0.67413
"11","2019/01/07",0.67396,0.68430,0.67067,0.68335
"11","2018/12/31",0.67087,0.67513,0.65283,0.67394
"11","2018/12/24",0.67220,0.67454,0.66918,0.67043
"11","2018/12/17",0.67930,0.68793,0.67053,0.67074
"11","2018/12/10",0.68660,0.69108,0.67771,0.67974
"11","2018/12/03",0.69133,0.69687,0.68456,0.68598
"11","2018/11/26",0.67557,0.68863,0.67512,0.6875
"11","2018/11/19",0.68605,0.68732,0.67657,0.67718
"11","2018/11/12",0.67235,0.68831,0.67045,0.68778
"11","2018/11/05",0.66311,0.68097,0.66310,0.67385
"11","2018/10/29",0.65188,0.66888,0.65103,0.66458
"11","2018/10/22",0.65971,0.66031,0.64643,0.65207
