"通貨ペア","日付","始値","高値","安値","終値"
"12","2019/09/30",0.88946,0.89366,0.88312,0.88997
"12","2019/09/23",0.88332,0.89028,0.88030,0.8899
"12","2019/09/16",0.88551,0.89018,0.87860,0.88313
"12","2019/09/09",0.89766,0.90146,0.88573,0.88655
"12","2019/09/02",0.90405,0.91481,0.89406,0.89708
"12","2019/08/26",0.90783,0.91228,0.90154,0.9037
"12","2019/08/19",0.91258,0.91835,0.90278,0.90668
"12","2019/08/12",0.93028,0.93242,0.90901,0.91317
"12","2019/08/05",0.91377,0.93171,0.91320,0.93129
"12","2019/07/29",0.89845,0.91899,0.89839,0.91294
"12","2019/07/22",0.89641,0.90049,0.88911,0.8985
"12","2019/07/15",0.89586,0.90508,0.89565,0.89755
"12","2019/07/08",0.89569,0.90098,0.89537,0.89606
"12","2019/07/01",0.89452,0.89897,0.89198,0.89622
"12","2019/06/24",0.89241,0.89915,0.89152,0.89563
"12","2019/06/17",0.89001,0.89744,0.88723,0.89237
"12","2019/06/10",0.88918,0.89320,0.88712,0.89035
"12","2019/06/03",0.88337,0.89017,0.88244,0.88959
"12","2019/05/27",0.88079,0.88745,0.87899,0.88397
"12","2019/05/20",0.87601,0.88498,0.87246,0.88157
"12","2019/05/13",0.86353,0.87784,0.86239,0.8769
"12","2019/05/06",0.84908,0.86484,0.84885,0.86393
"12","2019/04/29",0.86236,0.86496,0.84966,0.85077
"12","2019/04/22",0.86527,0.86807,0.86215,0.86287
"12","2019/04/15",0.86399,0.86809,0.86180,0.86522
"12","2019/04/08",0.85993,0.86565,0.85902,0.86407
"12","2019/04/01",0.86115,0.86367,0.85020,0.86016
"12","2019/03/25",0.85443,0.86493,0.84823,0.86134
"12","2019/03/18",0.85106,0.87228,0.85106,0.85543
"12","2019/03/11",0.86470,0.86756,0.84709,0.85258
"12","2019/03/04",0.85853,0.86540,0.85359,0.86297
"12","2019/02/25",0.86687,0.86991,0.85288,0.86021
"12","2019/02/18",0.87432,0.87674,0.86658,0.868
"12","2019/02/11",0.87475,0.88395,0.87432,0.87609
"12","2019/02/04",0.87596,0.88214,0.87257,0.8753
"12","2019/01/28",0.86405,0.87928,0.86343,0.87549
"12","2019/01/21",0.88194,0.88622,0.86173,0.86458
"12","2019/01/14",0.89111,0.89844,0.87632,0.8829
"12","2019/01/07",0.89503,0.90616,0.89221,0.89261
"12","2018/12/31",0.90065,0.90759,0.89273,0.89539
"12","2018/12/24",0.89829,0.90610,0.89571,0.90121
"12","2018/12/17",0.89658,0.90542,0.89626,0.89918
"12","2018/12/10",0.89618,0.90871,0.89519,0.89864
"12","2018/12/03",0.88857,0.89674,0.88627,0.89513
"12","2018/11/26",0.88349,0.89246,0.88099,0.88791
"12","2018/11/19",0.88827,0.89323,0.88351,0.88369
"12","2018/11/12",0.87608,0.89046,0.86554,0.88991
"12","2018/11/05",0.87382,0.87724,0.86904,0.87386
"12","2018/10/29",0.88831,0.89392,0.87567,0.87817
"12","2018/10/22",0.88058,0.88960,0.87981,0.88859
"12","2018/10/15",0.88135,0.88326,0.87523,0.88122
"12","2018/10/08",0.87768,0.88067,0.87229,0.87871
"12","2018/10/01",0.89017,0.89175,0.87764,0.87865
"12","2018/09/24",0.89746,0.89864,0.88723,0.89016
"12","2018/09/17",0.88897,0.89951,0.88473,0.89818
"12","2018/09/10",0.89358,0.89571,0.88765,0.88934
"12","2018/09/03",0.89711,0.90517,0.89126,0.89449
"12","2018/08/27",0.90438,0.90982,0.89374,0.89564
"12","2018/08/20",0.89680,0.90518,0.89390,0.90471
"12","2018/08/13",0.89203,0.89775,0.88963,0.89724
"12","2018/08/06",0.88920,0.90303,0.88898,0.89381
"12","2018/07/30",0.88882,0.89356,0.88542,0.88933
"12","2018/07/23",0.89252,0.89360,0.88645,0.88968
"12","2018/07/16",0.88279,0.89576,0.88160,0.89175
"12","2018/07/09",0.88188,0.89010,0.88131,0.88283
"12","2018/07/02",0.88355,0.88685,0.87993,0.88424
"12","2018/06/25",0.87877,0.88903,0.87803,0.88469
"12","2018/06/18",0.87285,0.88051,0.87252,0.87913
"12","2018/06/11",0.87764,0.88316,0.87176,0.87389
"12","2018/06/04",0.87334,0.88374,0.87233,0.87787
"12","2018/05/28",0.87762,0.88089,0.86974,0.87374
"12","2018/05/21",0.87310,0.87965,0.87253,0.87601
"12","2018/05/14",0.88180,0.88268,0.87124,0.8729
"12","2018/05/07",0.88301,0.88372,0.87273,0.88176
"12","2018/04/30",0.87988,0.88398,0.87606,0.88387
"12","2018/04/23",0.87657,0.88034,0.86803,0.88029
"12","2018/04/16",0.86530,0.87910,0.86203,0.87702
"12","2018/04/09",0.87097,0.87393,0.86275,0.86617
"12","2018/04/02",0.87763,0.87816,0.87009,0.8717
"12","2018/03/26",0.87303,0.87969,0.87165,0.87868
"12","2018/03/19",0.88099,0.88161,0.86662,0.87409
"12","2018/03/12",0.88838,0.88964,0.88094,0.88099
"12","2018/03/05",0.89313,0.89675,0.88746,0.88848
"12","2018/02/26",0.87842,0.89510,0.87714,0.89353
"12","2018/02/19",0.88462,0.88694,0.87861,0.88045
"12","2018/02/12",0.88646,0.89192,0.88429,0.88491
"12","2018/02/05",0.88136,0.89104,0.87319,0.88558
"12","2018/01/29",0.87843,0.88326,0.87160,0.88204
"12","2018/01/22",0.88272,0.88336,0.86866,0.87814
"12","2018/01/15",0.88809,0.89097,0.88013,0.88241
"12","2018/01/08",0.88676,0.89280,0.88084,0.88764
"12","2018/01/01",0.88829,0.89240,0.88477,0.88687
"12","2017/12/25",0.88558,0.88936,0.88484,0.88859
"12","2017/12/18",0.88185,0.88897,0.87922,0.88759
"12","2017/12/11",0.87860,0.88592,0.87602,0.88205
"12","2017/12/04",0.88175,0.88674,0.86890,0.87804
"12","2017/11/27",0.89491,0.89814,0.87762,0.88281
"12","2017/11/20",0.89137,0.89620,0.88416,0.89546
"12","2017/11/13",0.88502,0.90135,0.88434,0.89207
"12","2017/11/06",0.88801,0.88881,0.87912,0.88414
"12","2017/10/30",0.88356,0.89384,0.87326,0.88815
"12","2017/10/23",0.89227,0.89752,0.88256,0.88365
"12","2017/10/16",0.88794,0.90222,0.88555,0.89303
"12","2017/10/09",0.89682,0.90324,0.88757,0.88958
"12","2017/10/02",0.88189,0.89920,0.88008,0.89808
"12","2017/09/25",0.88281,0.88415,0.87459,0.88206
"12","2017/09/18",0.87792,0.88988,0.87783,0.88594
"12","2017/09/11",0.91107,0.91217,0.87736,0.87903
"12","2017/09/04",0.91620,0.92258,0.91092,0.91136
"12","2017/08/28",0.92461,0.93060,0.91495,0.91538
"12","2017/08/21",0.91302,0.92701,0.91106,0.92637
"12","2017/08/14",0.90835,0.91489,0.90506,0.91319
"12","2017/08/07",0.90232,0.91184,0.90075,0.90851
"12","2017/07/31",0.89436,0.90541,0.89222,0.90283
"12","2017/07/24",0.89753,0.89838,0.88905,0.89424
"12","2017/07/17",0.87462,0.89944,0.87442,0.89766
"12","2017/07/10",0.88417,0.89490,0.87427,0.87496
"12","2017/07/03",0.87695,0.88603,0.87561,0.88486
"12","2017/06/26",0.87817,0.88795,0.87641,0.87665
"12","2017/06/19",0.87702,0.88453,0.87340,0.87993
"12","2017/06/12",0.87960,0.88659,0.87189,0.87627
"12","2017/06/05",0.87612,0.88587,0.86543,0.87885
"12","2017/05/29",0.87178,0.87671,0.86552,0.87541
"12","2017/05/22",0.86004,0.87503,0.85976,0.87228
"12","2017/05/15",0.84753,0.86148,0.84575,0.85963
"12","2017/05/08",0.84765,0.84883,0.83832,0.84841
"12","2017/05/01",0.84209,0.85083,0.84125,0.84727
"12","2017/04/24",0.84830,0.85304,0.84047,0.84152
"12","2017/04/17",0.84581,0.85120,0.83126,0.83688
"12","2017/04/10",0.85468,0.85525,0.84657,0.84668
"12","2017/04/03",0.84986,0.85906,0.84939,0.8566
"12","2017/03/27",0.86652,0.87354,0.84997,0.85002
"12","2017/03/20",0.86673,0.87263,0.86046,0.86492
"12","2017/03/13",0.87769,0.87871,0.86604,0.8665
"12","2017/03/06",0.86304,0.87828,0.86238,0.87737
"12","2017/02/27",0.84643,0.86402,0.84637,0.86341
"12","2017/02/20",0.85460,0.85553,0.84025,0.84731
"12","2017/02/13",0.85128,0.85915,0.84535,0.85465
"12","2017/02/06",0.86357,0.86448,0.84933,0.85154
"12","2017/01/30",0.85127,0.86418,0.84889,0.86375
"12","2017/01/23",0.86347,0.86630,0.84614,0.8527
"12","2017/01/16",0.88249,0.88518,0.86095,0.86498
"12","2017/01/09",0.85916,0.87675,0.85830,0.87281
"12","2017/01/02",0.85082,0.85890,0.84499,0.85747
"12","2016/12/26",0.84948,0.86699,0.84890,0.85338
"12","2016/12/19",0.83509,0.85388,0.83509,0.85034
"12","2016/12/12",0.83716,0.84283,0.83209,0.83705
"12","2016/12/05",0.83979,0.85682,0.83045,0.83907
"12","2016/11/28",0.84991,0.85778,0.83690,0.83815
"12","2016/11/21",0.85774,0.86382,0.84573,0.84914
"12","2016/11/14",0.86113,0.87070,0.85264,0.85765
"12","2016/11/07",0.88693,0.90250,0.85666,0.86112
"12","2016/10/31",0.90077,0.90488,0.88570,0.89003
"12","2016/10/24",0.88971,0.90178,0.88813,0.90117
"12","2016/10/17",0.90090,0.90574,0.88800,0.88983
"12","2016/10/10",0.89833,0.91411,0.89669,0.90007
"12","2016/10/03",0.86801,0.96154,0.86767,0.90011
"12","2016/09/26",0.86562,0.87161,0.85893,0.86619
"12","2016/09/19",0.85720,0.86789,0.85348,0.86581
"12","2016/09/12",0.84631,0.85814,0.84184,0.85769
"12","2016/09/05",0.83816,0.84946,0.83288,0.84606
