"通貨ペア","日付","始値","高値","安値","終値"
"14","2019/08/19",108.610,109.008,107.823,108.067
"14","2019/08/12",108.455,109.632,107.968,108.649
"14","2019/08/05",108.437,109.787,108.013,108.555
"14","2019/07/29",109.392,109.808,108.132,108.447
"14","2019/07/22",109.567,110.045,109.131,109.355
"14","2019/07/15",109.501,109.877,109.052,109.701
"14","2019/07/08",109.334,109.916,109.222,109.613
"14","2019/07/01",110.554,110.784,109.083,109.388
"14","2019/06/24",109.871,110.554,109.508,110.435
"14","2019/06/17",108.625,109.984,108.199,109.893
"14","2019/06/10",109.651,109.737,108.466,108.644
"14","2019/06/03",108.152,109.625,108.090,109.527
"14","2019/05/27",109.038,109.252,107.904,108.176
"14","2019/05/20",108.850,109.613,108.792,109.091
"14","2019/05/13",108.518,108.982,108.294,108.788
"14","2019/05/06",108.750,109.097,107.596,108.742
"14","2019/04/29",109.498,109.768,109.127,109.3
"14","2019/04/22",110.307,110.370,109.272,109.573
"14","2019/04/15",111.675,111.805,110.154,110.273
"14","2019/04/08",111.627,111.955,110.570,111.649
"14","2019/04/01",111.438,111.933,111.309,111.672
"14","2019/03/25",110.668,111.440,110.355,111.269
"14","2019/03/18",111.189,111.934,110.398,110.584
"14","2019/03/11",110.183,111.450,109.915,111.286
"14","2019/03/04",112.005,112.114,109.871,110.247
"14","2019/02/25",110.520,112.150,110.359,112.022
"14","2019/02/18",109.838,110.852,109.816,110.575
"14","2019/02/11",109.682,110.210,108.643,109.844
"14","2019/02/04",110.019,110.320,109.400,109.735
"14","2019/01/28",110.254,110.420,109.105,110
"14","2019/01/21",110.250,110.603,109.450,110.254
"14","2019/01/14",110.165,110.821,109.467,110.209
"14","2019/01/07",109.918,111.289,109.765,110.289
"14","2018/12/31",111.994,112.270,107.474,109.931
"14","2018/12/24",111.487,112.724,111.301,112.07
"14","2018/12/17",113.599,114.148,111.719,111.722
"14","2018/12/10",113.503,114.619,113.494,113.548
"14","2018/12/03",113.718,113.944,112.849,113.868
"14","2018/11/26",113.152,114.383,113.115,113.642
"14","2018/11/19",112.627,113.840,112.590,113.11
"14","2018/11/12",113.158,113.332,112.177,112.89
"14","2018/11/05",112.751,113.727,112.469,113.157
"14","2018/10/29",112.095,113.213,111.853,112.783
"14","2018/10/22",113.034,113.405,111.539,112.247
"14","2018/10/15",113.121,113.685,112.507,112.94
"14","2018/10/08",114.659,114.847,112.895,113.127
"14","2018/10/01",115.943,116.158,114.394,114.534
"14","2018/09/24",117.335,117.544,115.685,115.772
"14","2018/09/17",115.712,118.047,115.694,117.499
"14","2018/09/10",114.508,116.083,113.899,115.787
"14","2018/09/03",114.550,115.080,114.009,114.555
"14","2018/08/27",113.154,115.276,112.775,114.632
"14","2018/08/20",110.983,113.287,110.913,113.139
"14","2018/08/13",111.198,112.067,110.689,111.022
"14","2018/08/06",111.792,112.074,111.063,111.332
"14","2018/07/30",111.527,113.163,111.526,111.875
"14","2018/07/23",112.223,112.372,111.308,111.586
"14","2018/07/16",112.130,113.244,112.062,112.292
"14","2018/07/09",111.509,112.950,111.443,112.134
"14","2018/07/02",111.635,111.964,110.990,111.435
"14","2018/06/25",111.181,111.892,110.287,111.749
"14","2018/06/18",110.926,111.406,110.100,111.34
"14","2018/06/11",110.983,112.178,110.689,110.965
"14","2018/06/04",110.670,112.183,110.650,111.102
"14","2018/05/28",110.593,110.991,108.993,110.848
"14","2018/05/21",111.110,111.895,109.896,110.568
"14","2018/05/14",109.303,111.179,109.235,110.971
"14","2018/05/07",109.014,109.578,108.497,109.224
"14","2018/04/30",110.371,110.596,108.660,109.007
"14","2018/04/23",110.451,111.544,110.224,110.433
"14","2018/04/16",111.627,111.927,110.271,110.355
"14","2018/04/09",111.450,112.265,111.044,111.601
"14","2018/04/02",111.298,111.784,110.594,111.478
"14","2018/03/26",110.535,111.957,110.527,111.423
"14","2018/03/19",111.302,112.088,110.430,110.607
"14","2018/03/12",112.205,113.233,111.149,111.336
"14","2018/03/05",112.565,113.469,111.494,112.255
"14","2018/02/26",114.414,114.447,112.331,112.77
"14","2018/02/19",114.541,115.096,113.767,114.035
"14","2018/02/12",115.716,116.033,114.327,114.569
"14","2018/02/05",118.090,118.286,115.140,115.731
"14","2018/01/29",116.280,118.541,115.763,118.275
"14","2018/01/22",115.023,117.002,114.773,116.378
"14","2018/01/15",114.690,115.993,114.405,115.056
"14","2018/01/08",115.985,116.089,113.649,114.651
"14","2018/01/01",115.490,116.143,114.703,116.001
"14","2017/12/25",114.349,115.740,114.250,115.6
"14","2017/12/18",113.831,115.166,113.397,114.477
"14","2017/12/11",114.163,114.669,113.277,113.787
"14","2017/12/04",114.917,115.158,113.276,114.325
"14","2017/11/27",113.843,114.924,112.953,114.864
"14","2017/11/20",113.378,113.979,113.054,113.88
"14","2017/11/13",113.897,114.689,113.111,113.344
"14","2017/11/06",114.060,114.505,113.269,113.973
"14","2017/10/30",113.934,114.274,113.387,114.009
"14","2017/10/23",115.524,115.724,113.697,113.976
"14","2017/10/16",114.709,115.595,114.416,115.257
"14","2017/10/09",115.183,115.649,114.618,114.776
"14","2017/10/02",116.118,116.415,115.020,115.153
"14","2017/09/25",115.524,116.362,114.971,116.208
"14","2017/09/18",115.597,116.458,115.359,115.453
"14","2017/09/11",114.259,115.926,113.734,115.587
"14","2017/09/04",114.228,114.719,113.429,114.157
"14","2017/08/28",114.312,115.310,113.910,114.279
"14","2017/08/21",113.173,114.408,112.550,114.322
"14","2017/08/14",113.322,114.240,112.641,113.178
"14","2017/08/07",113.786,114.283,112.947,113.451
"14","2017/07/31",114.082,114.782,113.434,113.748
"14","2017/07/24",117.545,117.869,114.092,114.15
"14","2017/07/17",116.709,117.772,116.545,117.436
"14","2017/07/10",118.244,118.588,116.410,116.786
"14","2017/07/03",116.993,118.409,116.970,118.161
"14","2017/06/26",114.740,117.770,114.620,117.301
"14","2017/06/19",113.877,114.957,113.801,114.751
"14","2017/06/12",113.889,114.396,112.485,113.834
"14","2017/06/05",114.630,114.763,113.083,113.756
"14","2017/05/29",114.106,115.022,113.019,114.709
"14","2017/05/22",114.176,115.151,113.823,114.118
"14","2017/05/15",113.151,114.950,112.491,114.272
"14","2017/05/08",114.171,114.215,112.622,113.193
"14","2017/05/01",111.992,114.186,111.848,114.002
"14","2017/04/24",111.138,112.606,110.030,111.985
"14","2017/04/17",108.107,109.901,107.666,109.521
"14","2017/04/10",109.993,110.478,107.988,108.075
"14","2017/04/03",111.066,111.388,109.662,110.128
"14","2017/03/27",112.081,112.418,111.025,111.042
"14","2017/03/20",112.867,113.298,111.484,112.318
"14","2017/03/13",113.608,114.291,112.761,112.843
"14","2017/03/06",112.890,114.178,112.064,113.515
"14","2017/02/27",111.299,113.319,111.065,112.985
"14","2017/02/20",112.503,113.014,111.098,111.26
"14","2017/02/13",113.138,113.779,112.495,112.54
"14","2017/02/06",113.350,113.624,112.153,112.888
"14","2017/01/30",115.035,115.186,113.153,113.453
"14","2017/01/23",113.963,115.351,112.897,115.198
"14","2017/01/16",113.082,114.544,112.325,114.293
"14","2017/01/09",114.993,115.390,112.969,113.518
"14","2017/01/02",114.656,115.164,113.756,114.938
"14","2016/12/26",114.125,115.540,113.378,114.803
"14","2016/12/19",114.838,114.943,113.857,114.18
"14","2016/12/12",113.213,115.365,113.159,114.84
"14","2016/12/05",112.008,113.781,110.948,113.29
"14","2016/11/28",111.478,113.133,110.241,112.378
"14","2016/11/21",109.653,111.881,109.452,111.465
"14","2016/11/14",107.987,109.818,107.857,109.815
"14","2016/11/07",106.361,108.374,105.555,107.987
"14","2016/10/31",105.847,106.929,105.540,106.285
