"通貨ペア","日付","始値","高値","安値","終値"
"18","2019/11/04",1.27378,1.28019,1.27028,1.27493
"18","2019/10/28",1.27403,1.28262,1.27401,1.27495
"18","2019/10/21",1.27308,1.28497,1.26757,1.27512
"18","2019/10/14",1.25887,1.28919,1.24613,1.27449
"18","2019/10/07",1.22461,1.26706,1.20902,1.26022
"18","2019/09/30",1.21742,1.24010,1.21543,1.22697
"18","2019/09/23",1.23544,1.23825,1.21659,1.21817
"18","2019/09/16",1.23372,1.24757,1.22993,1.2359
"18","2019/09/09",1.21184,1.23811,1.21067,1.23697
"18","2019/09/02",1.20114,1.22009,1.18495,1.21367
"18","2019/08/26",1.19323,1.20886,1.19135,1.20316
"18","2019/08/19",1.18707,1.20721,1.18166,1.19768
"18","2019/08/12",1.16992,1.19386,1.16731,1.18815
"18","2019/08/05",1.19368,1.19485,1.16925,1.16968
"18","2019/07/29",1.22901,1.22965,1.19017,1.1947
"18","2019/07/22",1.22861,1.23671,1.22225,1.2298
"18","2019/07/15",1.23752,1.23793,1.22358,1.22685
"18","2019/07/08",1.24161,1.24488,1.23407,1.23748
"18","2019/07/01",1.24202,1.24953,1.23691,1.24162
"18","2019/06/24",1.24271,1.24714,1.23381,1.23925
"18","2019/06/17",1.25644,1.25904,1.24099,1.24347
"18","2019/06/10",1.25868,1.26753,1.25391,1.2571
"18","2019/06/03",1.26466,1.26550,1.25539,1.25742
"18","2019/05/27",1.27396,1.27940,1.26241,1.26441
"18","2019/05/20",1.28672,1.29332,1.26768,1.27299
"18","2019/05/13",1.31406,1.31553,1.28517,1.28582
"18","2019/05/06",1.33744,1.33815,1.31443,1.31452
"18","2019/04/29",1.31656,1.33976,1.31620,1.33811
"18","2019/04/22",1.31621,1.32718,1.31328,1.31652
"18","2019/04/15",1.30975,1.32026,1.30933,1.31764
"18","2019/04/08",1.30206,1.31462,1.30056,1.31083
"18","2019/04/01",1.29641,1.31724,1.29496,1.30341
"18","2019/03/25",1.31246,1.32023,1.29193,1.29594
"18","2019/03/18",1.33205,1.33302,1.29133,1.31219
"18","2019/03/11",1.30870,1.34216,1.30598,1.33034
"18","2019/03/04",1.32080,1.32827,1.30824,1.31161
"18","2019/02/25",1.30611,1.33284,1.30398,1.31967
"18","2019/02/18",1.29724,1.30986,1.29451,1.30583
"18","2019/02/11",1.29359,1.30518,1.28521,1.29523
"18","2019/02/04",1.29915,1.30779,1.28864,1.29331
"18","2019/01/28",1.30937,1.31193,1.29468,1.3021
"18","2019/01/21",1.28027,1.31158,1.27792,1.31026
"18","2019/01/14",1.26567,1.29164,1.25236,1.28138
