"通貨ペア","日付","始値","高値","安値","終値"
"20","2019/09/23",0.67049,0.67336,0.66525,0.67049
"20","2019/09/16",0.67763,0.68224,0.66954,0.6699
"20","2019/09/09",0.67554,0.68433,0.67554,0.68124
"20","2019/09/02",0.66501,0.67776,0.66343,0.6762
"20","2019/08/26",0.65470,0.66687,0.64958,0.66635
"20","2019/08/19",0.66271,0.66722,0.65708,0.65804
"20","2019/08/12",0.65957,0.66556,0.65214,0.66314
"20","2019/08/05",0.66736,0.66736,0.65059,0.65948
"20","2019/07/29",0.68574,0.68633,0.66618,0.66761
"20","2019/07/22",0.69174,0.69283,0.68548,0.68597
"20","2019/07/15",0.69069,0.69530,0.68994,0.69109
"20","2019/07/08",0.69161,0.69416,0.68539,0.69094
"20","2019/07/01",0.68754,0.69447,0.68544,0.69184
"20","2019/06/24",0.67607,0.68613,0.67464,0.68532
"20","2019/06/17",0.68576,0.68900,0.67607,0.67609
"20","2019/06/10",0.69203,0.69253,0.68429,0.68628
"20","2019/06/03",0.69358,0.69584,0.68947,0.69063
"20","2019/05/27",0.69371,0.69976,0.69337,0.69406
"20","2019/05/20",0.69712,0.70060,0.68992,0.69365
"20","2019/05/13",0.70665,0.70733,0.69329,0.69395
"20","2019/05/06",0.70957,0.71641,0.70570,0.70741
"20","2019/04/29",0.71723,0.72019,0.71181,0.71367
"20","2019/04/22",0.72443,0.72587,0.71381,0.71761
"20","2019/04/15",0.71884,0.72709,0.71660,0.72507
"20","2019/04/08",0.71025,0.71958,0.70759,0.71897
"20","2019/04/01",0.70714,0.71284,0.70398,0.71008
"20","2019/03/25",0.70305,0.71027,0.70211,0.70649
"20","2019/03/18",0.70953,0.71276,0.70322,0.70323
"20","2019/03/11",0.70883,0.71501,0.70710,0.70927
"20","2019/03/04",0.70906,0.71220,0.70458,0.70991
"20","2019/02/25",0.71327,0.71950,0.70642,0.70679
"20","2019/02/18",0.71682,0.72075,0.70809,0.71302
"20","2019/02/11",0.70876,0.71881,0.70785,0.71732
"20","2019/02/04",0.72025,0.72596,0.70749,0.7084
"20","2019/01/28",0.71229,0.72393,0.70790,0.72133
"20","2019/01/21",0.71225,0.71438,0.70443,0.71285
"20","2019/01/14",0.71004,0.71720,0.70516,0.71334
"20","2019/01/07",0.70182,0.71052,0.69560,0.7096
"20","2018/12/31",0.69182,0.70237,0.66803,0.70215
"20","2018/12/24",0.69923,0.70402,0.68983,0.69261
