"通貨ペア","日付","始値","高値","安値","終値"
"21","2019/07/22",1.04063,1.04500,1.03833,1.04116
"21","2019/07/15",1.04820,1.04890,1.03980,1.04129
"21","2019/07/08",1.05263,1.05341,1.04409,1.04869
"21","2019/07/01",1.04526,1.05421,1.04245,1.0533
"21","2019/06/24",1.05132,1.05473,1.04332,1.04483
"21","2019/06/17",1.05730,1.05865,1.04765,1.05135
"21","2019/06/10",1.05118,1.05857,1.04961,1.05841
"21","2019/06/03",1.06052,1.06137,1.04968,1.05029
"21","2019/05/27",1.05654,1.06289,1.05542,1.06011
"21","2019/05/20",1.05584,1.05956,1.05495,1.05701
"21","2019/05/13",1.05889,1.06041,1.05189,1.0535
"21","2019/05/06",1.05471,1.07220,1.05403,1.06085
"21","2019/04/29",1.05652,1.06097,1.05465,1.0571
"21","2019/04/22",1.06908,1.06959,1.05558,1.05672
"21","2019/04/15",1.05984,1.07260,1.05687,1.06829
"21","2019/04/08",1.05500,1.06227,1.05301,1.06012
"21","2019/04/01",1.04245,1.05722,1.04170,1.05498
"21","2019/03/25",1.02761,1.04500,1.02734,1.04282
"21","2019/03/18",1.03424,1.03715,1.02872,1.02936
"21","2019/03/11",1.03481,1.03574,1.02915,1.03437
"21","2019/03/04",1.04086,1.04343,1.03403,1.03486
"21","2019/02/25",1.03943,1.04586,1.03854,1.04076
"21","2019/02/18",1.03983,1.04873,1.03781,1.04088
"21","2019/02/11",1.05061,1.05434,1.03654,1.04003
"21","2019/02/04",1.05004,1.05341,1.03966,1.04993
"21","2019/01/28",1.05001,1.05314,1.04476,1.05082
"21","2019/01/21",1.06010,1.06675,1.04629,1.0498
"21","2019/01/14",1.05606,1.06496,1.05333,1.06275
"21","2019/01/07",1.05431,1.06360,1.05388,1.05502
"21","2018/12/31",1.04805,1.05647,1.01323,1.05607
"21","2018/12/24",1.04602,1.05235,1.04253,1.04973
"21","2018/12/17",1.05480,1.05727,1.04418,1.04917
"21","2018/12/10",1.04522,1.05851,1.04313,1.05567
"21","2018/12/03",1.06598,1.06698,1.04723,1.04908
"21","2018/11/26",1.06866,1.06965,1.06160,1.06253
"21","2018/11/19",1.06411,1.06935,1.05865,1.06619
"21","2018/11/12",1.07250,1.07380,1.06101,1.06594
"21","2018/11/05",1.08316,1.08482,1.06849,1.07223
"21","2018/10/29",1.08642,1.08801,1.07960,1.0826
"21","2018/10/22",1.07836,1.08770,1.07651,1.08701
"21","2018/10/15",1.09330,1.09385,1.07979,1.07986
"21","2018/10/08",1.09447,1.09912,1.08935,1.09319
"21","2018/10/01",1.09045,1.09498,1.08870,1.09413
"21","2018/09/24",1.08872,1.09279,1.08571,1.08976
"21","2018/09/17",1.09114,1.10005,1.08751,1.0904
"21","2018/09/10",1.08666,1.09781,1.08647,1.09252
"21","2018/09/03",1.08575,1.10179,1.08535,1.08819
"21","2018/08/27",1.09549,1.09762,1.08555,1.0863
"21","2018/08/20",1.10215,1.10546,1.09038,1.09423
"21","2018/08/13",1.10672,1.10758,1.09837,1.10277
