"通貨ペア","日付","始値","高値","安値","終値"
"24","2019/07/29",1.61011,1.63918,1.60921,1.63344
"24","2019/07/22",1.59209,1.61104,1.58934,1.61054
"24","2019/07/15",1.60508,1.60728,1.58941,1.59306
"24","2019/07/08",1.60800,1.62306,1.60450,1.60461
"24","2019/07/01",1.61632,1.62589,1.60244,1.60815
"24","2019/06/24",1.64070,1.64116,1.61882,1.61935
"24","2019/06/17",1.63092,1.64480,1.62649,1.64102
"24","2019/06/10",1.61727,1.63632,1.61717,1.63073
"24","2019/06/03",1.61065,1.61973,1.60678,1.61944
"24","2019/05/27",1.61777,1.61874,1.60502,1.61013
"24","2019/05/20",1.61711,1.62512,1.60961,1.61761
"24","2019/05/13",1.60559,1.62618,1.60435,1.62458
"24","2019/05/06",1.60038,1.61209,1.59043,1.60507
"24","2019/04/29",1.58293,1.59940,1.58056,1.59494
"24","2019/04/22",1.57239,1.59585,1.57155,1.58277
"24","2019/04/15",1.57451,1.58342,1.56834,1.5719
"24","2019/04/08",1.57750,1.58523,1.57134,1.57511
"24","2019/04/01",1.57881,1.58789,1.57138,1.5787
"24","2019/03/25",1.59488,1.59823,1.57800,1.57982
"24","2019/03/18",1.59789,1.60770,1.58873,1.59596
"24","2019/03/11",1.59654,1.60566,1.58943,1.5989
"24","2019/03/04",1.59982,1.61213,1.59295,1.59428
"24","2019/02/25",1.58774,1.60718,1.58093,1.60588
"24","2019/02/18",1.58248,1.60192,1.57426,1.5894
"24","2019/02/11",1.59656,1.59986,1.58021,1.58165
"24","2019/02/04",1.58004,1.60594,1.57293,1.59776
"24","2019/01/28",1.58822,1.60053,1.57207,1.5801
"24","2019/01/21",1.58519,1.60375,1.58433,1.58891
"24","2019/01/14",1.58833,1.59883,1.57740,1.58573
"24","2019/01/07",1.60143,1.61537,1.58896,1.58907
"24","2018/12/31",1.62398,1.67668,1.60033,1.60079
"24","2018/12/24",1.61448,1.63156,1.60481,1.62529
"24","2018/12/17",1.57463,1.61539,1.57418,1.61366
"24","2018/12/10",1.58473,1.58848,1.56724,1.57477
"24","2018/12/03",1.53758,1.58456,1.53462,1.5843
"24","2018/11/26",1.56781,1.57046,1.54778,1.54839
"24","2018/11/19",1.56123,1.57817,1.55774,1.56705
"24","2018/11/12",1.56794,1.56931,1.55200,1.55629
"24","2018/11/05",1.58276,1.58518,1.56320,1.56843
"24","2018/10/29",1.60696,1.61499,1.57421,1.58241
"24","2018/10/22",1.61618,1.62497,1.60333,1.60804
"24","2018/10/15",1.62453,1.62842,1.60485,1.618
"24","2018/10/08",1.63316,1.63570,1.61466,1.62503
"24","2018/10/01",1.60723,1.63525,1.59855,1.63358
"24","2018/09/24",1.61608,1.62534,1.60299,1.60706
"24","2018/09/17",1.62496,1.63332,1.60519,1.61305
"24","2018/09/10",1.62570,1.63537,1.61373,1.62443
"24","2018/09/03",1.61242,1.62891,1.60411,1.62566
"24","2018/08/27",1.58494,1.61603,1.58460,1.61367
"24","2018/08/20",1.56359,1.59462,1.56025,1.58648
"24","2018/08/13",1.56288,1.57259,1.56166,1.56387
