"通貨ペア","日付","始値","高値","安値","終値"
"27","2019/07/15",1.79045,1.79187,1.76295,1.77477
"27","2019/07/08",1.79415,1.80398,1.78912,1.7906
"27","2019/07/01",1.80520,1.81706,1.78531,1.79404
"27","2019/06/24",1.83713,1.83849,1.80554,1.80785
"27","2019/06/17",1.83114,1.84211,1.82183,1.83861
"27","2019/06/10",1.81773,1.83854,1.81743,1.83135
"27","2019/06/03",1.82215,1.82682,1.81173,1.81999
"27","2019/05/27",1.83556,1.83839,1.81693,1.82113
"27","2019/05/20",1.84482,1.86160,1.82984,1.83483
"27","2019/05/13",1.85769,1.87155,1.85037,1.85223
"27","2019/05/06",1.88351,1.88805,1.85312,1.85753
"27","2019/04/29",1.83437,1.87693,1.83007,1.87465
"27","2019/04/22",1.81575,1.84485,1.81563,1.83392
"27","2019/04/15",1.82121,1.83269,1.80942,1.81607
"27","2019/04/08",1.83245,1.84327,1.82132,1.82256
"27","2019/04/01",1.83262,1.86094,1.82725,1.83494
"27","2019/03/25",1.86524,1.87311,1.82976,1.83374
"27","2019/03/18",1.87631,1.87841,1.83375,1.86554
"27","2019/03/11",1.84523,1.88617,1.83902,1.87496
"27","2019/03/04",1.86163,1.87740,1.84320,1.84692
"27","2019/02/25",1.83075,1.87232,1.81946,1.8667
"27","2019/02/18",1.80873,1.84480,1.80333,1.83097
"27","2019/02/11",1.82431,1.82580,1.79895,1.8052
"27","2019/02/04",1.80227,1.83432,1.78671,1.82524
"27","2019/01/28",1.83681,1.84415,1.79357,1.80472
"27","2019/01/21",1.79597,1.85222,1.79137,1.83755
"27","2019/01/14",1.78143,1.81009,1.76397,1.79592
"27","2019/01/07",1.78799,1.79433,1.76117,1.78005
"27","2018/12/31",1.80176,1.85164,1.78694,1.78771
"27","2018/12/24",1.79549,1.80822,1.78603,1.80327
"27","2018/12/17",1.75504,1.79456,1.75025,1.79436
"27","2018/12/10",1.76735,1.77228,1.72899,1.75218
"27","2018/12/03",1.72937,1.77431,1.72084,1.76975
"27","2018/11/26",1.77294,1.77555,1.73902,1.74378
"27","2018/11/19",1.75687,1.78168,1.75222,1.77188
"27","2018/11/12",1.78863,1.80645,1.74766,1.74864
"27","2018/11/05",1.81037,1.81485,1.79329,1.79465
"27","2018/10/29",1.80806,1.81553,1.78605,1.80175
"27","2018/10/22",1.83427,1.84585,1.80663,1.80952
"27","2018/10/15",1.84210,1.85626,1.82358,1.83592
"27","2018/10/08",1.85977,1.87239,1.84330,1.84915
"27","2018/10/01",1.80436,1.86080,1.80107,1.85905
"27","2018/09/24",1.79957,1.82169,1.79651,1.80519
"27","2018/09/17",1.82689,1.83986,1.79347,1.79575
"27","2018/09/10",1.81822,1.83754,1.81090,1.8264
"27","2018/09/03",1.79634,1.82220,1.77788,1.8173
"27","2018/08/27",1.75175,1.80534,1.75064,1.8015
"27","2018/08/20",1.74251,1.76932,1.74097,1.75355
"27","2018/08/13",1.75097,1.76546,1.74162,1.74286
"27","2018/08/06",1.75720,1.75863,1.72819,1.74885
"27","2018/07/30",1.77055,1.78233,1.75609,1.7578
"27","2018/07/23",1.76839,1.78029,1.76598,1.77019
"27","2018/07/16",1.78345,1.78778,1.75664,1.76875
"27","2018/07/09",1.79099,1.79391,1.76662,1.78328
"27","2018/07/02",1.78357,1.79569,1.77976,1.78696
"27","2018/06/25",1.78243,1.79577,1.77354,1.783
"27","2018/06/18",1.78362,1.79789,1.77523,1.78269
"27","2018/06/11",1.76473,1.78486,1.75323,1.78442
"27","2018/06/04",1.76270,1.77333,1.73910,1.76415
"27","2018/05/28",1.75980,1.77225,1.75168,1.76295
"27","2018/05/21",1.78969,1.79242,1.75848,1.76194
"27","2018/05/14",1.79465,1.81086,1.79138,1.7944
"27","2018/05/07",1.79536,1.82396,1.79041,1.79495
"27","2018/04/30",1.81763,1.82945,1.79504,1.7957
"27","2018/04/23",1.82526,1.84730,1.81770,1.81781
"27","2018/04/16",1.83326,1.84755,1.81709,1.82655
"27","2018/04/09",1.83632,1.84576,1.82345,1.83386
"27","2018/04/02",1.82390,1.83687,1.81770,1.83525
"27","2018/03/26",1.83656,1.85073,1.82159,1.82503
"27","2018/03/19",1.80705,1.83974,1.80541,1.83594
"27","2018/03/12",1.76410,1.80850,1.75983,1.8083
"27","2018/03/05",1.77602,1.79053,1.76352,1.76465
"27","2018/02/26",1.78317,1.79043,1.76673,1.77685
"27","2018/02/19",1.77184,1.79107,1.76042,1.78179
"27","2018/02/12",1.76696,1.78084,1.75745,1.77223
"27","2018/02/05",1.78175,1.79978,1.76100,1.76896
"27","2018/01/29",1.74442,1.78474,1.73507,1.78194
"27","2018/01/22",1.73603,1.77176,1.73358,1.74436
"27","2018/01/15",1.73665,1.73981,1.72692,1.73346
"27","2018/01/08",1.72453,1.74311,1.70973,1.73491
"27","2018/01/01",1.73046,1.74152,1.72124,1.7251
"27","2017/12/25",1.73168,1.73359,1.72145,1.73016
"27","2017/12/18",1.74116,1.75099,1.72998,1.73205
"27","2017/12/11",1.78149,1.78445,1.73545,1.74329
"27","2017/12/04",1.77031,1.79965,1.74880,1.78453
"27","2017/11/27",1.74914,1.79083,1.73621,1.77088
"27","2017/11/20",1.74676,1.75974,1.74154,1.74924
"27","2017/11/13",1.71956,1.75655,1.70780,1.74683
"27","2017/11/06",1.70854,1.72593,1.70362,1.72196
"27","2017/10/30",1.71076,1.73664,1.68950,1.70877
"27","2017/10/23",1.68698,1.72395,1.68362,1.71113
"27","2017/10/16",1.68583,1.69172,1.66837,1.68705
"27","2017/10/09",1.68166,1.70053,1.67941,1.685
"27","2017/10/02",1.70713,1.70985,1.67803,1.68104
"27","2017/09/25",1.69523,1.71812,1.69288,1.70921
"27","2017/09/18",1.69863,1.71668,1.67847,1.69374
"27","2017/09/11",1.63712,1.70007,1.63518,1.69898
"27","2017/09/04",1.62955,1.63956,1.61680,1.63918
"27","2017/08/28",1.62701,1.63779,1.61660,1.62606
"27","2017/08/21",1.62319,1.62754,1.61614,1.62242
"27","2017/08/14",1.64822,1.65504,1.61845,1.62382
"27","2017/08/07",1.64477,1.65665,1.63894,1.64859
"27","2017/07/31",1.64486,1.67356,1.64200,1.64468
"27","2017/07/24",1.64188,1.65267,1.63023,1.64534
"27","2017/07/17",1.67465,1.67757,1.62680,1.64108
"27","2017/07/10",1.69561,1.69848,1.66202,1.67428
"27","2017/07/03",1.69460,1.71220,1.68505,1.69463
"27","2017/06/26",1.68363,1.70422,1.67059,1.69411
"27","2017/06/19",1.67406,1.68648,1.66109,1.68085
"27","2017/06/12",1.69011,1.69597,1.66836,1.67615
"27","2017/06/05",1.73119,1.73320,1.67697,1.69162
"27","2017/05/29",1.72152,1.74912,1.71392,1.73092
"27","2017/05/22",1.74778,1.74818,1.71691,1.72058
"27","2017/05/15",1.74315,1.75734,1.73354,1.74763
"27","2017/05/08",1.75164,1.76507,1.73560,1.74343
"27","2017/05/01",1.72888,1.75346,1.70675,1.74921
"27","2017/04/24",1.69275,1.73641,1.68795,1.72925
"27","2017/04/17",1.65362,1.71102,1.65066,1.69801
"27","2017/04/10",1.65020,1.67226,1.64756,1.65305
"27","2017/04/03",1.64206,1.65838,1.63815,1.64825
"27","2017/03/27",1.63645,1.65678,1.61806,1.64228
"27","2017/03/20",1.60835,1.64260,1.59591,1.6378
"27","2017/03/13",1.61178,1.61688,1.59039,1.60845
"27","2017/03/06",1.61868,1.62354,1.60151,1.61243
"27","2017/02/27",1.62340,1.62693,1.59926,1.619
"27","2017/02/20",1.61633,1.63604,1.61486,1.62443
"27","2017/02/13",1.62425,1.64010,1.61228,1.61905
"27","2017/02/06",1.62635,1.64834,1.62006,1.62725
"27","2017/01/30",1.66448,1.67405,1.62252,1.62538
"27","2017/01/23",1.63709,1.67667,1.63537,1.66208
"27","2017/01/16",1.60284,1.64304,1.60073,1.63643
"27","2017/01/09",1.67848,1.68108,1.62004,1.62498
"27","2017/01/02",1.70755,1.70855,1.67867,1.68348
"27","2016/12/26",1.70870,1.71374,1.69340,1.70995
"27","2016/12/19",1.71290,1.71550,1.69840,1.71231
"27","2016/12/12",1.68824,1.71414,1.68106,1.71018
"27","2016/12/05",1.70043,1.71729,1.68090,1.68835
"27","2016/11/28",1.67248,1.71548,1.65476,1.70705
"27","2016/11/21",1.68250,1.69783,1.66457,1.67621
"27","2016/11/14",1.66555,1.68535,1.64031,1.6828
"27","2016/11/07",1.62018,1.67528,1.58991,1.66958
"27","2016/10/31",1.60361,1.63798,1.58963,1.62978
"27","2016/10/24",1.60682,1.61133,1.57899,1.60433
"27","2016/10/17",1.59705,1.61079,1.58778,1.60793
"27","2016/10/10",1.63554,1.63824,1.59572,1.60157
"27","2016/10/03",1.68891,1.69247,1.49883,1.63985
"27","2016/09/26",1.70186,1.70718,1.68709,1.69423
"27","2016/09/19",1.73720,1.73827,1.69426,1.70125
"27","2016/09/12",1.75871,1.77999,1.73520,1.73581
"27","2016/09/05",1.75565,1.76148,1.72658,1.7609
"27","2016/08/29",1.73608,1.76718,1.72612,1.75635
"27","2016/08/22",1.71686,1.74165,1.71373,1.73723
"27","2016/08/15",1.68699,1.72592,1.67197,1.71538
"27","2016/08/08",1.71953,1.72228,1.67866,1.68765
"27","2016/08/01",1.74250,1.76175,1.70682,1.71513
"27","2016/07/25",1.75832,1.76792,1.73573,1.73962
"27","2016/07/18",1.73835,1.77871,1.73803,1.75568
"27","2016/07/11",1.71172,1.76353,1.70441,1.73803
"27","2016/07/04",1.78016,1.78023,1.70997,1.71139
"27","2016/06/27",1.80535,1.81913,1.76979,1.77151
"27","2016/06/20",1.94547,1.97372,1.80040,1.83073
"27","2016/06/13",1.93135,1.94457,1.90361,1.94198
"27","2016/06/06",1.96573,1.98365,1.92347,1.93426
"27","2016/05/30",2.03443,2.04374,1.97007,1.97027
"27","2016/05/23",2.00558,2.05245,2.00011,2.03268
"27","2016/05/16",1.97717,2.03525,1.96593,2.00676
"27","2016/05/09",1.95782,1.98036,1.95298,1.97628
"27","2016/05/02",1.91726,1.97265,1.90197,1.9577
"27","2016/04/25",1.87521,1.92457,1.86772,1.9204
"27","2016/04/18",1.85105,1.87080,1.82723,1.87035
"27","2016/04/11",1.87058,1.88553,1.83055,1.84005
"27","2016/04/04",1.85174,1.88895,1.85089,1.8709
"27","2016/03/28",1.88155,1.90026,1.84879,1.8521
"27","2016/03/21",1.90288,1.90870,1.85903,1.88409
"27","2016/03/14",1.90371,1.91064,1.86538,1.9041
"27","2016/03/07",1.91988,1.92469,1.88842,1.90315
"27","2016/02/29",1.94542,1.96030,1.90553,1.91373
"27","2016/02/22",1.99240,2.00333,1.92624,1.9455
"27","2016/02/15",2.03883,2.04198,1.98830,2.0116
"27","2016/02/08",2.04684,2.06628,2.02759,2.04088
"27","2016/02/01",2.01088,2.05678,2.00983,2.04973
"27","2016/01/25",2.03537,2.05323,1.99961,2.01228
"27","2016/01/18",2.08328,2.08328,2.02225,2.03598
"27","2016/01/11",2.08291,2.09769,2.04788,2.0749
"27","2016/01/04",2.02075,2.09058,2.01775,2.08465
"27","2015/12/28",2.04538,2.05656,2.01715,2.02425
"27","2015/12/21",2.07795,2.08410,2.04414,2.04891
"27","2015/12/14",2.11374,2.12169,2.07029,2.0786
"27","2015/12/07",2.05636,2.11888,2.05636,2.1173
"27","2015/11/30",2.08996,2.09599,2.03409,2.05845
"27","2015/11/23",2.09918,2.11706,2.07304,2.09
"27","2015/11/16",2.13768,2.15135,2.09693,2.09918
"27","2015/11/09",2.14170,2.15715,2.12405,2.1373
"27","2015/11/02",2.17138,2.17138,2.11324,2.13655
"27","2015/10/26",2.12178,2.16908,2.11002,2.16243
"27","2015/10/19",2.12459,2.14855,2.10948,2.12124
"27","2015/10/12",2.09110,2.13063,2.07895,2.12213
"27","2015/10/05",2.14926,2.15708,2.08561,2.08928
"27","2015/09/28",2.16469,2.18627,2.13760,2.1525
