"通貨ペア","日付","始値","高値","安値","終値"
"9","2019/06/10",0.69979,0.69991,0.68611,0.68706
"9","2019/06/03",0.69281,0.70219,0.69271,0.69963
"9","2019/05/27",0.69232,0.69440,0.68986,0.69326
"9","2019/05/20",0.68965,0.69345,0.68647,0.69269
"9","2019/05/13",0.69914,0.69974,0.68631,0.68651
"9","2019/05/06",0.69798,0.70474,0.69620,0.69994
"9","2019/04/29",0.70368,0.70676,0.69832,0.70224
"9","2019/04/22",0.71440,0.71503,0.69873,0.70418
"9","2019/04/15",0.71712,0.72050,0.71358,0.71481
"9","2019/04/08",0.71016,0.71915,0.70867,0.71701
"9","2019/04/01",0.71055,0.71311,0.70519,0.71021
"9","2019/03/25",0.70757,0.71468,0.70629,0.70972
"9","2019/03/18",0.70793,0.71674,0.70559,0.70773
"9","2019/03/11",0.70305,0.70969,0.70258,0.70826
"9","2019/03/04",0.71057,0.71067,0.70023,0.70436
"9","2019/02/25",0.71322,0.71981,0.70688,0.70756
"9","2019/02/18",0.71293,0.72059,0.70691,0.71287
"9","2019/02/11",0.70831,0.71476,0.70533,0.71382
"9","2019/02/04",0.72418,0.72638,0.70597,0.70866
"9","2019/01/28",0.71721,0.72944,0.71372,0.72489
"9","2019/01/21",0.71614,0.71845,0.70752,0.71815
"9","2019/01/14",0.72089,0.72249,0.71461,0.7166
"9","2019/01/07",0.71108,0.72345,0.71067,0.72117
"9","2018/12/31",0.70359,0.71238,0.67504,0.71194
"9","2018/12/24",0.70359,0.70770,0.70160,0.70396
"9","2018/12/17",0.71698,0.72027,0.70341,0.70392
"9","2018/12/10",0.71817,0.72458,0.71504,0.71778
"9","2018/12/03",0.73737,0.73927,0.71908,0.71986
"9","2018/11/26",0.72255,0.73434,0.71989,0.73071
"9","2018/11/19",0.73046,0.73248,0.71984,0.72259
"9","2018/11/12",0.72155,0.73347,0.71635,0.73336
"9","2018/11/05",0.71880,0.73018,0.71817,0.72273
"9","2018/10/29",0.70870,0.72577,0.70495,0.71972
"9","2018/10/22",0.71181,0.71244,0.70202,0.70902
"9","2018/10/15",0.71050,0.71588,0.70883,0.71171
"9","2018/10/08",0.70495,0.71390,0.70403,0.7113
"9","2018/10/01",0.72181,0.72374,0.70416,0.70518
"9","2018/09/24",0.72621,0.73146,0.72002,0.72193
"9","2018/09/17",0.71495,0.73031,0.71411,0.7285
"9","2018/09/10",0.70993,0.72285,0.70845,0.71541
"9","2018/09/03",0.71862,0.72348,0.70979,0.71076
"9","2018/08/27",0.73275,0.73616,0.71751,0.71931
"9","2018/08/20",0.73082,0.73810,0.72371,0.73248
"9","2018/08/13",0.72800,0.73187,0.72017,0.73141
"9","2018/08/06",0.73936,0.74524,0.72799,0.73001
"9","2018/07/30",0.73979,0.74399,0.73475,0.73962
"9","2018/07/23",0.74176,0.74635,0.73588,0.74022
"9","2018/07/16",0.74111,0.74417,0.73172,0.74198
"9","2018/07/09",0.74280,0.74831,0.73577,0.74198
"9","2018/07/02",0.73939,0.74434,0.73098,0.74307
"9","2018/06/25",0.74367,0.74418,0.73226,0.74077
"9","2018/06/18",0.74378,0.74537,0.73448,0.74373
"9","2018/06/11",0.75915,0.76228,0.74416,0.74424
"9","2018/06/04",0.75662,0.76759,0.75597,0.75985
"9","2018/05/28",0.75567,0.75923,0.74754,0.75712
"9","2018/05/21",0.75211,0.76045,0.75021,0.7551
"9","2018/05/14",0.75395,0.75644,0.74464,0.75118
"9","2018/05/07",0.75322,0.75660,0.74117,0.75443
"9","2018/04/30",0.75725,0.75814,0.74717,0.75347
"9","2018/04/23",0.76668,0.76818,0.75313,0.75782
"9","2018/04/16",0.77617,0.78121,0.76545,0.76691
"9","2018/04/09",0.76658,0.78091,0.76514,0.77644
"9","2018/04/02",0.76854,0.77257,0.76490,0.7675
"9","2018/03/26",0.76972,0.77568,0.76420,0.76831
"9","2018/03/19",0.77088,0.77855,0.76716,0.76984
"9","2018/03/12",0.78442,0.79157,0.77092,0.77103
"9","2018/03/05",0.77601,0.78531,0.77250,0.78484
"9","2018/02/26",0.78374,0.78924,0.77116,0.77609
"9","2018/02/19",0.79038,0.79346,0.77897,0.78359
"9","2018/02/12",0.78106,0.79878,0.77723,0.79117
"9","2018/02/05",0.79080,0.79532,0.77581,0.78143
"9","2018/01/29",0.80986,0.81174,0.79191,0.79237
"9","2018/01/22",0.79961,0.81351,0.79556,0.81098
"9","2018/01/15",0.78989,0.80376,0.78989,0.79945
"9","2018/01/08",0.78576,0.79241,0.78066,0.79151
"9","2018/01/01",0.77967,0.78739,0.77938,0.78618
"9","2017/12/25",0.77019,0.78241,0.77014,0.78026
"9","2017/12/18",0.76401,0.77198,0.76399,0.77135
"9","2017/12/11",0.75051,0.76939,0.74983,0.76431
"9","2017/12/04",0.75904,0.76530,0.75005,0.75076
"9","2017/11/27",0.76114,0.76439,0.75507,0.76086
"9","2017/11/20",0.75615,0.76378,0.75312,0.76177
"9","2017/11/13",0.76487,0.76648,0.75350,0.75634
"9","2017/11/06",0.76445,0.76998,0.76265,0.76598
"9","2017/10/30",0.76675,0.77289,0.76384,0.76482
"9","2017/10/23",0.78090,0.78337,0.76243,0.76749
"9","2017/10/16",0.78793,0.78888,0.78075,0.78152
"9","2017/10/09",0.77712,0.78965,0.77468,0.78857
"9","2017/10/02",0.78303,0.78743,0.77322,0.77723
"9","2017/09/25",0.79492,0.79728,0.77986,0.78374
"9","2017/09/18",0.79919,0.81021,0.79075,0.7958
"9","2017/09/11",0.80506,0.80576,0.79552,0.80007
"9","2017/09/04",0.79460,0.81242,0.79393,0.80553
"9","2017/08/28",0.79290,0.79949,0.78687,0.79658
"9","2017/08/21",0.79227,0.79536,0.78658,0.79345
"9","2017/08/14",0.78866,0.79619,0.78071,0.79315
"9","2017/08/07",0.79239,0.79477,0.78384,0.78922
"9","2017/07/31",0.79785,0.80421,0.78905,0.7929
"9","2017/07/24",0.79067,0.80648,0.78771,0.79872
"9","2017/07/17",0.78200,0.79857,0.77856,0.79172
"9","2017/07/10",0.75924,0.78333,0.75856,0.78277
"9","2017/07/03",0.76752,0.76947,0.75704,0.76003
"9","2017/06/26",0.75614,0.77116,0.75596,0.76877
"9","2017/06/19",0.76169,0.76282,0.75344,0.75687
"9","2017/06/12",0.75271,0.76347,0.75210,0.76209
"9","2017/06/05",0.74269,0.75658,0.74214,0.75295
"9","2017/05/29",0.74346,0.74750,0.73684,0.74437
"9","2017/05/22",0.74423,0.75164,0.74213,0.74441
"9","2017/05/15",0.73893,0.74690,0.73840,0.74565
"9","2017/05/08",0.74063,0.74237,0.73282,0.73889
"9","2017/05/01",0.74784,0.75553,0.73668,0.74177
"9","2017/04/24",0.75628,0.75837,0.74393,0.74875
"9","2017/04/17",0.75727,0.76099,0.74903,0.75411
"9","2017/04/10",0.74935,0.75949,0.74721,0.75749
"9","2017/04/03",0.76273,0.76396,0.74932,0.75022
"9","2017/03/27",0.76283,0.76787,0.75866,0.76325
