"通貨ペア","日付","始値","高値","安値","終値"
"1","2018/08/31",110.996,111.137,110.684,111.092
"1","2018/08/30",111.656,111.754,110.950,111.031
"1","2018/08/29",111.176,111.826,111.116,111.671
"1","2018/08/28",111.041,111.356,110.956,111.175
"1","2018/08/27",111.271,111.347,110.936,111.049
"1","2018/08/24",111.281,111.486,111.103,111.233
"1","2018/08/23",110.532,111.317,110.516,111.279
"1","2018/08/22",110.254,110.616,110.025,110.539
"1","2018/08/21",110.051,110.546,109.774,110.199
"1","2018/08/20",110.503,110.683,110.018,110.049
"1","2018/08/17",110.828,111.051,110.315,110.521
"1","2018/08/16",110.681,111.124,110.457,110.89
"1","2018/08/15",111.138,111.431,110.432,110.745
"1","2018/08/14",110.649,111.315,110.588,111.142
"1","2018/08/13",110.474,110.938,110.109,110.712
"1","2018/08/10",111.052,111.170,110.514,110.85
"1","2018/08/09",110.932,111.184,110.708,111.064
"1","2018/08/08",111.372,111.437,110.837,110.944
"1","2018/08/07",111.380,111.479,110.992,111.371
"1","2018/08/06",111.193,111.525,111.168,111.389
"1","2018/08/03",111.626,111.880,111.101,111.267
"1","2018/08/02",111.677,111.737,111.314,111.649
"1","2018/08/01",111.807,112.151,111.388,111.725
"1","2018/07/31",111.053,111.957,110.727,111.83
"1","2018/07/30",110.936,111.166,110.890,111.045
"1","2018/07/27",111.195,111.244,110.798,110.993
"1","2018/07/26",111.001,111.247,110.588,111.221
"1","2018/07/25",111.164,111.386,110.659,110.94
"1","2018/07/24",111.303,111.513,110.961,111.199
"1","2018/07/23",111.372,111.542,110.751,111.353
"1","2018/07/20",112.412,112.622,111.403,111.458
"1","2018/07/19",112.805,113.177,112.053,112.474
"1","2018/07/18",112.843,113.137,112.709,112.825
"1","2018/07/17",112.252,112.925,112.203,112.859
"1","2018/07/16",112.286,112.563,112.226,112.269
"1","2018/07/13",112.494,112.800,112.277,112.334
"1","2018/07/12",111.942,112.626,111.908,112.512
"1","2018/07/11",110.933,112.173,110.767,111.993
"1","2018/07/10",110.775,111.352,110.774,111.082
"1","2018/07/09",110.398,110.902,110.349,110.825
"1","2018/07/06",110.620,110.786,110.380,110.387
"1","2018/07/05",110.467,110.728,110.286,110.665
"1","2018/07/04",110.533,110.609,110.278,110.497
"1","2018/07/03",110.837,111.135,110.509,110.578
"1","2018/07/02",110.639,111.063,110.602,110.871
"1","2018/06/29",110.475,110.941,110.372,110.651
"1","2018/06/28",110.186,110.649,109.965,110.485
"1","2018/06/27",110.018,110.488,109.686,110.27
"1","2018/06/26",109.743,110.218,109.369,110.045
"1","2018/06/25",109.882,110.042,109.367,109.746
"1","2018/06/22",109.924,110.218,109.800,109.975
"1","2018/06/21",110.327,110.758,109.840,109.963
"1","2018/06/20",110.057,110.449,109.855,110.355
"1","2018/06/19",110.526,110.569,109.550,110.08
"1","2018/06/18",110.641,110.668,110.300,110.545
"1","2018/06/15",110.612,110.902,110.384,110.634
"1","2018/06/14",110.335,110.695,109.919,110.615
"1","2018/06/13",110.339,110.850,110.273,110.354
"1","2018/06/12",109.994,110.493,109.950,110.369
"1","2018/06/11",109.313,110.116,109.308,110.034
"1","2018/06/08",109.645,109.852,109.197,109.436
"1","2018/06/07",110.135,110.221,109.476,109.689
"1","2018/06/06",109.764,110.267,109.762,110.197
"1","2018/06/05",109.769,110.003,109.472,109.809
"1","2018/06/04",109.450,109.849,109.370,109.812
"1","2018/06/01",108.776,109.736,108.722,109.502
"1","2018/05/31",108.843,109.005,108.386,108.852
"1","2018/05/30",108.722,109.074,108.350,108.89
"1","2018/05/29",109.387,109.467,108.113,108.708
"1","2018/05/28",109.778,109.784,109.232,109.412
"1","2018/05/25",109.238,109.743,109.120,109.551
"1","2018/05/24",110.024,110.043,108.955,109.254
"1","2018/05/23",110.858,110.914,109.557,110.09
"1","2018/05/22",111.013,111.185,110.795,110.9
"1","2018/05/21",110.862,111.395,110.819,111.026
"1","2018/05/18",110.740,111.081,110.605,110.7
"1","2018/05/17",110.321,110.857,110.073,110.751
"1","2018/05/16",110.310,110.386,110.039,110.363
"1","2018/05/15",109.652,110.453,109.647,110.366
"1","2018/05/14",109.294,109.669,109.207,109.639
"1","2018/05/11",109.340,109.570,109.153,109.301
"1","2018/05/10",109.695,110.016,109.317,109.392
"1","2018/05/09",109.093,109.832,108.996,109.721
"1","2018/05/08",109.051,109.348,108.830,109.129
"1","2018/05/07",109.068,109.397,108.757,109.079
