"通貨ペア","日付","始値","高値","安値","終値"
"2","2018/12/07",128.170,128.672,128.116,128.521
"2","2018/12/06",128.381,128.420,127.673,128.183
"2","2018/12/05",127.874,128.494,127.790,128.391
"2","2018/12/04",128.987,129.034,127.618,127.911
"2","2018/12/03",128.988,129.150,128.545,128.978
"2","2018/11/30",129.220,129.270,128.418,128.476
"2","2018/11/29",129.173,129.271,128.673,129.27
"2","2018/11/28",128.452,129.258,128.250,129.193
"2","2018/11/27",128.626,128.847,128.355,128.51
"2","2018/11/26",128.024,128.917,127.927,128.653
"2","2018/11/23",128.797,128.920,127.820,127.938
"2","2018/11/22",128.729,129.100,128.657,128.781
"2","2018/11/21",128.166,129.074,128.115,128.732
"2","2018/11/20",128.876,129.037,128.007,128.238
"2","2018/11/19",128.715,129.065,128.465,128.895
"2","2018/11/16",128.675,128.891,128.123,128.832
"2","2018/11/15",128.483,129.055,127.767,128.686
"2","2018/11/14",128.449,129.230,128.129,128.496
"2","2018/11/13",127.705,128.754,127.498,128.505
"2","2018/11/12",128.825,129.187,127.643,127.699
"2","2018/11/09",129.600,129.638,128.738,129.003
"2","2018/11/08",129.757,130.128,129.386,129.541
"2","2018/11/07",129.558,130.149,129.390,129.752
"2","2018/11/06",129.115,129.602,128.851,129.602
"2","2018/11/05",128.834,129.323,128.597,129.121
"2","2018/11/02",128.555,129.326,128.362,128.953
"2","2018/11/01",127.718,128.764,127.615,128.566
"2","2018/10/31",128.317,128.543,127.655,127.816
"2","2018/10/30",127.762,128.439,127.735,128.237
"2","2018/10/29",127.527,128.234,127.247,127.789
"2","2018/10/26",127.851,127.881,126.633,127.573
"2","2018/10/25",127.802,128.438,127.494,127.865
"2","2018/10/24",128.960,129.217,127.759,127.833
"2","2018/10/23",129.323,129.381,128.211,128.959
"2","2018/10/22",129.563,130.202,129.200,129.308
"2","2018/10/19",128.476,129.684,128.448,129.575
"2","2018/10/18",129.611,129.730,128.322,128.505
"2","2018/10/17",129.895,130.157,129.173,129.547
"2","2018/10/16",129.424,130.294,129.403,129.933
"2","2018/10/15",129.545,129.798,129.126,129.399
"2","2018/10/12",129.975,130.499,129.357,129.681
