"通貨ペア","日付","始値","高値","安値","終値"
"4","2018/12/28",140.371,140.389,139.498,140.029
"4","2018/12/27",140.615,140.932,139.726,140.378
"4","2018/12/26",139.614,140.880,139.503,140.687
"4","2018/12/25",140.028,140.163,139.655,139.702
"4","2018/12/24",140.237,140.849,139.917,140.092
"4","2018/12/21",140.748,141.165,140.240,140.539
"4","2018/12/20",141.848,142.114,140.577,140.85
"4","2018/12/19",142.128,142.538,141.581,141.809
"4","2018/12/18",142.286,142.654,141.936,142.199
"4","2018/12/17",142.782,143.239,142.158,142.32
"4","2018/12/14",143.657,143.866,142.376,142.608
"4","2018/12/13",142.960,143.934,142.780,143.804
"4","2018/12/12",141.534,143.452,141.488,142.884
"4","2018/12/11",142.205,142.937,141.497,141.612
"4","2018/12/10",143.024,143.713,141.174,142.301
"4","2018/12/07",143.999,144.222,143.236,143.561
"4","2018/12/06",144.043,144.154,143.251,144.021
"4","2018/12/05",143.297,144.542,143.269,144.092
"4","2018/12/04",144.539,144.761,142.845,143.395
"4","2018/12/03",145.026,145.512,144.180,144.547
"4","2018/11/30",145.016,145.289,144.613,144.683
"4","2018/11/29",145.700,145.775,144.515,145.055
"4","2018/11/28",144.936,145.838,144.861,145.752
"4","2018/11/27",145.435,145.534,144.599,144.818
"4","2018/11/26",144.799,145.740,144.652,145.456
"4","2018/11/23",145.386,145.528,144.348,144.656
"4","2018/11/22",144.363,145.951,144.256,145.452
"4","2018/11/21",144.123,144.888,143.969,144.446
"4","2018/11/20",144.582,144.918,144.022,144.197
"4","2018/11/19",144.843,145.318,144.295,144.615
"4","2018/11/16",145.113,145.443,144.597,144.757
"4","2018/11/15",147.557,147.924,144.252,145.115
"4","2018/11/14",147.559,148.430,146.331,147.65
"4","2018/11/13",146.204,148.734,145.991,147.593
"4","2018/11/12",146.945,147.578,146.069,146.282
"4","2018/11/09",148.949,149.030,147.501,147.61
"4","2018/11/08",149.020,149.485,148.607,148.894
"4","2018/11/07",148.520,149.229,148.335,149.073
"4","2018/11/06",147.633,148.695,147.301,148.631
"4","2018/11/05",147.314,147.802,146.852,147.634
"4","2018/11/02",146.489,147.255,146.270,146.826
"4","2018/11/01",144.089,146.894,144.023,146.471
"4","2018/10/31",143.740,145.099,143.618,144.226
"4","2018/10/30",143.757,144.388,143.213,143.629
"4","2018/10/29",143.473,144.404,143.340,143.738
"4","2018/10/26",144.078,144.155,142.769,143.554
"4","2018/10/25",144.472,145.034,144.037,144.098
"4","2018/10/24",145.942,146.301,144.431,144.517
"4","2018/10/23",146.252,146.406,145.290,145.957
"4","2018/10/22",147.029,147.579,146.044,146.226
"4","2018/10/19",146.077,147.336,145.987,147.017
"4","2018/10/18",147.534,147.741,145.809,146.045
"4","2018/10/17",147.972,148.250,147.056,147.723
"4","2018/10/16",146.934,148.405,146.884,148.031
"4","2018/10/15",146.885,147.423,146.508,146.944
"4","2018/10/12",148.331,149.002,147.162,147.569
"4","2018/10/11",148.101,148.780,147.812,148.399
"4","2018/10/10",148.414,149.303,148.049,148.06
"4","2018/10/09",148.090,148.750,147.347,148.46
"4","2018/10/08",149.226,149.510,147.495,148.219
"4","2018/10/05",148.298,149.275,148.084,149.04
"4","2018/10/04",148.164,148.634,147.705,148.349
"4","2018/10/03",147.345,148.584,147.265,148.127
"4","2018/10/02",148.548,148.723,147.192,147.546
"4","2018/10/01",148.203,149.421,148.121,148.602
"4","2018/09/28",148.228,148.643,147.538,148.171
"4","2018/09/27",148.423,148.730,147.596,148.257
"4","2018/09/26",148.793,149.090,148.280,148.472
"4","2018/09/25",147.890,149.023,147.809,148.894
"4","2018/09/24",147.130,148.300,146.944,147.975
"4","2018/09/21",149.160,149.714,146.989,147.325
"4","2018/09/20",147.540,149.286,147.342,149.254
"4","2018/09/19",147.672,148.538,147.171,147.597
"4","2018/09/18",147.178,147.914,146.782,147.728
"4","2018/09/17",146.377,147.462,146.313,147.186
"4","2018/09/14",146.650,147.022,146.256,146.359
"4","2018/09/13",145.073,146.815,145.016,146.691
"4","2018/09/12",145.318,145.661,144.675,145.168
"4","2018/09/11",144.722,145.914,144.341,145.366
"4","2018/09/10",143.405,145.027,143.069,144.719
"4","2018/09/07",143.066,144.436,142.610,143.385
"4","2018/09/06",143.867,144.252,142.927,143.098
"4","2018/09/05",143.194,144.972,142.652,143.914
"4","2018/09/04",142.932,143.377,142.591,143.269
"4","2018/09/03",143.488,143.719,142.837,143.004
"4","2018/08/31",144.457,144.691,143.493,143.972
"4","2018/08/30",145.434,145.687,144.366,144.453
"4","2018/08/29",143.085,145.551,142.821,145.487
"4","2018/08/28",143.167,143.664,143.042,143.058
"4","2018/08/27",142.941,143.283,142.527,143.173
"4","2018/08/24",142.566,143.238,142.503,142.884
"4","2018/08/23",142.672,143.015,142.422,142.577
"4","2018/08/22",142.182,142.796,141.999,142.739
"4","2018/08/21",140.826,142.679,140.664,142.21
"4","2018/08/20",140.842,141.217,140.720,140.807
"4","2018/08/17",140.946,141.165,140.227,140.902
"4","2018/08/16",140.535,141.322,140.206,140.941
"4","2018/08/15",141.290,141.767,139.895,140.603
"4","2018/08/14",141.210,142.472,141.004,141.331
"4","2018/08/13",140.899,141.835,140.241,141.265
"4","2018/08/10",142.433,142.557,140.934,141.549
"4","2018/08/09",142.914,143.495,142.348,142.414
"4","2018/08/08",144.102,144.278,142.727,142.916
"4","2018/08/07",144.113,144.438,143.808,144.084
"4","2018/08/06",144.562,144.735,144.040,144.159
"4","2018/08/03",145.277,145.546,144.509,144.686
"4","2018/08/02",146.554,146.622,145.000,145.341
"4","2018/08/01",146.727,147.145,146.315,146.647
"4","2018/07/31",145.819,147.009,145.319,146.807
"4","2018/07/30",145.425,145.926,145.369,145.823
"4","2018/07/27",145.749,145.801,145.268,145.451
"4","2018/07/26",146.462,146.479,145.751,145.803
"4","2018/07/25",146.094,146.508,145.769,146.376
"4","2018/07/24",145.813,146.325,145.459,146.153
"4","2018/07/23",146.187,146.410,145.674,145.844
"4","2018/07/20",146.263,146.660,145.973,146.391
"4","2018/07/19",147.398,147.589,146.159,146.359
"4","2018/07/18",147.906,148.229,146.865,147.478
"4","2018/07/17",148.608,149.089,147.586,147.967
"4","2018/07/16",148.532,149.311,148.515,148.597
"4","2018/07/13",148.510,148.685,147.642,148.662
"4","2018/07/12",147.822,148.899,147.771,148.584
"4","2018/07/11",147.261,148.128,146.801,147.868
"4","2018/07/10",146.826,147.791,146.809,147.431
"4","2018/07/09",146.971,147.612,146.111,146.912
"4","2018/07/06",146.207,146.743,146.119,146.595
"4","2018/07/05",146.210,146.870,145.834,146.291
"4","2018/07/04",145.807,146.366,145.522,146.171
"4","2018/07/03",145.649,146.385,145.283,145.884
"4","2018/07/02",146.014,146.490,145.184,145.707
"4","2018/06/29",144.392,146.330,144.339,146.163
"4","2018/06/28",144.526,144.676,143.769,144.478
"4","2018/06/27",145.434,145.655,144.521,144.633
"4","2018/06/26",145.738,145.752,144.971,145.483
"4","2018/06/25",145.779,146.185,144.693,145.727
"4","2018/06/22",145.603,146.648,145.455,145.831
"4","2018/06/21",145.341,146.217,144.597,145.6
"4","2018/06/20",144.953,145.617,144.581,145.407
"4","2018/06/19",146.366,146.464,144.382,145.003
"4","2018/06/18",146.885,146.906,146.101,146.437
"4","2018/06/15",146.673,147.065,146.293,146.943
"4","2018/06/14",147.539,147.848,146.690,146.726
"4","2018/06/13",147.560,147.893,147.208,147.572
"4","2018/06/12",147.155,147.984,147.099,147.565
"4","2018/06/11",146.553,147.847,146.553,147.231
"4","2018/06/08",147.139,147.439,146.092,146.709
"4","2018/06/07",147.720,148.118,146.903,147.194
"4","2018/06/06",147.047,148.005,147.047,147.787
"4","2018/06/05",146.154,147.069,146.034,147.067
"4","2018/06/04",146.075,146.898,145.838,146.158
"4","2018/06/01",144.575,146.291,144.484,146.173
"4","2018/05/31",144.622,145.310,144.122,144.684
"4","2018/05/30",144.069,145.051,143.597,144.659
"4","2018/05/29",145.576,145.708,143.194,144.08
"4","2018/05/28",146.107,146.174,145.315,145.626
"4","2018/05/25",146.136,146.725,145.277,145.765
"4","2018/05/24",146.848,147.270,145.689,146.189
"4","2018/05/23",148.894,148.995,145.944,146.964
"4","2018/05/22",149.073,149.722,148.767,148.953
"4","2018/05/21",149.339,149.652,148.812,149.088
"4","2018/05/18",149.638,150.005,149.089,149.228
"4","2018/05/17",148.908,149.833,148.884,149.66
"4","2018/05/16",148.989,149.074,148.181,148.868
"4","2018/05/15",148.644,149.197,148.377,149.066
"4","2018/05/14",147.995,149.065,147.993,148.607
"4","2018/05/11",147.805,148.486,147.580,148.022
"4","2018/05/10",148.589,149.306,147.479,147.857
"4","2018/05/09",147.745,149.194,147.720,148.642
"4","2018/05/08",147.865,148.073,147.049,147.859
