"通貨ペア","日付","始値","高値","安値","終値"
"5","2018/12/28",1.26380,1.27078,1.26349,1.26962
"5","2018/12/27",1.26268,1.26749,1.26159,1.26465
"5","2018/12/26",1.26607,1.27188,1.26311,1.26342
"5","2018/12/25",1.26799,1.27065,1.26788,1.26942
"5","2018/12/24",1.26415,1.27387,1.26340,1.2684
"5","2018/12/21",1.26567,1.26974,1.26176,1.26326
"5","2018/12/20",1.26120,1.27066,1.26015,1.26569
"5","2018/12/19",1.26308,1.26789,1.26065,1.26132
"5","2018/12/18",1.26136,1.27053,1.26077,1.26417
"5","2018/12/17",1.25965,1.26470,1.25598,1.26138
"5","2018/12/14",1.26473,1.26653,1.25294,1.25786
"5","2018/12/13",1.26224,1.26865,1.26042,1.26589
"5","2018/12/12",1.24811,1.26716,1.24766,1.26163
"5","2018/12/11",1.25535,1.26390,1.24791,1.24894
"5","2018/12/10",1.26995,1.27596,1.25064,1.25587
"5","2018/12/07",1.27769,1.27898,1.27109,1.27416
"5","2018/12/06",1.27274,1.28115,1.26994,1.27848
"5","2018/12/05",1.27098,1.27980,1.26718,1.27324
"5","2018/12/04",1.27180,1.28394,1.26585,1.2715
"5","2018/12/03",1.27586,1.28243,1.26986,1.27243
"5","2018/11/30",1.27812,1.28092,1.27349,1.27434
"5","2018/11/29",1.28207,1.28495,1.27552,1.2785
"5","2018/11/28",1.27376,1.28468,1.27322,1.28231
"5","2018/11/27",1.28037,1.28195,1.27251,1.27283
"5","2018/11/26",1.28212,1.28638,1.27959,1.2806
"5","2018/11/23",1.28720,1.28817,1.27980,1.28094
"5","2018/11/22",1.27683,1.29268,1.27632,1.28762
"5","2018/11/21",1.27783,1.28190,1.27635,1.27766
"5","2018/11/20",1.28469,1.28822,1.27757,1.27873
"5","2018/11/19",1.28391,1.28834,1.27937,1.28489
"5","2018/11/16",1.27662,1.28767,1.27575,1.28255
"5","2018/11/15",1.29912,1.30296,1.27231,1.27726
"5","2018/11/14",1.29646,1.30717,1.28808,1.29925
"5","2018/11/13",1.28413,1.30466,1.28392,1.29683
"5","2018/11/12",1.29114,1.29462,1.28266,1.28503
"5","2018/11/09",1.30599,1.30676,1.29575,1.29724
"5","2018/11/08",1.31286,1.31492,1.30442,1.30614
"5","2018/11/07",1.30941,1.31738,1.30730,1.31267
"5","2018/11/06",1.30387,1.31062,1.30203,1.31017
"5","2018/11/05",1.30184,1.30550,1.29637,1.30431
"5","2018/11/02",1.29996,1.30401,1.29509,1.29692
"5","2018/11/01",1.27590,1.30344,1.27570,1.29974
"5","2018/10/31",1.27037,1.28269,1.26972,1.27682
"5","2018/10/30",1.27938,1.28119,1.26953,1.27086
"5","2018/10/29",1.28197,1.28524,1.27914,1.27943
"5","2018/10/26",1.28141,1.28407,1.27761,1.28314
"5","2018/10/25",1.28784,1.29187,1.27964,1.28171
"5","2018/10/24",1.29790,1.29899,1.28664,1.28785
"5","2018/10/23",1.29626,1.30436,1.29364,1.29835
"5","2018/10/22",1.30629,1.30894,1.29559,1.2964
"5","2018/10/19",1.30187,1.31036,1.30103,1.3068
"5","2018/10/18",1.30879,1.31307,1.30152,1.3019
"5","2018/10/17",1.31798,1.31918,1.30987,1.31119
"5","2018/10/16",1.31428,1.32355,1.31392,1.31862
"5","2018/10/15",1.30942,1.31811,1.30909,1.31498
"5","2018/10/12",1.32245,1.32572,1.31455,1.31551
"5","2018/10/11",1.31961,1.32469,1.31814,1.32357
"5","2018/10/10",1.31345,1.32149,1.31316,1.31845
"5","2018/10/09",1.30807,1.31494,1.30321,1.31442
"5","2018/10/08",1.31168,1.31321,1.30275,1.30915
"5","2018/10/05",1.30158,1.31223,1.30026,1.31112
"5","2018/10/04",1.29417,1.30407,1.29213,1.30204
"5","2018/10/03",1.29671,1.30220,1.29237,1.29349
"5","2018/10/02",1.30335,1.30478,1.29403,1.29785
"5","2018/10/01",1.30300,1.31148,1.30113,1.30381
"5","2018/09/28",1.30724,1.30895,1.29992,1.30333
"5","2018/09/27",1.31669,1.31773,1.30736,1.30757
"5","2018/09/26",1.31700,1.32173,1.31371,1.31694
"5","2018/09/25",1.31113,1.31932,1.30941,1.31803
"5","2018/09/24",1.30748,1.31661,1.30621,1.31161
"5","2018/09/21",1.32590,1.32759,1.30541,1.30839
"5","2018/09/20",1.31401,1.32979,1.31337,1.32678
"5","2018/09/19",1.31414,1.32140,1.30967,1.31438
"5","2018/09/18",1.31548,1.31716,1.31179,1.31486
"5","2018/09/17",1.30664,1.31642,1.30646,1.31594
"5","2018/09/14",1.31023,1.31426,1.30560,1.30681
"5","2018/09/13",1.30406,1.31237,1.30255,1.31043
"5","2018/09/12",1.30206,1.30803,1.29789,1.30496
"5","2018/09/11",1.30244,1.30866,1.29637,1.30281
"5","2018/09/10",1.29146,1.30511,1.28962,1.30243
"5","2018/09/07",1.29206,1.30274,1.29075,1.2919
"5","2018/09/06",1.29007,1.29610,1.28955,1.29249
"5","2018/09/05",1.28469,1.29821,1.27848,1.2907
"5","2018/09/04",1.28652,1.28751,1.28094,1.28535
"5","2018/09/03",1.29147,1.29329,1.28543,1.28708
"5","2018/08/31",1.30102,1.30279,1.29447,1.29602
"5","2018/08/30",1.30203,1.30426,1.29844,1.30105
"5","2018/08/29",1.28664,1.30317,1.28446,1.30282
"5","2018/08/28",1.28885,1.29311,1.28610,1.28683
"5","2018/08/27",1.28421,1.29004,1.28283,1.28932
"5","2018/08/24",1.28089,1.28805,1.27987,1.28465
"5","2018/08/23",1.29048,1.29161,1.28041,1.28141
"5","2018/08/22",1.28970,1.29357,1.28674,1.29133
"5","2018/08/21",1.27929,1.29240,1.27903,1.29055
"5","2018/08/20",1.27414,1.27987,1.27289,1.27957
"5","2018/08/17",1.27116,1.27509,1.26971,1.27492
"5","2018/08/16",1.26933,1.27534,1.26846,1.27105
"5","2018/08/15",1.27085,1.27346,1.26610,1.26966
"5","2018/08/14",1.27544,1.28267,1.27039,1.27166
"5","2018/08/13",1.27523,1.27905,1.27294,1.27599
"5","2018/08/10",1.28215,1.28362,1.27224,1.27693
"5","2018/08/09",1.28798,1.29111,1.28181,1.28232
"5","2018/08/08",1.29343,1.29591,1.28529,1.28821
"5","2018/08/07",1.29348,1.29730,1.29230,1.29376
"5","2018/08/06",1.29979,1.30054,1.29192,1.29423
"5","2018/08/03",1.30104,1.30425,1.29748,1.30026
"5","2018/08/02",1.31200,1.31278,1.30139,1.30168
"5","2018/08/01",1.31199,1.31435,1.30944,1.31248
"5","2018/07/31",1.31265,1.31721,1.30886,1.31267
"5","2018/07/30",1.31042,1.31514,1.30966,1.31309
"5","2018/07/27",1.31028,1.31302,1.30815,1.31048
"5","2018/07/26",1.31913,1.32125,1.31046,1.31097
"5","2018/07/25",1.31390,1.32000,1.31320,1.31946
"5","2018/07/24",1.30966,1.31587,1.30709,1.31438
"5","2018/07/23",1.31219,1.31577,1.30814,1.30979
"5","2018/07/20",1.30086,1.31392,1.29944,1.31294
"5","2018/07/19",1.30647,1.30825,1.29566,1.30131
"5","2018/07/18",1.31031,1.31162,1.30095,1.30719
"5","2018/07/17",1.32350,1.32679,1.30685,1.3111
