"通貨ペア","日付","始値","高値","安値","終値"
"6","2019/02/22",83.599,84.247,83.579,84.146
"6","2019/02/21",84.072,84.191,83.632,83.644
"6","2019/02/20",83.627,84.240,83.621,84.118
"6","2019/02/19",83.473,83.780,83.227,83.67
"6","2019/02/18",83.295,83.603,83.284,83.519
"6","2019/02/15",83.040,83.365,82.800,83.319
"6","2019/02/14",83.682,83.955,82.903,83.105
"6","2019/02/13",83.405,83.842,83.370,83.709
"6","2019/02/12",82.899,83.473,82.877,83.444
"6","2019/02/11",82.681,83.177,82.597,82.944
"6","2019/02/08",82.511,82.995,82.250,82.677
"6","2019/02/07",83.207,83.246,82.376,82.528
"6","2019/02/06",83.692,83.768,83.045,83.245
"6","2019/02/05",83.741,83.955,83.518,83.743
"6","2019/02/04",83.554,83.961,83.521,83.785
"6","2019/02/01",82.900,83.800,82.711,83.638
"6","2019/01/31",82.874,82.967,82.460,82.953
"6","2019/01/30",82.358,83.169,82.256,82.871
"6","2019/01/29",82.401,82.628,82.182,82.382
"6","2019/01/28",82.821,82.905,82.199,82.451
"6","2019/01/25",82.077,82.901,81.968,82.804
"6","2019/01/24",82.080,82.239,81.928,82.046
"6","2019/01/23",81.843,82.417,81.835,82.102
"6","2019/01/22",82.447,82.477,81.715,81.867
"6","2019/01/21",82.677,82.736,82.340,82.465
"6","2019/01/18",82.232,82.876,82.096,82.675
"6","2019/01/17",82.237,82.552,81.592,82.249
"6","2019/01/16",81.889,82.407,81.589,82.279
"6","2019/01/15",81.389,82.052,81.371,81.909
"6","2019/01/14",81.812,81.838,81.273,81.455
"6","2019/01/11",81.874,82.152,81.611,81.824
"6","2019/01/10",81.830,81.996,81.428,81.909
"6","2019/01/09",81.875,82.385,81.547,81.81
"6","2019/01/08",81.702,82.107,81.405,81.903
"6","2019/01/07",81.071,81.817,80.845,81.708
"6","2019/01/04",79.814,81.084,79.695,81.032
"6","2019/01/03",80.067,80.324,77.866,79.829
"6","2019/01/02",80.379,80.616,79.640,80.122
"6","2018/12/31",80.818,81.109,80.256,80.331
"6","2018/12/28",81.500,81.518,80.652,80.801
"6","2018/12/27",81.987,82.012,80.954,81.478
"6","2018/12/26",81.040,82.049,80.911,82.018
"6","2018/12/25",81.122,81.176,80.840,80.97
"6","2018/12/24",81.563,81.904,81.015,81.131
"6","2018/12/21",82.311,82.521,81.793,81.794
"6","2018/12/20",83.363,83.499,81.914,82.401
"6","2018/12/19",83.535,83.702,83.071,83.403
"6","2018/12/18",84.064,84.116,83.336,83.564
"6","2018/12/17",84.651,84.833,83.950,84.119
"6","2018/12/14",85.024,85.106,84.603,84.667
"6","2018/12/13",84.793,85.206,84.738,85.08
"6","2018/12/12",84.619,84.974,84.588,84.803
"6","2018/12/11",84.509,84.709,84.227,84.647
"6","2018/12/10",84.406,84.696,84.181,84.517
"6","2018/12/07",84.176,85.069,84.080,84.583
"6","2018/12/06",84.687,84.718,83.547,84.171
"6","2018/12/05",84.973,85.176,84.451,84.713
"6","2018/12/04",86.067,86.089,84.909,85.011
"6","2018/12/03",85.821,86.227,85.596,86.058
"6","2018/11/30",85.400,85.520,85.154,85.394
"6","2018/11/29",85.568,85.622,85.147,85.403
"6","2018/11/28",85.538,85.719,85.244,85.593
"6","2018/11/27",85.658,85.843,85.359,85.538
"6","2018/11/26",85.348,85.908,85.308,85.674
"6","2018/11/23",85.607,85.673,85.041,85.298
"6","2018/11/22",85.404,85.691,85.225,85.6
"6","2018/11/21",84.715,85.477,84.621,85.442
"6","2018/11/20",85.406,85.540,84.593,84.705
"6","2018/11/19",85.701,85.774,85.193,85.429
"6","2018/11/16",86.164,86.231,85.480,85.803
"6","2018/11/15",85.742,86.335,85.429,86.197
"6","2018/11/14",85.953,86.243,85.517,85.799
"6","2018/11/13",85.919,86.280,85.752,85.988
"6","2018/11/12",86.171,86.535,85.855,85.909
"6","2018/11/09",86.685,86.747,85.930,86.213
"6","2018/11/08",86.501,86.968,86.428,86.662
"6","2018/11/07",86.385,86.746,86.070,86.578
"6","2018/11/06",86.341,86.519,86.148,86.449
"6","2018/11/05",86.387,86.578,86.256,86.323
"6","2018/11/02",86.056,86.590,85.954,86.402
"6","2018/11/01",85.768,86.297,85.628,86.098
"6","2018/10/31",86.251,86.379,85.662,85.841
"6","2018/10/30",85.518,86.188,85.501,86.188
"6","2018/10/29",85.396,85.883,85.269,85.53
"6","2018/10/26",85.957,85.987,84.831,85.441
"6","2018/10/25",85.918,86.292,85.715,85.989
"6","2018/10/24",85.901,86.797,85.818,85.958
