"通貨ペア","日付","始値","高値","安値","終値"
"6","2019/03/04",84.209,84.324,82.399,82.862
"6","2019/02/25",84.203,85.219,83.616,84.176
"6","2019/02/18",83.295,84.247,83.227,84.146
"6","2019/02/11",82.681,83.955,82.597,83.319
"6","2019/02/04",83.554,83.961,82.250,82.677
"6","2019/01/28",82.821,83.800,82.182,83.638
"6","2019/01/21",82.677,82.901,81.715,82.804
"6","2019/01/14",81.812,82.876,81.273,82.675
"6","2019/01/07",81.071,82.385,80.845,81.824
"6","2018/12/31",80.818,81.109,77.866,81.032
"6","2018/12/24",81.563,82.049,80.652,80.801
"6","2018/12/17",84.651,84.833,81.793,81.794
"6","2018/12/10",84.406,85.206,84.181,84.667
"6","2018/12/03",85.821,86.227,83.547,84.583
"6","2018/11/26",85.348,85.908,85.147,85.394
"6","2018/11/19",85.701,85.774,84.593,85.298
"6","2018/11/12",86.171,86.535,85.429,85.803
"6","2018/11/05",86.387,86.968,85.930,86.213
"6","2018/10/29",85.396,86.590,85.269,86.402
"6","2018/10/22",85.832,86.797,84.831,85.441
"6","2018/10/15",86.080,86.868,85.549,85.801
"6","2018/10/08",87.835,87.954,85.668,86.075
"6","2018/10/01",88.423,89.190,87.674,87.762
"6","2018/09/24",87.027,87.985,86.193,87.942
"6","2018/09/17",85.860,87.438,85.462,87.158
"6","2018/09/10",84.240,86.215,84.068,85.924
"6","2018/09/03",84.992,85.124,83.748,84.224
"6","2018/08/27",85.473,86.568,84.679,85.147
"6","2018/08/20",84.598,85.444,84.193,85.322
"6","2018/08/13",83.957,85.303,83.615,84.606
"6","2018/08/06",85.556,85.837,84.084,84.44
"6","2018/07/30",84.926,86.272,84.724,85.623
"6","2018/07/23",84.750,85.211,84.246,84.96
"6","2018/07/16",85.308,85.727,84.494,84.873
"6","2018/07/09",84.286,85.644,84.190,85.36
"6","2018/07/02",84.069,84.499,83.727,84.226
"6","2018/06/25",82.790,84.362,82.150,84.238
"6","2018/06/18",83.854,83.991,82.255,82.842
"6","2018/06/11",84.196,85.181,83.694,83.821
"6","2018/06/04",84.475,85.639,83.841,84.657
"6","2018/05/28",84.627,84.948,82.979,84.422
"6","2018/05/21",86.077,87.085,84.031,84.425
"6","2018/05/14",85.426,86.772,85.299,85.944
"6","2018/05/07",84.849,86.046,83.874,85.452
"6","2018/04/30",84.921,85.723,84.354,84.829
"6","2018/04/23",84.416,85.295,84.342,84.951
"6","2018/04/16",85.317,85.422,84.310,84.35
"6","2018/04/09",83.650,85.741,83.565,85.135
"6","2018/04/02",82.389,84.247,81.617,83.763
"6","2018/03/26",81.193,82.825,81.180,82.401
"6","2018/03/19",80.958,82.389,80.528,81.33
"6","2018/03/12",83.283,83.474,80.662,80.965
"6","2018/03/05",81.830,83.422,81.360,83.314
"6","2018/02/26",84.765,84.765,81.652,82.045
"6","2018/02/19",84.600,85.246,83.825,84.475
"6","2018/02/12",86.433,86.558,84.467,84.65
"6","2018/02/05",88.569,88.634,85.540,86.423
"6","2018/01/29",88.238,89.425,87.780,88.636
"6","2018/01/22",88.577,89.221,87.872,88.138
"6","2018/01/15",89.087,89.616,88.219,88.61
"6","2018/01/08",91.104,91.356,88.482,89.005
"6","2018/01/01",89.670,91.562,89.362,91.096
"6","2017/12/25",88.928,90.021,88.890,89.612
"6","2017/12/18",87.538,89.316,87.306,89.019
"6","2017/12/11",88.278,88.511,87.320,87.369
"6","2017/12/04",88.786,89.226,87.485,88.23
"6","2017/11/27",87.709,88.599,86.740,88.359
"6","2017/11/20",87.778,88.149,87.379,87.747
"6","2017/11/13",89.415,89.595,87.490,87.727
"6","2017/11/06",89.258,89.790,88.962,89.501
"6","2017/10/30",88.663,89.601,87.768,89.337
"6","2017/10/23",90.106,90.273,88.192,88.649
"6","2017/10/16",89.631,90.758,88.982,89.848
"6","2017/10/09",89.818,90.333,89.357,89.611
"6","2017/10/02",90.147,90.458,89.600,89.786
"6","2017/09/25",90.870,91.446,89.819,90.154
"6","2017/09/18",91.076,91.475,90.395,90.76
"6","2017/09/11",89.087,91.620,89.006,90.948
"6","2017/09/04",88.319,89.816,87.534,88.72
"6","2017/08/28",87.522,89.063,86.427,88.976
"6","2017/08/21",86.889,87.739,86.311,87.526
"6","2017/08/14",86.035,87.343,86.025,86.794
"6","2017/08/07",87.485,87.698,85.453,86.058
"6","2017/07/31",88.927,88.971,87.328,87.495
"6","2017/07/24",88.605,89.707,88.154,89.013
"6","2017/07/17",88.897,89.238,88.256,88.596
"6","2017/07/10",88.440,89.307,87.401,88.913
"6","2017/07/03",86.466,88.691,86.450,88.402
"6","2017/06/26",83.806,86.850,83.783,86.715
"6","2017/06/19",83.840,84.533,83.186,83.871
"6","2017/06/12",81.977,84.223,81.393,83.896
"6","2017/06/05",81.824,82.427,80.852,81.872
"6","2017/05/29",82.694,82.866,81.606,81.798
"6","2017/05/22",82.210,83.465,82.149,82.717
"6","2017/05/15",82.560,83.508,80.638,82.292
"6","2017/05/08",82.576,83.719,82.065,82.623
"6","2017/05/01",81.562,82.496,81.291,82.492
"6","2017/04/24",81.704,82.377,80.852,81.61
"6","2017/04/17",81.586,81.938,80.553,80.873
"6","2017/04/10",82.813,83.359,81.446,81.488
"6","2017/04/03",83.685,83.722,81.996,82.887
"6","2017/03/27",83.034,84.188,82.226,83.648
"6","2017/03/20",84.389,84.778,82.628,83.255
"6","2017/03/13",85.247,85.553,84.141,84.408
"6","2017/03/06",85.103,85.887,84.625,85.193
"6","2017/02/27",85.568,85.780,84.171,85.247
"6","2017/02/20",86.113,86.592,85.408,85.553
"6","2017/02/13",86.715,87.713,85.896,86.188
"6","2017/02/06",86.285,86.922,84.847,86.49
"6","2017/01/30",87.315,87.503,86.101,86.388
"6","2017/01/23",85.653,87.956,84.785,87.523
"6","2017/01/16",86.950,87.143,85.668,86
"6","2017/01/09",88.274,88.635,86.571,87.243
"6","2017/01/02",87.263,88.510,86.994,88.393
"6","2016/12/26",86.496,87.108,85.961,87.065
"6","2016/12/19",88.395,88.445,86.442,86.699
"6","2016/12/12",87.783,88.904,87.380,88.445
"6","2016/12/05",85.212,87.575,84.591,87.505
"6","2016/11/28",83.533,86.001,82.703,85.403
"6","2016/11/21",82.088,84.349,82.027,83.591
"6","2016/11/14",79.112,82.075,78.911,82.063
"6","2016/11/07",77.917,79.581,74.790,78.779
"6","2016/10/31",77.931,78.528,76.515,76.833
"6","2016/10/24",77.783,78.945,77.759,78.228
"6","2016/10/17",79.371,79.643,77.588,77.875
"6","2016/10/10",77.698,79.421,77.546,79.248
"6","2016/10/03",77.198,78.863,77.085,77.488
"6","2016/09/26",76.653,77.826,75.396,77.235
"6","2016/09/19",77.319,77.868,76.140,76.723
"6","2016/09/12",78.594,78.632,77.010,77.367
"6","2016/09/05",80.071,80.294,78.574,78.753
"6","2016/08/29",78.325,80.135,78.182,80.078
"6","2016/08/22",78.147,78.394,77.319,78.278
"6","2016/08/15",78.099,78.511,77.566,77.861
"6","2016/08/08",77.277,78.769,77.208,78.065
"6","2016/08/01",78.348,78.768,76.749,77.233
"6","2016/07/25",80.765,81.201,78.095,78.308
"6","2016/07/18",81.418,82.266,80.397,80.828
"6","2016/07/11",77.044,82.505,76.971,80.895
"6","2016/07/04",79.432,79.933,76.753,77.013
"6","2016/06/27",78.050,79.938,77.452,79.448
"6","2016/06/20",81.471,83.756,75.783,78.664
"6","2016/06/13",83.526,83.587,79.300,80.806
"6","2016/06/06",82.250,84.552,82.112,83.796
"6","2016/05/30",84.697,85.494,82.227,82.339
"6","2016/05/23",83.934,85.160,82.888,84.688
"6","2016/05/16",83.893,85.214,83.472,83.929
"6","2016/05/09",82.867,85.440,82.840,83.978
"6","2016/05/02",84.723,85.219,82.231,82.992
"6","2016/04/25",88.276,88.783,84.710,84.788
"6","2016/04/18",83.510,88.216,83.093,88.145
"6","2016/04/11",83.152,85.697,82.711,84.753
"6","2016/04/04",85.602,85.753,81.692,83.173
"6","2016/03/28",85.293,87.443,85.242,85.69
"6","2016/03/21",85.591,86.277,84.545,85.248
