"通貨ペア","日付","始値","高値","安値","終値"
"7","2019/01/18",1.32733,1.32836,1.32296,1.32709
"7","2019/01/17",1.32519,1.33182,1.32454,1.3279
"7","2019/01/16",1.32618,1.32835,1.32344,1.32561
"7","2019/01/15",1.32778,1.32934,1.32254,1.32664
"7","2019/01/14",1.32579,1.32968,1.32519,1.32767
"7","2019/01/11",1.32323,1.32779,1.31826,1.32632
"7","2019/01/10",1.32053,1.32583,1.32011,1.32371
"7","2019/01/09",1.32711,1.32768,1.31795,1.32135
"7","2019/01/08",1.32928,1.33223,1.32669,1.32747
"7","2019/01/07",1.33757,1.33878,1.32781,1.32992
"7","2019/01/04",1.34833,1.34918,1.33802,1.33815
"7","2019/01/03",1.35822,1.36510,1.34686,1.34835
"7","2019/01/02",1.36322,1.36617,1.35685,1.35865
"7","2018/12/31",1.36345,1.36643,1.36085,1.36392
"7","2018/12/28",1.36113,1.36607,1.35942,1.36447
"7","2018/12/27",1.35713,1.36601,1.35658,1.36214
"7","2018/12/26",1.35862,1.36178,1.35666,1.35748
"7","2018/12/25",1.35900,1.36057,1.35808,1.35879
"7","2018/12/24",1.35925,1.36150,1.35643,1.35988
"7","2018/12/21",1.35012,1.35997,1.34923,1.35987
"7","2018/12/20",1.34789,1.35300,1.34457,1.35026
"7","2018/12/19",1.34586,1.35070,1.34147,1.34779
"7","2018/12/18",1.34069,1.34959,1.33900,1.34585
"7","2018/12/17",1.33787,1.34199,1.33718,1.34103
"7","2018/12/14",1.33467,1.34008,1.33462,1.33881
"7","2018/12/13",1.33461,1.33833,1.33376,1.33496
"7","2018/12/12",1.33890,1.33946,1.33217,1.33521
"7","2018/12/11",1.33916,1.34235,1.33774,1.33924
"7","2018/12/10",1.33307,1.34157,1.32922,1.34041
"7","2018/12/07",1.33769,1.33999,1.32530,1.33182
"7","2018/12/06",1.33528,1.34439,1.33518,1.33812
"7","2018/12/05",1.32594,1.33987,1.32520,1.33564
"7","2018/12/04",1.31934,1.32633,1.31633,1.32632
"7","2018/12/03",1.32325,1.32674,1.31593,1.31975
"7","2018/11/30",1.32754,1.33327,1.32714,1.32926
"7","2018/11/29",1.32691,1.33118,1.32526,1.32826
"7","2018/11/28",1.32916,1.33590,1.32413,1.32767
"7","2018/11/27",1.32482,1.33275,1.32349,1.32983
"7","2018/11/26",1.32195,1.32606,1.31863,1.32547
"7","2018/11/23",1.31831,1.32579,1.31830,1.32287
"7","2018/11/22",1.32264,1.32447,1.31816,1.3188
"7","2018/11/21",1.32985,1.33168,1.32279,1.32279
"7","2018/11/20",1.31661,1.33174,1.31546,1.33076
"7","2018/11/19",1.31516,1.32011,1.31407,1.31706
"7","2018/11/16",1.31762,1.31858,1.31262,1.31515
"7","2018/11/15",1.32353,1.32484,1.31552,1.31782
"7","2018/11/14",1.32316,1.32630,1.32068,1.32424
"7","2018/11/13",1.32396,1.32627,1.32146,1.32328
"7","2018/11/12",1.31993,1.32486,1.31822,1.32478
"7","2018/11/09",1.31469,1.32324,1.31395,1.31952
"7","2018/11/08",1.31122,1.31826,1.30867,1.31519
"7","2018/11/07",1.31183,1.31579,1.30553,1.31145
"7","2018/11/06",1.31015,1.31437,1.31011,1.31201
"7","2018/11/05",1.30886,1.31151,1.30703,1.31095
"7","2018/11/02",1.30829,1.31184,1.30478,1.31
"7","2018/11/01",1.31576,1.31681,1.30681,1.30863
"7","2018/10/31",1.31071,1.31693,1.31058,1.31557
"7","2018/10/30",1.31299,1.31465,1.30999,1.31102
"7","2018/10/29",1.30939,1.31484,1.30817,1.31323
"7","2018/10/26",1.30686,1.31588,1.30663,1.30916
"7","2018/10/25",1.30480,1.30977,1.30143,1.30724
"7","2018/10/24",1.30778,1.30991,1.29689,1.30521
"7","2018/10/23",1.30945,1.31217,1.30754,1.30824
"7","2018/10/22",1.31019,1.31257,1.30786,1.30991
"7","2018/10/19",1.30797,1.31316,1.30270,1.31092
"7","2018/10/18",1.30158,1.30878,1.30158,1.30826
"7","2018/10/17",1.29308,1.30226,1.29306,1.30214
"7","2018/10/16",1.29860,1.29981,1.29156,1.29309
"7","2018/10/15",1.30192,1.30505,1.29543,1.29914
"7","2018/10/12",1.30280,1.30517,1.30018,1.30298
"7","2018/10/11",1.30535,1.30709,1.30141,1.30318
"7","2018/10/10",1.29445,1.30608,1.29262,1.30606
"7","2018/10/09",1.29548,1.30030,1.29352,1.29436
"7","2018/10/08",1.29409,1.30095,1.29367,1.2959
"7","2018/10/05",1.29210,1.29545,1.28877,1.29492
"7","2018/10/04",1.28661,1.29370,1.28563,1.29254
"7","2018/10/03",1.28201,1.28826,1.28067,1.28751
"7","2018/10/02",1.28077,1.28402,1.27987,1.28254
"7","2018/10/01",1.28511,1.28860,1.27816,1.28148
"7","2018/09/28",1.30385,1.30464,1.29094,1.29233
"7","2018/09/27",1.30166,1.30813,1.30130,1.30443
"7","2018/09/26",1.29437,1.30246,1.29437,1.30199
"7","2018/09/25",1.29471,1.29721,1.29352,1.29525
"7","2018/09/24",1.29184,1.29549,1.29082,1.29536
"7","2018/09/21",1.29039,1.29424,1.28851,1.29163
"7","2018/09/20",1.29181,1.29316,1.28836,1.29049
"7","2018/09/19",1.29780,1.30140,1.28993,1.29204
"7","2018/09/18",1.30320,1.30639,1.29710,1.29783
"7","2018/09/17",1.30361,1.30479,1.30022,1.30372
"7","2018/09/14",1.29941,1.30537,1.29823,1.30314
"7","2018/09/13",1.29940,1.30249,1.29754,1.29959
"7","2018/09/12",1.30565,1.30777,1.29799,1.29978
"7","2018/09/11",1.31550,1.31740,1.30416,1.30674
"7","2018/09/10",1.31691,1.31973,1.31507,1.31607
"7","2018/09/07",1.31359,1.31898,1.31098,1.31748
"7","2018/09/06",1.31711,1.32256,1.31275,1.31416
"7","2018/09/05",1.31790,1.32055,1.31583,1.31767
"7","2018/09/04",1.30911,1.32073,1.30869,1.31875
"7","2018/09/03",1.30605,1.31021,1.30442,1.3095
"7","2018/08/31",1.29740,1.30879,1.29689,1.30438
"7","2018/08/30",1.29071,1.29996,1.29025,1.2977
"7","2018/08/29",1.29261,1.29616,1.29023,1.29095
"7","2018/08/28",1.29629,1.29817,1.28868,1.29256
"7","2018/08/27",1.30110,1.30667,1.29529,1.29635
"7","2018/08/24",1.30782,1.31026,1.30105,1.30338
"7","2018/08/23",1.29898,1.30984,1.29898,1.30794
"7","2018/08/22",1.30325,1.30431,1.29862,1.29974
"7","2018/08/21",1.30401,1.30569,1.30130,1.304
"7","2018/08/20",1.30544,1.30919,1.30391,1.30425
"7","2018/08/17",1.31516,1.31690,1.30513,1.30596
"7","2018/08/16",1.31361,1.31738,1.31132,1.31623
"7","2018/08/15",1.30604,1.31739,1.30500,1.31384
"7","2018/08/14",1.31262,1.31360,1.30622,1.30653
"7","2018/08/13",1.31502,1.31703,1.31030,1.31348
"7","2018/08/10",1.30404,1.31527,1.30404,1.31245
"7","2018/08/09",1.30152,1.30636,1.29997,1.30467
"7","2018/08/08",1.30521,1.31195,1.30060,1.30236
"7","2018/08/07",1.30006,1.30747,1.29616,1.30569
"7","2018/08/06",1.29890,1.30387,1.29864,1.30032
"7","2018/08/03",1.30195,1.30384,1.29673,1.29917
"7","2018/08/02",1.30005,1.30389,1.29931,1.30239
"7","2018/08/01",1.30069,1.30320,1.29744,1.29968
"7","2018/07/31",1.30305,1.30956,1.29812,1.301
"7","2018/07/30",1.30556,1.30778,1.29938,1.30326
"7","2018/07/27",1.30701,1.30783,1.30392,1.30611
"7","2018/07/26",1.30405,1.30924,1.30240,1.30764
"7","2018/07/25",1.31481,1.31655,1.30240,1.30426
"7","2018/07/24",1.31674,1.31908,1.31354,1.31559
"7","2018/07/23",1.31354,1.31786,1.31137,1.31711
"7","2018/07/20",1.32640,1.32890,1.31140,1.31244
"7","2018/07/19",1.31664,1.32888,1.31594,1.32665
"7","2018/07/18",1.31887,1.32590,1.31613,1.31663
"7","2018/07/17",1.31335,1.32181,1.31101,1.31949
"7","2018/07/16",1.31551,1.31605,1.31091,1.31342
"7","2018/07/13",1.31543,1.32080,1.31495,1.3157
"7","2018/07/12",1.32062,1.32176,1.31488,1.31581
"7","2018/07/11",1.31182,1.32143,1.30637,1.32057
"7","2018/07/10",1.31083,1.31452,1.31003,1.311
"7","2018/07/09",1.30908,1.31221,1.30654,1.31105
"7","2018/07/06",1.31300,1.31501,1.30760,1.31024
"7","2018/07/05",1.31394,1.31597,1.31148,1.31366
"7","2018/07/04",1.31411,1.31608,1.31112,1.31429
"7","2018/07/03",1.31813,1.32073,1.31318,1.31402
"7","2018/07/02",1.31522,1.32253,1.31387,1.31854
"7","2018/06/29",1.32546,1.32688,1.31301,1.31321
"7","2018/06/28",1.33341,1.33507,1.32406,1.32567
"7","2018/06/27",1.32973,1.33855,1.32763,1.33412
"7","2018/06/26",1.32900,1.33285,1.32802,1.33018
"7","2018/06/25",1.32641,1.33243,1.32630,1.32936
"7","2018/06/22",1.33128,1.33814,1.32622,1.32726
"7","2018/06/21",1.33042,1.33344,1.32828,1.3319
"7","2018/06/20",1.32800,1.33206,1.32684,1.33153
"7","2018/06/19",1.31968,1.32909,1.31922,1.32833
"7","2018/06/18",1.31882,1.32366,1.31587,1.31981
"7","2018/06/15",1.31005,1.32003,1.30980,1.31958
"7","2018/06/14",1.29803,1.31088,1.29486,1.31024
"7","2018/06/13",1.30092,1.30513,1.29546,1.29794
"7","2018/06/12",1.29824,1.30291,1.29773,1.30135
"7","2018/06/11",1.29744,1.30271,1.29548,1.29834
"7","2018/06/08",1.29723,1.30389,1.29238,1.29238
"7","2018/06/07",1.29411,1.30007,1.29348,1.29772
"7","2018/06/06",1.29646,1.29713,1.28567,1.29472
"7","2018/06/05",1.29276,1.30661,1.29135,1.29662
"7","2018/06/04",1.29486,1.29640,1.28991,1.29353
"7","2018/06/01",1.29534,1.30072,1.29304,1.29676
"7","2018/05/31",1.28745,1.29900,1.28178,1.29522
"7","2018/05/30",1.30145,1.30397,1.28353,1.28782
"7","2018/05/29",1.29946,1.30463,1.29680,1.30179
"7","2018/05/28",1.29650,1.30212,1.29634,1.29954
"7","2018/05/25",1.28763,1.29876,1.28730,1.29727
"7","2018/05/24",1.28338,1.29198,1.28282,1.28762
"7","2018/05/23",1.28166,1.29148,1.28115,1.28437
"7","2018/05/22",1.27817,1.28219,1.27418,1.28184
"7","2018/05/21",1.28717,1.28900,1.27814,1.27855
"7","2018/05/18",1.28007,1.29102,1.27903,1.2877
"7","2018/05/17",1.27889,1.28216,1.27487,1.28034
"7","2018/05/16",1.28686,1.28762,1.27770,1.27957
"7","2018/05/15",1.27972,1.29237,1.27915,1.28737
"7","2018/05/14",1.27865,1.28089,1.27495,1.28084
"7","2018/05/11",1.27632,1.27984,1.27286,1.27876
"7","2018/05/10",1.28522,1.28579,1.27422,1.27685
"7","2018/05/09",1.29468,1.29741,1.28245,1.28533
"7","2018/05/08",1.28797,1.29968,1.28757,1.29479
"7","2018/05/07",1.28469,1.28989,1.28389,1.28836
"7","2018/05/04",1.28424,1.29168,1.28355,1.28555
"7","2018/05/03",1.28748,1.29079,1.28157,1.28513
"7","2018/05/02",1.28437,1.28871,1.28026,1.28796
"7","2018/05/01",1.28377,1.29133,1.28200,1.28475
"7","2018/04/30",1.28337,1.28738,1.28046,1.2836
"7","2018/04/27",1.28698,1.28996,1.28255,1.28378
"7","2018/04/26",1.28389,1.28846,1.28207,1.28767
"7","2018/04/25",1.28236,1.28966,1.28202,1.2844
"7","2018/04/24",1.28408,1.28609,1.28119,1.28302
"7","2018/04/23",1.27556,1.28570,1.27500,1.28483
"7","2018/04/20",1.26657,1.27557,1.26315,1.27527
"7","2018/04/19",1.26266,1.26753,1.25852,1.26696
"7","2018/04/18",1.25470,1.26588,1.25460,1.26261
"7","2018/04/17",1.25630,1.25788,1.25266,1.25496
"7","2018/04/16",1.25893,1.26224,1.25642,1.2565
"7","2018/04/13",1.25842,1.26166,1.25516,1.26086
