"通貨ペア","日付","始値","高値","安値","終値"
"8","2018/11/30",82.982,83.083,82.736,82.96
"8","2018/11/29",82.981,83.204,82.743,83.036
"8","2018/11/28",82.176,83.185,82.162,83.066
"8","2018/11/27",81.929,82.565,81.824,82.217
"8","2018/11/26",81.594,82.380,81.579,81.956
"8","2018/11/23",81.875,81.981,81.426,81.602
"8","2018/11/22",82.071,82.200,81.697,81.905
"8","2018/11/21",81.292,82.235,81.148,82.117
"8","2018/11/20",82.060,82.222,81.271,81.401
"8","2018/11/19",82.396,82.621,81.873,82.094
"8","2018/11/16",82.623,82.819,82.106,82.773
"8","2018/11/15",82.145,82.892,82.084,82.639
"8","2018/11/14",82.106,82.467,81.786,82.162
"8","2018/11/13",81.610,82.373,81.385,82.149
"8","2018/11/12",82.130,82.510,81.642,81.65
"8","2018/11/09",82.716,82.877,82.110,82.237
"8","2018/11/08",82.540,83.048,82.510,82.723
"8","2018/11/07",82.073,82.684,81.871,82.586
"8","2018/11/06",81.592,82.175,81.568,82.135
"8","2018/11/05",81.345,81.715,81.242,81.601
"8","2018/11/02",81.153,81.939,81.018,81.479
"8","2018/11/01",79.853,81.258,79.840,81.186
"8","2018/10/31",80.317,80.385,79.844,79.874
"8","2018/10/30",79.243,80.361,79.225,80.299
"8","2018/10/29",79.316,79.763,79.102,79.272
"8","2018/10/26",79.553,79.594,78.559,79.323
"8","2018/10/25",79.142,79.802,78.994,79.576
"8","2018/10/24",79.622,80.029,79.160,79.231
"8","2018/10/23",79.836,79.881,79.041,79.659
"8","2018/10/22",80.120,80.312,79.644,79.864
"8","2018/10/19",79.555,80.485,79.534,80.069
"8","2018/10/18",80.073,80.447,79.496,79.634
"8","2018/10/17",80.091,80.331,79.664,80.076
"8","2018/10/16",79.665,80.198,79.658,80.165
"8","2018/10/15",79.702,79.967,79.480,79.685
"8","2018/10/12",79.834,80.162,79.497,79.79
"8","2018/10/11",79.065,80.151,78.998,79.853
"8","2018/10/10",80.191,80.595,79.089,79.177
"8","2018/10/09",80.080,80.291,79.823,80.219
"8","2018/10/08",80.200,80.423,79.758,80.122
"8","2018/10/05",80.563,80.769,79.996,80.159
"8","2018/10/04",81.279,81.412,80.376,80.637
"8","2018/10/03",81.609,81.921,81.322,81.331
"8","2018/10/02",82.277,82.476,81.374,81.703
"8","2018/10/01",82.099,82.399,82.068,82.332
"8","2018/09/28",81.683,82.203,81.633,82.068
"8","2018/09/27",81.806,81.950,81.300,81.7
"8","2018/09/26",81.884,82.502,81.769,81.842
"8","2018/09/25",81.757,82.042,81.661,81.875
"8","2018/09/24",81.717,82.011,81.589,81.821
"8","2018/09/21",81.981,82.356,81.886,82.027
"8","2018/09/20",81.514,82.020,81.309,82.003
"8","2018/09/19",81.069,81.659,81.019,81.577
"8","2018/09/18",80.260,81.125,79.775,81.106
"8","2018/09/17",80.096,80.599,79.951,80.27
"8","2018/09/14",80.448,80.704,80.080,80.121
"8","2018/09/13",79.721,80.799,79.694,80.478
"8","2018/09/12",79.433,80.005,79.075,79.773
"8","2018/09/11",78.999,79.495,78.907,79.432
"8","2018/09/10",78.834,79.262,78.766,79.033
"8","2018/09/07",79.637,79.710,78.685,78.885
"8","2018/09/06",80.142,80.285,79.553,79.685
"8","2018/09/05",79.941,80.578,79.597,80.224
"8","2018/09/04",80.077,80.438,79.732,80.002
"8","2018/09/03",79.847,80.263,79.520,80.14
"8","2018/08/31",80.613,80.683,79.635,79.908
"8","2018/08/30",81.599,81.698,80.494,80.616
"8","2018/08/29",81.534,81.795,81.049,81.615
"8","2018/08/28",81.585,81.775,81.424,81.558
"8","2018/08/27",81.565,81.743,81.180,81.568
"8","2018/08/24",80.602,81.701,80.586,81.474
"8","2018/08/23",81.214,81.285,80.571,80.664
"8","2018/08/22",81.160,81.371,80.913,81.264
"8","2018/08/21",80.752,81.484,80.590,81.159
"8","2018/08/20",80.789,80.951,80.589,80.765
"8","2018/08/17",80.438,80.970,80.104,80.835
"8","2018/08/16",80.106,80.828,79.826,80.496
"8","2018/08/15",80.428,80.577,79.702,80.169
"8","2018/08/14",80.442,80.815,80.211,80.43
"8","2018/08/13",80.453,80.843,79.983,80.517
"8","2018/08/10",81.862,81.982,80.615,80.919
"8","2018/08/09",82.431,82.645,81.887,81.894
"8","2018/08/08",82.618,82.796,82.079,82.45
"8","2018/08/07",82.242,82.757,82.178,82.611
"8","2018/08/06",82.235,82.425,82.173,82.291
"8","2018/08/03",82.166,82.622,82.109,82.299
"8","2018/08/02",82.661,82.743,81.956,82.208
"8","2018/08/01",83.007,83.113,82.481,82.742
"8","2018/07/31",82.217,83.255,82.149,83.091
"8","2018/07/30",82.095,82.307,82.040,82.262
"8","2018/07/27",82.034,82.308,81.864,82.161
"8","2018/07/26",82.730,82.744,81.990,82.031
"8","2018/07/25",82.450,82.890,82.086,82.712
"8","2018/07/24",82.132,82.554,81.806,82.468
"8","2018/07/23",82.638,82.752,82.140,82.18
"8","2018/07/20",82.662,82.991,82.207,82.727
"8","2018/07/19",83.428,83.926,82.589,82.71
"8","2018/07/18",83.360,83.550,82.838,83.46
"8","2018/07/17",83.280,83.601,83.211,83.347
"8","2018/07/16",83.247,83.682,83.217,83.287
"8","2018/07/13",83.309,83.602,82.991,83.348
"8","2018/07/12",82.462,83.404,82.376,83.327
"8","2018/07/11",82.593,82.724,82.067,82.495
"8","2018/07/10",82.696,83.147,82.646,82.855
"8","2018/07/09",82.025,82.801,82.009,82.719
"8","2018/07/06",81.685,82.259,81.588,82.022
"8","2018/07/05",81.498,81.931,81.272,81.74
"8","2018/07/04",81.577,81.968,81.433,81.563
"8","2018/07/03",81.337,82.075,81.030,81.653
"8","2018/07/02",81.829,82.109,80.981,81.336
"8","2018/06/29",81.180,82.042,81.045,81.965
"8","2018/06/28",80.896,81.299,80.693,81.217
"8","2018/06/27",81.298,81.639,80.759,80.923
"8","2018/06/26",81.322,81.454,80.965,81.323
"8","2018/06/25",81.748,81.799,80.984,81.324
"8","2018/06/22",81.060,81.927,80.989,81.793
"8","2018/06/21",81.285,81.646,81.074,81.127
"8","2018/06/20",81.164,81.660,80.989,81.298
"8","2018/06/19",82.010,82.072,80.628,81.248
"8","2018/06/18",82.325,82.395,81.885,82.052
"8","2018/06/15",82.584,82.843,82.266,82.337
"8","2018/06/14",83.587,83.606,82.695,82.702
"8","2018/06/13",83.552,83.989,83.442,83.603
"8","2018/06/12",83.650,84.155,83.514,83.579
"8","2018/06/11",82.989,83.811,82.968,83.727
"8","2018/06/08",83.555,83.775,82.585,83.148
"8","2018/06/07",84.406,84.533,83.394,83.603
"8","2018/06/06",83.553,84.490,83.551,84.484
"8","2018/06/05",83.936,84.181,83.336,83.63
"8","2018/06/04",82.837,84.013,82.800,83.972
"8","2018/06/01",82.294,82.938,82.202,82.903
"8","2018/05/31",82.437,82.670,81.993,82.368
"8","2018/05/30",81.571,82.608,81.026,82.512
"8","2018/05/29",82.527,82.607,81.097,81.574
"8","2018/05/28",82.988,83.066,82.428,82.552
"8","2018/05/25",82.734,83.162,82.407,82.714
"8","2018/05/24",83.157,83.328,82.379,82.787
"8","2018/05/23",83.965,84.035,82.482,83.205
"8","2018/05/22",84.142,84.475,83.971,84.012
"8","2018/05/21",83.407,84.202,83.344,84.195
"8","2018/05/18",83.177,83.428,83.046,83.155
"8","2018/05/17",82.886,83.375,82.812,83.171
"8","2018/05/16",82.415,82.931,82.175,82.915
