"通貨ペア","日付","始値","高値","安値","終値"
"9","2018/08/31",0.72601,0.72649,0.71751,0.71931
"9","2018/08/30",0.73057,0.73124,0.72487,0.72609
"9","2018/08/29",0.73300,0.73481,0.72742,0.73086
"9","2018/08/28",0.73447,0.73616,0.73206,0.73362
"9","2018/08/27",0.73275,0.73557,0.73066,0.73454
"9","2018/08/24",0.72405,0.73441,0.72371,0.73248
"9","2018/08/23",0.73449,0.73513,0.72404,0.72493
"9","2018/08/22",0.73592,0.73696,0.73330,0.73517
"9","2018/08/21",0.73351,0.73810,0.73323,0.73651
"9","2018/08/20",0.73082,0.73430,0.72949,0.73395
"9","2018/08/17",0.72555,0.73187,0.72519,0.73141
"9","2018/08/16",0.72350,0.72857,0.72129,0.72593
"9","2018/08/15",0.72343,0.72467,0.72017,0.72391
"9","2018/08/14",0.72676,0.72824,0.72234,0.72369
"9","2018/08/13",0.72800,0.72992,0.72559,0.72727
"9","2018/08/10",0.73688,0.73772,0.72799,0.73001
"9","2018/08/09",0.74288,0.74524,0.73728,0.73737
"9","2018/08/08",0.74156,0.74387,0.73825,0.74318
"9","2018/08/07",0.73812,0.74388,0.73768,0.74178
"9","2018/08/06",0.73936,0.74047,0.73734,0.7388
"9","2018/08/03",0.73586,0.74109,0.73475,0.73962
"9","2018/08/02",0.73994,0.74109,0.73544,0.73627
"9","2018/08/01",0.74223,0.74284,0.73891,0.74049
"9","2018/07/31",0.74008,0.74399,0.74007,0.74294
"9","2018/07/30",0.73979,0.74124,0.73848,0.74069
"9","2018/07/27",0.73756,0.74144,0.73699,0.74022
"9","2018/07/26",0.74513,0.74623,0.73713,0.73756
"9","2018/07/25",0.74147,0.74635,0.73912,0.74559
"9","2018/07/24",0.73767,0.74334,0.73588,0.74165
"9","2018/07/23",0.74176,0.74368,0.73709,0.73803
"9","2018/07/20",0.73506,0.74304,0.73172,0.74198
"9","2018/07/19",0.73935,0.74409,0.73218,0.7354
"9","2018/07/18",0.73852,0.74075,0.73424,0.73979
"9","2018/07/17",0.74164,0.74376,0.73749,0.73853
"9","2018/07/16",0.74111,0.74417,0.74082,0.74196
"9","2018/07/13",0.74033,0.74219,0.73674,0.74198
"9","2018/07/12",0.73649,0.74188,0.73577,0.74062
"9","2018/07/11",0.74434,0.74458,0.73630,0.73661
"9","2018/07/10",0.74615,0.74831,0.74295,0.7459
"9","2018/07/09",0.74280,0.74830,0.74268,0.74643
"9","2018/07/06",0.73819,0.74434,0.73752,0.74307
"9","2018/07/05",0.73743,0.74074,0.73607,0.73862
"9","2018/07/04",0.73778,0.74238,0.73736,0.73815
"9","2018/07/03",0.73358,0.74035,0.73136,0.73842
"9","2018/07/02",0.73939,0.74046,0.73098,0.73372
"9","2018/06/29",0.73458,0.74087,0.73348,0.74077
"9","2018/06/28",0.73392,0.73614,0.73292,0.73512
"9","2018/06/27",0.73869,0.74063,0.73226,0.73389
"9","2018/06/26",0.74078,0.74223,0.73792,0.73903
"9","2018/06/25",0.74367,0.74418,0.73955,0.74105
"9","2018/06/22",0.73710,0.74430,0.73691,0.74373
"9","2018/06/21",0.73652,0.73930,0.73448,0.73776
"9","2018/06/20",0.73728,0.74080,0.73660,0.7367
"9","2018/06/19",0.74180,0.74263,0.73465,0.73809
"9","2018/06/18",0.74378,0.74537,0.74127,0.74228
"9","2018/06/15",0.74638,0.74798,0.74416,0.74424
"9","2018/06/14",0.75730,0.75819,0.74761,0.74766
"9","2018/06/13",0.75699,0.76081,0.75286,0.75761
"9","2018/06/12",0.76021,0.76228,0.75650,0.75727
"9","2018/06/11",0.75915,0.76209,0.75874,0.76096
"9","2018/06/08",0.76182,0.76264,0.75599,0.75985
"9","2018/06/07",0.76622,0.76721,0.76116,0.76223
"9","2018/06/06",0.76095,0.76759,0.76086,0.76668
"9","2018/06/05",0.76442,0.76553,0.75939,0.76153
"9","2018/06/04",0.75662,0.76655,0.75597,0.76473
"9","2018/06/01",0.75623,0.75725,0.75136,0.75712
"9","2018/05/31",0.75717,0.75923,0.75520,0.75671
"9","2018/05/30",0.75004,0.75831,0.74754,0.75777
"9","2018/05/29",0.75420,0.75519,0.74972,0.75041
"9","2018/05/28",0.75567,0.75803,0.75392,0.75452
"9","2018/05/25",0.75714,0.75892,0.75419,0.7551
"9","2018/05/24",0.75555,0.75819,0.75414,0.75777
"9","2018/05/23",0.75711,0.75820,0.75217,0.75581
"9","2018/05/22",0.75767,0.76045,0.75653,0.75758
"9","2018/05/21",0.75211,0.75857,0.75021,0.75835
"9","2018/05/18",0.75083,0.75272,0.74877,0.75118
"9","2018/05/17",0.75105,0.75469,0.74969,0.75097
"9","2018/05/16",0.74689,0.75221,0.74464,0.75133
"9","2018/05/15",0.75224,0.75368,0.74470,0.74722
"9","2018/05/14",0.75395,0.75644,0.75243,0.75243
"9","2018/05/11",0.75283,0.75660,0.75219,0.75443
"9","2018/05/10",0.74572,0.75389,0.74541,0.75326
"9","2018/05/09",0.74472,0.74718,0.74117,0.74603
"9","2018/05/08",0.75099,0.75271,0.74330,0.74527
"9","2018/05/07",0.75322,0.75422,0.74924,0.75164
"9","2018/05/04",0.75270,0.75598,0.74915,0.75347
"9","2018/05/03",0.74866,0.75420,0.74847,0.75301
"9","2018/05/02",0.74849,0.75365,0.74748,0.74895
"9","2018/05/01",0.75257,0.75457,0.74717,0.749
"9","2018/04/30",0.75725,0.75814,0.75246,0.75283
"9","2018/04/27",0.75489,0.75833,0.75313,0.75782
"9","2018/04/26",0.75603,0.75882,0.75464,0.75514
"9","2018/04/25",0.75983,0.76054,0.75513,0.75634
"9","2018/04/24",0.76013,0.76200,0.75741,0.7602
"9","2018/04/23",0.76668,0.76818,0.75988,0.76035
"9","2018/04/20",0.77240,0.77297,0.76545,0.76691
"9","2018/04/19",0.77832,0.78121,0.77184,0.77282
"9","2018/04/18",0.77704,0.77968,0.77435,0.77828
"9","2018/04/17",0.77745,0.77904,0.77595,0.77694
"9","2018/04/16",0.77617,0.77827,0.77513,0.7781
"9","2018/04/13",0.77504,0.78091,0.77498,0.77644
"9","2018/04/12",0.77529,0.77707,0.77371,0.77554
"9","2018/04/11",0.77555,0.77721,0.77388,0.77584
"9","2018/04/10",0.76918,0.77672,0.76911,0.77607
"9","2018/04/09",0.76658,0.77102,0.76514,0.76983
"9","2018/04/06",0.76783,0.76988,0.76569,0.7675
"9","2018/04/05",0.77101,0.77257,0.76733,0.7686
"9","2018/04/04",0.76787,0.77206,0.76620,0.77148
"9","2018/04/03",0.76574,0.77060,0.76511,0.76832
"9","2018/04/02",0.76854,0.76944,0.76490,0.76599
"9","2018/03/30",0.76750,0.77059,0.76719,0.76831
"9","2018/03/29",0.76572,0.76887,0.76420,0.76778
"9","2018/03/28",0.76754,0.77017,0.76528,0.76617
"9","2018/03/27",0.77414,0.77568,0.76746,0.76775
"9","2018/03/26",0.76972,0.77496,0.76966,0.77487
"9","2018/03/23",0.76875,0.77431,0.76862,0.76984
"9","2018/03/22",0.77600,0.77855,0.76864,0.76925
"9","2018/03/21",0.76773,0.77792,0.76716,0.77679
"9","2018/03/20",0.77137,0.77201,0.76776,0.76804
"9","2018/03/19",0.77088,0.77251,0.76859,0.77192
"9","2018/03/16",0.77929,0.78032,0.77092,0.77103
"9","2018/03/15",0.78714,0.78845,0.77936,0.77948
"9","2018/03/14",0.78526,0.79157,0.78506,0.78777
"9","2018/03/13",0.78682,0.78967,0.78451,0.78586
"9","2018/03/12",0.78442,0.78790,0.78440,0.78707
"9","2018/03/09",0.77796,0.78531,0.77756,0.78484
"9","2018/03/08",0.78199,0.78379,0.77720,0.77847
"9","2018/03/07",0.78189,0.78293,0.77693,0.78247
"9","2018/03/06",0.77589,0.78415,0.77557,0.78265
"9","2018/03/05",0.77601,0.77694,0.77250,0.77622
"9","2018/03/02",0.77531,0.77729,0.77368,0.77609
"9","2018/03/01",0.77536,0.77688,0.77116,0.77569
"9","2018/02/28",0.77845,0.78184,0.77602,0.77606
"9","2018/02/27",0.78482,0.78676,0.77827,0.77867
"9","2018/02/26",0.78374,0.78924,0.78251,0.78527
"9","2018/02/23",0.78412,0.78468,0.78034,0.78359
"9","2018/02/22",0.77999,0.78590,0.77897,0.78447
"9","2018/02/21",0.78769,0.79016,0.78034,0.7804
"9","2018/02/20",0.79085,0.79329,0.78733,0.78828
"9","2018/02/19",0.79038,0.79346,0.78974,0.7912
"9","2018/02/16",0.79381,0.79878,0.78916,0.79117
"9","2018/02/15",0.79226,0.79658,0.78912,0.79435
"9","2018/02/14",0.78554,0.79337,0.77723,0.79235
"9","2018/02/13",0.78541,0.78759,0.78271,0.78583
"9","2018/02/12",0.78106,0.78619,0.78079,0.78618
"9","2018/02/09",0.77737,0.78294,0.77581,0.78143
"9","2018/02/08",0.78161,0.78425,0.77749,0.77843
"9","2018/02/07",0.78981,0.79068,0.78158,0.78224
"9","2018/02/06",0.78781,0.79037,0.78347,0.7903
"9","2018/02/05",0.79080,0.79532,0.78744,0.78774
"9","2018/02/02",0.80343,0.80436,0.79191,0.79237
"9","2018/02/01",0.80486,0.80665,0.79867,0.80396
"9","2018/01/31",0.80796,0.81161,0.80341,0.80558
"9","2018/01/30",0.80907,0.81127,0.80418,0.80825
"9","2018/01/29",0.80986,0.81174,0.80731,0.8093
"9","2018/01/26",0.80233,0.81351,0.80041,0.81098
"9","2018/01/25",0.80479,0.81180,0.80108,0.80281
"9","2018/01/24",0.79932,0.80821,0.79925,0.80717
"9","2018/01/23",0.80125,0.80289,0.79556,0.79995
"9","2018/01/22",0.79961,0.80262,0.79781,0.80168
"9","2018/01/19",0.79936,0.80376,0.79922,0.79945
"9","2018/01/18",0.79632,0.80062,0.79409,0.79986
"9","2018/01/17",0.79526,0.80221,0.79397,0.79666
"9","2018/01/16",0.79612,0.79741,0.79362,0.79593
"9","2018/01/15",0.78989,0.79779,0.78989,0.79637
"9","2018/01/12",0.78875,0.79241,0.78473,0.79151
"9","2018/01/11",0.78363,0.78937,0.78347,0.78909
"9","2018/01/10",0.78189,0.78665,0.78074,0.7842
"9","2018/01/09",0.78378,0.78639,0.78066,0.78229
"9","2018/01/08",0.78576,0.78718,0.78262,0.78398
"9","2018/01/05",0.78558,0.78739,0.78342,0.78618
"9","2018/01/04",0.78312,0.78656,0.78136,0.78641
"9","2018/01/03",0.78229,0.78441,0.78045,0.78345
"9","2018/01/02",0.77967,0.78439,0.77938,0.78287
"9","2017/12/29",0.77955,0.78241,0.77875,0.78026
"9","2017/12/28",0.77640,0.78087,0.77626,0.77967
"9","2017/12/27",0.77225,0.77781,0.77216,0.77714
"9","2017/12/26",0.77144,0.77290,0.77118,0.77277
"9","2017/12/25",0.77019,0.77213,0.77014,0.77186
"9","2017/12/22",0.76970,0.77198,0.76970,0.77135
"9","2017/12/21",0.76611,0.77067,0.76528,0.77014
"9","2017/12/20",0.76586,0.76789,0.76504,0.76656
"9","2017/12/19",0.76571,0.76832,0.76453,0.76605
"9","2017/12/18",0.76401,0.76769,0.76399,0.76644
"9","2017/12/15",0.76602,0.76939,0.76371,0.76431
"9","2017/12/14",0.76305,0.76788,0.76243,0.76657
"9","2017/12/13",0.75549,0.76388,0.75516,0.76373
"9","2017/12/12",0.75216,0.75795,0.75183,0.75575
"9","2017/12/11",0.75051,0.75447,0.74983,0.75258
"9","2017/12/08",0.75067,0.75329,0.75005,0.75076
"9","2017/12/07",0.75582,0.75685,0.75047,0.75097
"9","2017/12/06",0.76028,0.76317,0.75576,0.75632
"9","2017/12/05",0.75926,0.76530,0.75924,0.76064
"9","2017/12/04",0.75904,0.76133,0.75786,0.75975
"9","2017/12/01",0.75609,0.76383,0.75507,0.76086
"9","2017/11/30",0.75690,0.75936,0.75558,0.75655
"9","2017/11/29",0.75968,0.76072,0.75513,0.75699
"9","2017/11/28",0.75987,0.76193,0.75872,0.7594
"9","2017/11/27",0.76114,0.76439,0.75922,0.76014
"9","2017/11/24",0.76220,0.76297,0.76059,0.76177
