"通貨ペア","日付","始値","高値","安値","終値"
"10","2018/12/28",0.98765,0.98840,0.97882,0.98387
"10","2018/12/27",0.99484,0.99557,0.98386,0.98754
"10","2018/12/26",0.98534,0.99617,0.98462,0.99563
"10","2018/12/25",0.98607,0.98747,0.98341,0.98374
"10","2018/12/24",0.99350,0.99497,0.98559,0.98575
"10","2018/12/21",0.98721,0.99556,0.98596,0.99544
"10","2018/12/20",0.99343,0.99508,0.98392,0.98773
"10","2018/12/19",0.99228,0.99544,0.99046,0.99444
"10","2018/12/18",0.99264,0.99354,0.98982,0.99278
"10","2018/12/17",0.99423,0.99804,0.99155,0.99317
"10","2018/12/14",0.99294,0.99826,0.99269,0.99819
"10","2018/12/13",0.99257,0.99526,0.99098,0.99357
"10","2018/12/12",0.99284,0.99636,0.99114,0.99317
"10","2018/12/11",0.99004,0.99366,0.98612,0.99293
"10","2018/12/10",0.99030,0.99106,0.98663,0.99017
"10","2018/12/07",0.99255,0.99413,0.98880,0.98918
"10","2018/12/06",0.99725,0.99882,0.98926,0.99274
"10","2018/12/05",0.99695,1.00067,0.99660,0.99729
"10","2018/12/04",0.99752,0.99890,0.99286,0.99726
"10","2018/12/03",0.99813,0.99943,0.99625,0.99791
"10","2018/11/30",0.99552,1.00025,0.99495,0.99875
"10","2018/11/29",0.99313,0.99751,0.99159,0.99583
"10","2018/11/28",0.99858,1.00041,0.99236,0.99345
"10","2018/11/27",0.99808,1.00016,0.99735,0.99835
"10","2018/11/26",0.99681,0.99916,0.99526,0.99863
"10","2018/11/23",0.99321,0.99783,0.99298,0.99748
"10","2018/11/22",0.99379,0.99542,0.99197,0.99489
"10","2018/11/21",0.99437,0.99569,0.99263,0.9943
"10","2018/11/20",0.99304,0.99562,0.99071,0.99468
"10","2018/11/19",0.99936,1.00052,0.99227,0.99354
"10","2018/11/16",1.00574,1.00855,0.99895,0.9995
"10","2018/11/15",1.00517,1.00777,1.00339,1.00675
"10","2018/11/14",1.00666,1.01025,1.00400,1.00601
"10","2018/11/13",1.01044,1.01265,1.00678,1.00681
"10","2018/11/12",1.00504,1.01098,1.00482,1.01066
"10","2018/11/09",1.00561,1.00840,1.00430,1.00524
"10","2018/11/08",1.00127,1.00688,1.00058,1.00598
"10","2018/11/07",1.00235,1.00492,0.99507,1.00254
"10","2018/11/06",1.00372,1.00538,1.00207,1.0023
"10","2018/11/05",1.00264,1.00675,1.00215,1.00434
"10","2018/11/02",1.00162,1.00467,0.99665,1.00345
"10","2018/11/01",1.00792,1.00837,0.99987,1.00196
"10","2018/10/31",1.00477,1.00930,1.00318,1.00834
"10","2018/10/30",1.00177,1.00503,1.00065,1.00503
"10","2018/10/29",0.99745,1.00226,0.99642,1.00176
"10","2018/10/26",0.99885,1.00249,0.99623,0.99639
"10","2018/10/25",0.99707,1.00164,0.99532,0.99954
"10","2018/10/24",0.99448,0.99878,0.99400,0.9977
"10","2018/10/23",0.99587,0.99685,0.99359,0.99455
"10","2018/10/22",0.99487,0.99783,0.99380,0.99591
"10","2018/10/19",0.99529,0.99759,0.99476,0.99584
"10","2018/10/18",0.99456,0.99731,0.99183,0.99539
"10","2018/10/17",0.99020,0.99528,0.98962,0.99514
"10","2018/10/16",0.98675,0.99072,0.98573,0.99045
"10","2018/10/15",0.99072,0.99172,0.98464,0.98678
"10","2018/10/12",0.98951,0.99285,0.98800,0.99131
"10","2018/10/11",0.98970,0.99206,0.98549,0.98911
"10","2018/10/10",0.99145,0.99321,0.98937,0.98996
"10","2018/10/09",0.99239,0.99538,0.99093,0.99156
"10","2018/10/08",0.99133,0.99428,0.99053,0.9922
"10","2018/10/05",0.99119,0.99532,0.99084,0.99223
"10","2018/10/04",0.99068,0.99322,0.98899,0.99155
"10","2018/10/03",0.98385,0.99237,0.98315,0.99224
"10","2018/10/02",0.98288,0.98608,0.98273,0.98378
"10","2018/10/01",0.98008,0.98541,0.98006,0.98354
"10","2018/09/28",0.97690,0.98174,0.97357,0.98164
"10","2018/09/27",0.96460,0.97812,0.96435,0.97704
"10","2018/09/26",0.96460,0.96997,0.96216,0.96552
"10","2018/09/25",0.96422,0.96692,0.96340,0.96483
"10","2018/09/24",0.95816,0.96473,0.95768,0.96462
"10","2018/09/21",0.95863,0.95965,0.95404,0.95806
"10","2018/09/20",0.96685,0.96767,0.95879,0.9588
"10","2018/09/19",0.96428,0.96986,0.96326,0.96713
"10","2018/09/18",0.96203,0.96540,0.95984,0.9643
"10","2018/09/17",0.96731,0.96745,0.96099,0.962
"10","2018/09/14",0.96517,0.96739,0.96327,0.96701
"10","2018/09/13",0.97051,0.97063,0.96499,0.96518
"10","2018/09/12",0.97198,0.97480,0.96938,0.97021
"10","2018/09/11",0.97441,0.97569,0.97182,0.97215
"10","2018/09/10",0.96882,0.97528,0.96840,0.97462
"10","2018/09/07",0.96503,0.96979,0.96399,0.96856
"10","2018/09/06",0.97129,0.97147,0.96494,0.96505
"10","2018/09/05",0.97367,0.97519,0.97065,0.9716
"10","2018/09/04",0.96885,0.97653,0.96854,0.97402
"10","2018/09/03",0.96910,0.97057,0.96815,0.9691
"10","2018/08/31",0.96914,0.97014,0.96502,0.96878
"10","2018/08/30",0.97022,0.97141,0.96843,0.9692
"10","2018/08/29",0.97549,0.97747,0.97004,0.97022
"10","2018/08/28",0.97938,0.98073,0.97435,0.97619
"10","2018/08/27",0.98280,0.98442,0.97857,0.97927
"10","2018/08/24",0.98508,0.98635,0.98092,0.98283
"10","2018/08/23",0.98255,0.98644,0.98202,0.98581
"10","2018/08/22",0.98490,0.98528,0.98063,0.98296
"10","2018/08/21",0.99085,0.99111,0.98411,0.98448
"10","2018/08/20",0.99510,0.99666,0.99089,0.99098
"10","2018/08/17",0.99640,0.99760,0.99311,0.99514
"10","2018/08/16",0.99319,0.99728,0.99141,0.99655
"10","2018/08/15",0.99379,0.99807,0.99243,0.99344
"10","2018/08/14",0.99277,0.99488,0.98993,0.99407
"10","2018/08/13",0.99289,0.99522,0.99189,0.99291
"10","2018/08/10",0.99276,0.99733,0.99267,0.99531
"10","2018/08/09",0.99243,0.99492,0.98928,0.99336
"10","2018/08/08",0.99515,0.99690,0.99262,0.99301
"10","2018/08/07",0.99593,0.99659,0.99288,0.99542
"10","2018/08/06",0.99403,0.99830,0.99374,0.99618
"10","2018/08/03",0.99514,0.99636,0.99192,0.99423
"10","2018/08/02",0.99144,0.99543,0.99119,0.99537
"10","2018/08/01",0.98988,0.99325,0.98961,0.99189
"10","2018/07/31",0.98793,0.99038,0.98654,0.98979
"10","2018/07/30",0.99406,0.99547,0.98761,0.98804
"10","2018/07/27",0.99355,0.99764,0.99299,0.99436
"10","2018/07/26",0.99098,0.99477,0.99014,0.99403
"10","2018/07/25",0.99333,0.99475,0.99058,0.99138
"10","2018/07/24",0.99251,0.99525,0.99205,0.99347
"10","2018/07/23",0.99185,0.99401,0.98993,0.99246
"10","2018/07/20",0.99906,1.00085,0.99138,0.99198
"10","2018/07/19",0.99815,1.00416,0.99565,0.99897
"10","2018/07/18",0.99968,1.00330,0.99809,0.99857
"10","2018/07/17",0.99634,0.99995,0.99251,0.99993
"10","2018/07/16",1.00081,1.00228,0.99610,0.99656
"10","2018/07/13",1.00181,1.00663,1.00128,1.0015
"10","2018/07/12",0.99537,1.00255,0.99458,1.00221
"10","2018/07/11",0.99185,0.99640,0.99033,0.99574
"10","2018/07/10",0.99106,0.99601,0.99080,0.99189
"10","2018/07/09",0.98933,0.99284,0.98561,0.99136
"10","2018/07/06",0.99261,0.99421,0.98824,0.99024
"10","2018/07/05",0.99250,0.99447,0.99084,0.99338
"10","2018/07/04",0.99218,0.99378,0.99037,0.99256
"10","2018/07/03",0.99306,0.99478,0.99109,0.99225
"10","2018/07/02",0.99043,0.99637,0.98978,0.99328
"10","2018/06/29",0.99715,0.99792,0.98921,0.98984
"10","2018/06/28",0.99664,0.99907,0.99579,0.99741
"10","2018/06/27",0.99073,0.99745,0.98894,0.99678
"10","2018/06/26",0.98667,0.99213,0.98565,0.99069
"10","2018/06/25",0.98775,0.98886,0.98540,0.98698
"10","2018/06/22",0.99141,0.99176,0.98716,0.98739
"10","2018/06/21",0.99577,0.99837,0.98952,0.99149
"10","2018/06/20",0.99398,0.99812,0.99348,0.99601
"10","2018/06/19",0.99478,0.99757,0.99160,0.99423
"10","2018/06/18",0.99698,0.99885,0.99340,0.99501
"10","2018/06/15",0.99619,0.99863,0.99435,0.99667
"10","2018/06/14",0.98497,0.99710,0.98236,0.99648
"10","2018/06/13",0.98631,0.98934,0.98385,0.98547
"10","2018/06/12",0.98492,0.98817,0.98284,0.98666
"10","2018/06/11",0.98430,0.98719,0.98373,0.98524
"10","2018/06/08",0.98005,0.98861,0.97933,0.98469
"10","2018/06/07",0.98566,0.98647,0.97866,0.98025
"10","2018/06/06",0.98441,0.98841,0.98339,0.98654
"10","2018/06/05",0.98783,0.98912,0.98285,0.98462
"10","2018/06/04",0.98849,0.98926,0.98283,0.98795
"10","2018/06/01",0.98532,0.99108,0.98395,0.98751
"10","2018/05/31",0.98878,0.98910,0.98243,0.9857
"10","2018/05/30",0.99085,0.99336,0.98770,0.98878
"10","2018/05/29",0.99311,0.99815,0.98488,0.99119
"10","2018/05/28",0.99202,0.99561,0.99087,0.99336
"10","2018/05/25",0.99055,0.99352,0.99012,0.99048
"10","2018/05/24",0.99494,0.99538,0.98840,0.99109
"10","2018/05/23",0.99188,0.99762,0.98920,0.99567
"10","2018/05/22",0.99666,0.99888,0.99156,0.99259
