"通貨ペア","日付","始値","高値","安値","終値"
"12","2019/02/08",0.87514,0.87645,0.87418,0.8753
"12","2019/02/07",0.87843,0.88136,0.87279,0.87536
"12","2019/02/06",0.88071,0.88112,0.87723,0.87855
"12","2019/02/05",0.87672,0.88214,0.87487,0.88044
"12","2019/02/04",0.87596,0.87744,0.87257,0.87703
"12","2019/02/01",0.87276,0.87928,0.87261,0.87549
"12","2019/01/31",0.87477,0.87663,0.87109,0.87314
"12","2019/01/30",0.87446,0.87634,0.87138,0.87546
"12","2019/01/29",0.86836,0.87559,0.86555,0.87485
"12","2019/01/28",0.86405,0.86946,0.86343,0.86836
"12","2019/01/25",0.86469,0.86811,0.86173,0.86458
"12","2019/01/24",0.87047,0.87249,0.86518,0.86525
"12","2019/01/23",0.87610,0.87819,0.86978,0.87078
"12","2019/01/22",0.88112,0.88281,0.87594,0.87665
"12","2019/01/21",0.88194,0.88622,0.88060,0.88174
"12","2019/01/18",0.87670,0.88384,0.87637,0.8829
"12","2019/01/17",0.88410,0.88699,0.87632,0.87702
"12","2019/01/16",0.88632,0.88890,0.88387,0.88475
"12","2019/01/15",0.89100,0.89844,0.88551,0.88734
"12","2019/01/14",0.89111,0.89520,0.88749,0.89101
"12","2019/01/11",0.90174,0.90616,0.89221,0.89261
"12","2019/01/10",0.90226,0.90592,0.90120,0.90192
"12","2019/01/09",0.89947,0.90409,0.89747,0.90268
"12","2019/01/08",0.89726,0.90059,0.89475,0.89979
"12","2019/01/07",0.89503,0.89909,0.89498,0.89838
"12","2019/01/04",0.90135,0.90293,0.89437,0.89539
"12","2019/01/03",0.89961,0.90759,0.89509,0.90154
"12","2019/01/02",0.89779,0.90310,0.89759,0.89965
"12","2018/12/31",0.90065,0.90210,0.89273,0.89915
"12","2018/12/28",0.90364,0.90594,0.90035,0.90121
"12","2018/12/27",0.89823,0.90610,0.89751,0.90394
"12","2018/12/26",0.89779,0.90078,0.89664,0.89843
"12","2018/12/25",0.89686,0.89922,0.89584,0.89861
"12","2018/12/24",0.89829,0.90264,0.89571,0.89571
"12","2018/12/21",0.90373,0.90500,0.89823,0.89918
"12","2018/12/20",0.90054,0.90542,0.90029,0.90432
"12","2018/12/19",0.89885,0.90409,0.89791,0.90236
"12","2018/12/18",0.89866,0.90103,0.89626,0.8989
"12","2018/12/17",0.89658,0.90044,0.89646,0.89944
