"通貨ペア","日付","始値","高値","安値","終値"
"13","2018/12/31",73.972,74.214,73.503,73.537
"13","2018/12/28",74.337,74.425,73.839,73.925
"13","2018/12/27",74.892,74.965,73.993,74.306
"13","2018/12/26",74.099,74.929,74.037,74.893
"13","2018/12/25",74.339,74.360,74.057,74.091
"13","2018/12/24",74.588,74.898,74.111,74.267
"13","2018/12/21",75.227,75.518,74.607,74.613
"13","2018/12/20",76.034,76.318,75.148,75.389
"13","2018/12/19",76.997,77.224,76.041,76.071
"13","2018/12/18",76.728,77.409,76.709,77.028
"13","2018/12/17",77.011,77.260,76.657,76.787
"13","2018/12/14",77.889,77.957,76.964,77.062
"13","2018/12/13",77.529,78.025,77.529,77.878
"13","2018/12/12",77.894,78.296,77.367,77.638
"13","2018/12/11",77.768,78.224,77.589,77.903
"13","2018/12/10",77.338,77.896,76.948,77.833
"13","2018/12/07",77.519,77.748,77.136,77.285
"13","2018/12/06",78.027,78.066,77.149,77.499
"13","2018/12/05",78.096,78.375,77.964,78.038
"13","2018/12/04",78.696,78.855,77.964,78.119
"13","2018/12/03",78.585,78.803,78.229,78.658
"13","2018/11/30",77.841,78.166,77.715,78.05
"13","2018/11/29",78.023,78.062,77.568,77.808
"13","2018/11/28",77.213,78.169,77.166,78.082
"13","2018/11/27",76.877,77.320,76.607,77.259
"13","2018/11/26",76.289,77.156,76.242,76.881
"13","2018/11/23",76.916,76.983,76.340,76.48
"13","2018/11/22",77.184,77.296,76.653,76.93
"13","2018/11/21",76.498,77.408,76.412,77.219
"13","2018/11/20",76.924,77.256,76.473,76.574
"13","2018/11/19",77.389,77.498,76.779,76.928
"13","2018/11/16",77.585,77.692,77.007,77.625
"13","2018/11/15",77.143,77.720,77.042,77.552
"13","2018/11/14",76.962,77.457,76.844,77.185
"13","2018/11/13",76.346,77.157,76.209,76.984
"13","2018/11/12",76.530,76.963,76.356,76.371
"13","2018/11/09",77.015,77.128,76.520,76.67
"13","2018/11/08",76.992,77.250,76.830,76.98
"13","2018/11/07",76.350,77.149,76.238,77.02
"13","2018/11/06",75.414,76.406,75.291,76.344
"13","2018/11/05",75.054,75.557,75.017,75.438
"13","2018/11/02",74.917,75.613,74.737,75.235
"13","2018/11/01",73.553,75.050,73.533,74.962
"13","2018/10/31",74.105,74.308,73.569,73.595
"13","2018/10/30",73.237,74.180,73.229,74.071
"13","2018/10/29",72.957,73.587,72.838,73.246
"13","2018/10/26",73.290,73.404,72.361,72.947
"13","2018/10/25",73.131,73.558,72.808,73.326
"13","2018/10/24",73.646,73.966,73.097,73.155
"13","2018/10/23",73.908,73.984,73.245,73.656
"13","2018/10/22",74.255,74.384,73.796,73.889
"13","2018/10/19",73.332,74.360,73.160,74.114
"13","2018/10/18",73.769,73.987,73.249,73.388
"13","2018/10/17",73.856,74.109,73.588,73.757
"13","2018/10/16",73.179,74.016,73.133,73.941
"13","2018/10/15",72.855,73.308,72.751,73.218
"13","2018/10/12",73.146,73.312,72.754,72.962
"13","2018/10/11",72.331,73.364,72.294,73.17
"13","2018/10/10",73.067,73.463,72.324,72.366
"13","2018/10/09",72.987,73.175,72.744,73.084
"13","2018/10/08",73.237,73.397,72.731,73.051
"13","2018/10/05",73.737,73.937,73.058,73.235
"13","2018/10/04",74.498,74.628,73.648,73.786
"13","2018/10/03",74.860,75.047,74.526,74.565
"13","2018/10/02",75.317,75.344,74.697,74.95
"13","2018/10/01",75.241,75.507,75.199,75.374
"13","2018/09/28",74.962,75.371,74.861,75.289
"13","2018/09/27",75.124,75.188,74.713,74.97
"13","2018/09/26",75.068,75.520,74.902,75.016
"13","2018/09/25",74.901,75.133,74.784,75.089
"13","2018/09/24",75.012,75.283,74.804,74.937
"13","2018/09/21",75.174,75.535,75.120,75.2
"13","2018/09/20",74.228,75.252,74.099,75.21
"13","2018/09/19",73.924,74.349,73.809,74.235
"13","2018/09/18",73.551,74.123,73.272,73.987
"13","2018/09/17",73.359,73.811,73.192,73.57
"13","2018/09/14",73.480,73.768,73.274,73.312
"13","2018/09/13",72.961,73.628,72.894,73.511
"13","2018/09/12",72.809,73.136,72.512,72.946
"13","2018/09/11",72.457,72.948,72.416,72.781
"13","2018/09/10",72.501,72.754,72.246,72.473
"13","2018/09/07",72.897,73.006,72.396,72.469
"13","2018/09/06",73.425,73.664,72.831,72.928
"13","2018/09/05",72.984,73.572,72.875,73.474
"13","2018/09/04",73.247,73.483,72.832,73.02
"13","2018/09/03",73.489,73.569,73.150,73.322
"13","2018/08/31",73.844,73.943,73.316,73.533
"13","2018/08/30",74.936,75.024,73.666,73.817
"13","2018/08/29",74.546,74.988,74.393,74.946
"13","2018/08/28",74.365,74.701,74.247,74.582
"13","2018/08/27",74.404,74.583,74.115,74.379
"13","2018/08/24",73.801,74.451,73.715,74.44
"13","2018/08/23",74.024,74.135,73.781,73.844
"13","2018/08/22",73.779,74.092,73.676,74.027
"13","2018/08/21",73.100,73.971,72.944,73.782
"13","2018/08/20",73.251,73.306,73.019,73.108
"13","2018/08/17",72.986,73.373,72.773,73.272
"13","2018/08/16",72.666,73.287,72.435,73
"13","2018/08/15",73.035,73.137,72.363,72.687
"13","2018/08/14",72.804,73.373,72.688,73.032
"13","2018/08/13",72.654,73.123,72.348,72.824
"13","2018/08/10",73.416,73.535,72.721,72.923
