"通貨ペア","日付","始値","高値","安値","終値"
"13","2019/04/01",75.581,75.956,74.996,75.173
"13","2019/03/25",75.710,76.489,74.733,75.39
"13","2019/03/18",76.267,76.766,75.492,75.556
"13","2019/03/11",75.460,76.585,75.313,76.319
"13","2019/03/04",76.331,76.427,75.012,75.638
"13","2019/02/25",75.895,76.544,75.662,76.074
"13","2019/02/18",75.691,76.312,74.829,75.745
"13","2019/02/11",73.966,76.005,73.963,75.759
"13","2019/02/04",75.485,75.912,73.823,74.032
"13","2019/01/28",74.783,75.719,74.446,75.507
"13","2019/01/21",74.104,75.165,73.329,74.866
"13","2019/01/14",74.057,74.446,73.199,73.979
"13","2019/01/07",73.155,74.177,72.880,74.172
"13","2018/12/31",73.972,74.214,70.334,73.089
"13","2018/12/24",74.588,74.965,73.839,73.925
"13","2018/12/17",77.011,77.409,74.607,74.613
"13","2018/12/10",77.338,78.296,76.948,77.062
"13","2018/12/03",78.585,78.855,77.136,77.285
"13","2018/11/26",76.289,78.169,76.242,78.05
"13","2018/11/19",77.389,77.498,76.340,76.48
"13","2018/11/12",76.530,77.720,76.209,77.625
"13","2018/11/05",75.054,77.250,75.017,76.67
"13","2018/10/29",72.957,75.613,72.838,75.235
"13","2018/10/22",74.255,74.384,72.361,72.947
"13","2018/10/15",72.855,74.360,72.751,74.114
"13","2018/10/08",73.237,73.463,72.294,72.962
"13","2018/10/01",75.241,75.507,73.058,73.235
"13","2018/09/24",75.012,75.520,74.713,75.289
"13","2018/09/17",73.359,75.535,73.192,75.2
"13","2018/09/10",72.501,73.768,72.246,73.312
"13","2018/09/03",73.489,73.664,72.396,72.469
"13","2018/08/27",74.404,75.024,73.316,73.533
"13","2018/08/20",73.251,74.451,72.944,74.44
"13","2018/08/13",72.654,73.373,72.348,73.272
"13","2018/08/06",74.979,75.241,72.721,72.923
"13","2018/07/30",75.364,76.288,74.885,75.067
"13","2018/07/23",75.706,75.920,75.174,75.402
"13","2018/07/16",75.900,76.853,75.480,75.907
"13","2018/07/09",75.467,76.438,75.393,76.011
"13","2018/07/02",75.002,75.599,74.074,75.53
"13","2018/06/25",75.964,76.059,74.394,75.052
"13","2018/06/18",76.717,76.859,75.359,76.018
"13","2018/06/11",76.785,77.876,76.638,76.781
"13","2018/06/04",76.446,77.675,76.386,76.946
"13","2018/05/28",76.026,76.592,74.552,76.486
"13","2018/05/21",76.798,77.491,75.357,75.769
