"通貨ペア","日付","始値","高値","安値","終値"
"14","2018/09/07",114.622,115.080,114.322,114.555
"14","2018/09/06",114.704,114.921,114.386,114.688
"14","2018/09/05",114.358,114.922,114.207,114.727
"14","2018/09/04",114.543,114.734,114.009,114.397
"14","2018/09/03",114.550,114.666,114.258,114.615
"14","2018/08/31",114.491,114.922,114.261,114.632
"14","2018/08/30",115.011,115.276,114.423,114.521
"14","2018/08/29",113.892,115.100,113.720,115.061
"14","2018/08/28",113.314,113.950,113.257,113.849
"14","2018/08/27",113.154,113.438,112.775,113.362
"14","2018/08/24",112.899,113.287,112.748,113.139
"14","2018/08/23",112.417,112.949,112.370,112.843
"14","2018/08/22",111.857,112.499,111.757,112.417
"14","2018/08/21",110.999,112.130,110.913,111.898
"14","2018/08/20",110.983,111.221,110.924,111.012
"14","2018/08/17",111.163,111.296,110.799,111.022
"14","2018/08/16",111.377,111.793,111.177,111.238
"14","2018/08/15",111.761,111.927,110.950,111.44
"14","2018/08/14",111.397,112.067,111.299,111.765
"14","2018/08/13",111.198,111.618,110.689,111.467
"14","2018/08/10",111.801,111.827,111.063,111.332
"14","2018/08/09",111.701,112.074,111.445,111.768
"14","2018/08/08",111.856,112.008,111.316,111.687
"14","2018/08/07",111.771,111.942,111.632,111.846
"14","2018/08/06",111.792,111.937,111.610,111.78
"14","2018/08/03",112.106,112.311,111.826,111.875
"14","2018/08/02",112.572,112.624,111.895,112.131
"14","2018/08/01",112.882,113.083,112.409,112.601
"14","2018/07/31",112.336,113.163,112.098,112.939
"14","2018/07/30",111.527,112.370,111.526,112.346
"14","2018/07/27",111.847,111.893,111.308,111.586
"14","2018/07/26",111.952,111.979,111.470,111.849
"14","2018/07/25",111.844,112.150,111.515,111.869
"14","2018/07/24",112.049,112.276,111.721,111.894
"14","2018/07/23",112.223,112.372,111.827,112.162
"14","2018/07/20",112.460,112.660,112.187,112.292
"14","2018/07/19",112.943,112.985,112.455,112.553
"14","2018/07/18",112.826,113.002,112.637,112.948
"14","2018/07/17",112.597,113.244,112.522,112.832
"14","2018/07/16",112.130,112.694,112.062,112.619
"14","2018/07/13",112.218,112.445,111.843,112.134
"14","2018/07/12",112.423,112.950,112.178,112.237
"14","2018/07/11",111.771,112.558,111.579,112.436
"14","2018/07/10",111.709,112.156,111.661,111.953
"14","2018/07/09",111.509,112.018,111.443,111.753
"14","2018/07/06",111.350,111.736,111.248,111.435
"14","2018/07/05",111.260,111.651,110.990,111.368
"14","2018/07/04",111.341,111.462,111.169,111.29
"14","2018/07/03",111.532,111.924,111.305,111.402
"14","2018/07/02",111.635,111.964,111.169,111.583
"14","2018/06/29",110.712,111.892,110.611,111.749
"14","2018/06/28",110.492,110.831,110.287,110.735
"14","2018/06/27",110.983,111.128,110.504,110.59
"14","2018/06/26",111.165,111.205,110.750,111.039
"14","2018/06/25",111.181,111.473,110.656,111.157
"14","2018/06/22",110.812,111.406,110.765,111.34
"14","2018/06/21",110.736,111.138,110.588,110.874
"14","2018/06/20",110.663,110.867,110.287,110.763
"14","2018/06/19",111.043,111.060,110.100,110.682
"14","2018/06/18",110.926,111.151,110.620,111.064
"14","2018/06/15",110.965,111.122,110.689,110.965
"14","2018/06/14",111.954,112.022,110.898,110.968
"14","2018/06/13",111.809,112.178,111.757,111.943
"14","2018/06/12",111.613,112.162,111.522,111.825
"14","2018/06/11",110.983,111.728,110.978,111.65
"14","2018/06/08",111.809,111.993,110.741,111.102
"14","2018/06/07",111.664,112.183,111.437,111.859
"14","2018/06/06",111.434,111.910,111.386,111.664
"14","2018/06/05",111.046,111.494,111.005,111.485
"14","2018/06/04",110.670,111.414,110.650,111.111
"14","2018/06/01",110.333,110.991,110.313,110.848
"14","2018/05/31",110.018,110.599,109.783,110.394
"14","2018/05/30",109.661,110.263,109.204,110.086
"14","2018/05/29",110.081,110.159,108.993,109.634
"14","2018/05/28",110.593,110.609,109.750,110.107
"14","2018/05/25",110.204,110.568,109.951,110.568
"14","2018/05/24",110.514,110.784,109.896,110.199
"14","2018/05/23",111.690,111.721,110.457,110.533
"14","2018/05/22",111.331,111.895,111.200,111.691
"14","2018/05/21",111.110,111.490,111.018,111.322
"14","2018/05/18",110.524,111.179,110.512,110.971
"14","2018/05/17",110.159,110.652,110.129,110.55
"14","2018/05/16",110.178,110.412,109.902,110.218
"14","2018/05/15",109.577,110.406,109.514,110.201
"14","2018/05/14",109.303,109.951,109.235,109.573
"14","2018/05/11",109.004,109.455,108.869,109.224
"14","2018/05/10",109.111,109.529,109.049,109.067
"14","2018/05/09",108.859,109.578,108.808,109.113
"14","2018/05/08",108.785,109.180,108.497,108.909
"14","2018/05/07",109.014,109.157,108.684,108.766
"14","2018/05/04",109.399,109.456,108.660,109.007
"14","2018/05/03",109.871,110.120,109.067,109.415
"14","2018/05/02",110.232,110.491,109.919,109.943
"14","2018/05/01",110.319,110.470,110.104,110.221
"14","2018/04/30",110.371,110.596,110.157,110.33
"14","2018/04/27",110.478,110.544,110.224,110.433
"14","2018/04/26",111.256,111.376,110.479,110.48
"14","2018/04/25",111.148,111.307,110.887,111.28
"14","2018/04/24",111.069,111.544,110.921,111.14
"14","2018/04/23",110.451,111.123,110.348,111.089
"14","2018/04/20",110.534,110.834,110.271,110.355
"14","2018/04/19",110.686,111.104,110.357,110.496
"14","2018/04/18",110.693,111.002,110.643,110.671
"14","2018/04/17",111.553,111.626,110.579,110.745
"14","2018/04/16",111.627,111.927,111.229,111.596
"14","2018/04/13",111.502,112.099,111.396,111.601
"14","2018/04/12",111.487,111.603,111.044,111.522
"14","2018/04/11",111.980,112.070,111.395,111.49
"14","2018/04/10",111.584,112.265,111.523,111.993
"14","2018/04/09",111.450,111.935,111.319,111.622
"14","2018/04/06",111.441,111.784,111.197,111.478
"14","2018/04/05",111.086,111.621,111.053,111.435
"14","2018/04/04",111.225,111.235,110.594,111.108
"14","2018/04/03",110.811,111.319,110.663,111.163
"14","2018/04/02",111.298,111.618,110.639,110.839
"14","2018/03/30",111.212,111.494,111.083,111.423
"14","2018/03/29",111.612,111.679,110.975,111.282
"14","2018/03/28",111.196,111.732,110.908,111.636
"14","2018/03/27",111.454,111.957,111.215,111.264
"14","2018/03/26",110.535,111.588,110.527,111.473
"14","2018/03/23",110.935,111.049,110.430,110.607
"14","2018/03/22",111.651,111.770,110.835,110.883
"14","2018/03/21",111.338,111.846,111.219,111.694
"14","2018/03/20",111.500,112.088,111.319,111.373
"14","2018/03/19",111.302,111.680,110.802,111.55
"14","2018/03/16",111.715,111.782,111.149,111.336
"14","2018/03/15",112.470,112.545,111.556,111.732
"14","2018/03/14",112.848,113.059,112.091,112.518
"14","2018/03/13",112.251,113.233,112.156,112.889
"14","2018/03/12",112.205,112.499,112.022,112.284
