"通貨ペア","日付","始値","高値","安値","終値"
"18","2019/02/08",1.29750,1.29922,1.29247,1.29331
"18","2019/02/07",1.29525,1.30035,1.28864,1.29815
"18","2019/02/06",1.29411,1.29829,1.29345,1.29612
"18","2019/02/05",1.30066,1.30485,1.29297,1.29493
"18","2019/02/04",1.29915,1.30779,1.29856,1.30086
"18","2019/02/01",1.30265,1.30520,1.29468,1.3021
"18","2019/01/31",1.30326,1.30680,1.30088,1.30334
"18","2019/01/30",1.29921,1.30741,1.29833,1.30343
"18","2019/01/29",1.30444,1.31151,1.29899,1.2997
"18","2019/01/28",1.30937,1.31193,1.30317,1.30481
"18","2019/01/25",1.30163,1.31158,1.30052,1.31026
"18","2019/01/24",1.29994,1.30196,1.29474,1.30105
"18","2019/01/23",1.29206,1.30304,1.29055,1.29989
"18","2019/01/22",1.28584,1.29303,1.28221,1.29206
"18","2019/01/21",1.28027,1.28777,1.27792,1.28515
"18","2019/01/18",1.29028,1.29119,1.27994,1.28138
"18","2019/01/17",1.27532,1.29164,1.27276,1.29052
"18","2019/01/16",1.27041,1.27663,1.26677,1.27502
"18","2019/01/15",1.26153,1.27253,1.25236,1.26992
"18","2019/01/14",1.26567,1.26787,1.25914,1.26249
"18","2019/01/11",1.25427,1.26490,1.24787,1.26346
"18","2019/01/10",1.24591,1.25537,1.24166,1.25529
"18","2019/01/09",1.24730,1.25223,1.24381,1.24583
"18","2019/01/08",1.25156,1.25476,1.24640,1.24772
"18","2019/01/07",1.25557,1.25629,1.25032,1.25085
"18","2019/01/04",1.24608,1.25706,1.24519,1.25554
"18","2019/01/03",1.24777,1.25076,1.23187,1.24691
"18","2019/01/02",1.24890,1.25393,1.24345,1.2483
"18","2018/12/31",1.24851,1.26318,1.24695,1.25067
"18","2018/12/28",1.24788,1.25147,1.24106,1.2493
"18","2018/12/27",1.25654,1.25956,1.24454,1.24894
"18","2018/12/26",1.25021,1.25911,1.24758,1.25793
"18","2018/12/25",1.25005,1.25422,1.24846,1.24889
"18","2018/12/24",1.25668,1.26015,1.24964,1.25083
"18","2018/12/21",1.24939,1.25807,1.24824,1.25758
"18","2018/12/20",1.25413,1.25754,1.24841,1.25024
"18","2018/12/19",1.25414,1.25755,1.25195,1.25429
"18","2018/12/18",1.25264,1.25852,1.25164,1.25515
"18","2018/12/17",1.25204,1.25661,1.24874,1.25285
"18","2018/12/14",1.25718,1.25831,1.24981,1.25568
"18","2018/12/13",1.25345,1.25901,1.25197,1.25782
"18","2018/12/12",1.23980,1.25792,1.23956,1.2531
"18","2018/12/11",1.24349,1.24812,1.23920,1.24017
"18","2018/12/10",1.25795,1.26088,1.23773,1.24361
"18","2018/12/07",1.26890,1.26945,1.25924,1.26047
"18","2018/12/06",1.26987,1.27179,1.26486,1.26928
"18","2018/12/05",1.26726,1.27607,1.26695,1.26987
"18","2018/12/04",1.26932,1.27551,1.26449,1.2681
"18","2018/12/03",1.27384,1.27825,1.26723,1.26987
"18","2018/11/30",1.27299,1.27670,1.26933,1.27285
"18","2018/11/29",1.27381,1.27509,1.26763,1.27327
"18","2018/11/28",1.27264,1.27897,1.27153,1.27401
"18","2018/11/27",1.27875,1.27973,1.27072,1.27079
"18","2018/11/26",1.27770,1.28296,1.27693,1.27895
"18","2018/11/23",1.27956,1.28121,1.27603,1.27839
"18","2018/11/22",1.26958,1.28320,1.26880,1.28128
"18","2018/11/21",1.27185,1.27491,1.27000,1.27047
"18","2018/11/20",1.27608,1.27882,1.27116,1.27202
"18","2018/11/19",1.28328,1.28667,1.27416,1.2767
"18","2018/11/16",1.28459,1.29449,1.28117,1.282
"18","2018/11/15",1.30652,1.30952,1.28075,1.28596
"18","2018/11/14",1.30581,1.31261,1.29734,1.30718
"18","2018/11/13",1.29830,1.31511,1.29746,1.30577
"18","2018/11/12",1.29848,1.30503,1.29511,1.29883
"18","2018/11/09",1.31373,1.31479,1.30323,1.30417
"18","2018/11/08",1.31465,1.31709,1.31163,1.31409
"18","2018/11/07",1.31315,1.31617,1.30814,1.31609
"18","2018/11/06",1.30905,1.31430,1.30812,1.31326
"18","2018/11/05",1.30586,1.31061,1.30280,1.31008
"18","2018/11/02",1.30281,1.30425,1.29665,1.30153
"18","2018/11/01",1.28665,1.30490,1.28598,1.30238
"18","2018/10/31",1.27722,1.28911,1.27658,1.28759
"18","2018/10/30",1.28219,1.28360,1.27535,1.27734
"18","2018/10/29",1.27941,1.28450,1.27863,1.28176
"18","2018/10/26",1.28062,1.28314,1.27831,1.2786
"18","2018/10/25",1.28475,1.28988,1.28015,1.28119
"18","2018/10/24",1.29141,1.29238,1.28363,1.28496
"18","2018/10/23",1.29142,1.29803,1.28917,1.29139
"18","2018/10/22",1.30026,1.30331,1.29084,1.2912
"18","2018/10/19",1.29640,1.30539,1.29524,1.30144
"18","2018/10/18",1.30225,1.30641,1.29551,1.29601
"18","2018/10/17",1.30574,1.30681,1.30025,1.30492
"18","2018/10/16",1.29744,1.30838,1.29706,1.30614
"18","2018/10/15",1.29803,1.30022,1.29443,1.29766
"18","2018/10/12",1.30935,1.31135,1.30220,1.30413
"18","2018/10/11",1.30673,1.31028,1.30284,1.30925
"18","2018/10/10",1.30288,1.31073,1.30241,1.30531
"18","2018/10/09",1.29897,1.30520,1.29561,1.30343
"18","2018/10/08",1.30103,1.30208,1.29347,1.29902
"18","2018/10/05",1.29080,1.30126,1.29007,1.30103
"18","2018/10/04",1.28263,1.29284,1.28124,1.29118
"18","2018/10/03",1.27635,1.28818,1.27622,1.28353
"18","2018/10/02",1.28168,1.28354,1.27348,1.27689
"18","2018/10/01",1.27766,1.28818,1.27746,1.28246
"18","2018/09/28",1.27749,1.27971,1.26957,1.27948
"18","2018/09/27",1.27081,1.28149,1.26888,1.27763
"18","2018/09/26",1.27106,1.27777,1.26865,1.27164
"18","2018/09/25",1.26483,1.27262,1.26431,1.27177
"18","2018/09/24",1.25342,1.26530,1.25256,1.26529
"18","2018/09/21",1.27167,1.27266,1.25002,1.25362
"18","2018/09/20",1.27117,1.27888,1.27003,1.27226
"18","2018/09/19",1.26783,1.27721,1.26709,1.27127
"18","2018/09/18",1.26617,1.26862,1.26041,1.26798
"18","2018/09/17",1.26480,1.26657,1.26215,1.26602
"18","2018/09/14",1.26530,1.26746,1.26189,1.2638
"18","2018/09/13",1.26594,1.26872,1.26262,1.26495
"18","2018/09/12",1.26626,1.27017,1.26273,1.26616
"18","2018/09/11",1.26975,1.27407,1.26254,1.26662
"18","2018/09/10",1.25187,1.27097,1.25111,1.26947
"18","2018/09/07",1.24764,1.25751,1.24689,1.25134
"18","2018/09/06",1.25363,1.25532,1.24731,1.24746
"18","2018/09/05",1.25175,1.26228,1.24573,1.25414
"18","2018/09/04",1.24736,1.25379,1.24628,1.25208
"18","2018/09/03",1.25222,1.25402,1.24677,1.24736
"18","2018/08/31",1.26136,1.26156,1.25416,1.25565
"18","2018/08/30",1.26404,1.26613,1.25958,1.26108
"18","2018/08/29",1.25581,1.26646,1.25091,1.26415
"18","2018/08/28",1.26303,1.26328,1.25560,1.25627
"18","2018/08/27",1.26281,1.26531,1.26180,1.26267
"18","2018/08/24",1.26242,1.26485,1.26079,1.26258
"18","2018/08/23",1.26866,1.26965,1.26234,1.26319
"18","2018/08/22",1.27066,1.27159,1.26563,1.26944
"18","2018/08/21",1.26816,1.27227,1.26530,1.2706
"18","2018/08/20",1.26854,1.27102,1.26643,1.2681
"18","2018/08/17",1.26732,1.26998,1.26489,1.26881
"18","2018/08/16",1.26128,1.26756,1.26030,1.26673
"18","2018/08/15",1.26362,1.26962,1.25902,1.26139
"18","2018/08/14",1.26714,1.27266,1.26256,1.26423
"18","2018/08/13",1.26667,1.27079,1.26568,1.26701
"18","2018/08/10",1.27336,1.27702,1.26478,1.27108
"18","2018/08/09",1.27901,1.28159,1.27307,1.27391
"18","2018/08/08",1.28785,1.28861,1.27912,1.27931
"18","2018/08/07",1.28884,1.29118,1.28670,1.28794
"18","2018/08/06",1.29266,1.29412,1.28860,1.28938
"18","2018/08/03",1.29550,1.29652,1.29111,1.29289
"18","2018/08/02",1.30149,1.30386,1.29386,1.29576
"18","2018/08/01",1.29926,1.30286,1.29802,1.30194
"18","2018/07/31",1.29754,1.30057,1.29479,1.29942
"18","2018/07/30",1.30338,1.30577,1.29739,1.29752
"18","2018/07/27",1.30260,1.30676,1.30189,1.30315
"18","2018/07/26",1.30769,1.31019,1.30291,1.30326
"18","2018/07/25",1.30581,1.30833,1.30310,1.30816
"18","2018/07/24",1.30082,1.30703,1.30008,1.30587
"18","2018/07/23",1.30239,1.30350,1.29914,1.3
"18","2018/07/20",1.30022,1.30469,1.29844,1.30317
"18","2018/07/19",1.30474,1.30659,1.29851,1.30006
"18","2018/07/18",1.31051,1.31374,1.30109,1.30542
"18","2018/07/17",1.31938,1.32028,1.30689,1.31108
"18","2018/07/16",1.32407,1.32643,1.31834,1.31915
"18","2018/07/13",1.32295,1.32625,1.31582,1.32549
"18","2018/07/12",1.31458,1.32551,1.31341,1.32358
"18","2018/07/11",1.31705,1.31818,1.31381,1.31483
"18","2018/07/10",1.31394,1.32031,1.31224,1.31656
"18","2018/07/09",1.31765,1.31994,1.30852,1.3143
"18","2018/07/06",1.31231,1.31610,1.31117,1.31522
"18","2018/07/05",1.31362,1.31675,1.31078,1.31327
"18","2018/07/04",1.30905,1.31470,1.30763,1.31331
"18","2018/07/03",1.30538,1.31082,1.30432,1.30922
"18","2018/07/02",1.30751,1.30824,1.30330,1.30552
"18","2018/06/29",1.30374,1.31166,1.30215,1.30766
"18","2018/06/28",1.30754,1.30794,1.30291,1.30441
"18","2018/06/27",1.30993,1.31119,1.30589,1.30753
"18","2018/06/26",1.31052,1.31271,1.30652,1.30991
"18","2018/06/25",1.31072,1.31193,1.30571,1.31072
"18","2018/06/22",1.31356,1.31763,1.30835,1.30943
"18","2018/06/21",1.31208,1.31704,1.30621,1.31291
"18","2018/06/20",1.30932,1.31607,1.30848,1.31247
"18","2018/06/19",1.31756,1.31876,1.30779,1.30979
"18","2018/06/18",1.32369,1.32437,1.31576,1.31819
"18","2018/06/15",1.32116,1.32678,1.31890,1.32395
"18","2018/06/14",1.31726,1.32586,1.31651,1.32193
"18","2018/06/13",1.31927,1.32030,1.31452,1.31799
"18","2018/06/12",1.31795,1.32105,1.31388,1.3193
"18","2018/06/11",1.31997,1.32550,1.31680,1.31842
"18","2018/06/08",1.31521,1.32266,1.31436,1.32019
"18","2018/06/07",1.32239,1.32408,1.31220,1.31558
"18","2018/06/06",1.31907,1.32678,1.31853,1.3232
"18","2018/06/05",1.31554,1.32027,1.31439,1.31887
"18","2018/06/04",1.31953,1.32246,1.31425,1.31512
"18","2018/06/01",1.30977,1.32031,1.30836,1.31839
"18","2018/05/31",1.31408,1.31753,1.30566,1.31031
"18","2018/05/30",1.31328,1.31822,1.30995,1.31375
"18","2018/05/29",1.32183,1.32318,1.30496,1.31392
"18","2018/05/28",1.32055,1.32475,1.31936,1.32229
"18","2018/05/25",1.32476,1.32757,1.31799,1.31799
"18","2018/05/24",1.32827,1.33149,1.32317,1.32627
"18","2018/05/23",1.33268,1.33387,1.31765,1.3293
"18","2018/05/22",1.33861,1.34318,1.33099,1.33331
"18","2018/05/21",1.34357,1.34534,1.33753,1.33894
"18","2018/05/18",1.35329,1.35382,1.34174,1.34445
"18","2018/05/17",1.35121,1.35684,1.34993,1.35344
