"通貨ペア","日付","始値","高値","安値","終値"
"20","2019/01/25",0.70642,0.71310,0.70443,0.71285
"20","2019/01/24",0.71032,0.71242,0.70473,0.70612
"20","2019/01/23",0.71000,0.71316,0.70903,0.71019
"20","2019/01/22",0.71372,0.71403,0.70929,0.70972
"20","2019/01/21",0.71225,0.71438,0.71124,0.71353
"20","2019/01/18",0.71438,0.71692,0.71289,0.71334
"20","2019/01/17",0.70958,0.71720,0.70875,0.71467
"20","2019/01/16",0.71093,0.71275,0.70775,0.70995
"20","2019/01/15",0.70539,0.71138,0.70516,0.71115
"20","2019/01/14",0.71004,0.71008,0.70530,0.70605
"20","2019/01/11",0.70660,0.71052,0.70633,0.7096
"20","2019/01/10",0.69824,0.70760,0.69560,0.70748
"20","2019/01/09",0.70006,0.70322,0.69821,0.69846
"20","2019/01/08",0.69975,0.70160,0.69802,0.70063
"20","2019/01/07",0.70182,0.70277,0.69797,0.69977
"20","2019/01/04",0.69037,0.70237,0.68926,0.70215
"20","2019/01/03",0.69087,0.69434,0.66803,0.69107
"20","2019/01/02",0.69089,0.69350,0.68790,0.69128
"20","2018/12/31",0.69182,0.69673,0.69102,0.69139
"20","2018/12/28",0.69441,0.69577,0.68983,0.69261
"20","2018/12/27",0.70297,0.70388,0.69155,0.69422
"20","2018/12/26",0.69325,0.70402,0.69313,0.70366
"20","2018/12/25",0.69445,0.69689,0.69305,0.69319
"20","2018/12/24",0.69923,0.70267,0.69403,0.69443
"20","2018/12/21",0.70172,0.70522,0.69940,0.70069
"20","2018/12/20",0.70638,0.70866,0.69981,0.70208
"20","2018/12/19",0.71251,0.71480,0.70444,0.70717
"20","2018/12/18",0.71249,0.71459,0.71144,0.71341
"20","2018/12/17",0.71302,0.71624,0.71164,0.71277
"20","2018/12/14",0.71793,0.71805,0.71224,0.71647
"20","2018/12/13",0.71620,0.71936,0.71586,0.7175
"20","2018/12/12",0.71482,0.71812,0.71448,0.71688
"20","2018/12/11",0.71172,0.71556,0.70976,0.71492
"20","2018/12/10",0.71157,0.71462,0.70990,0.71172
"20","2018/12/07",0.71806,0.71857,0.71201,0.71207
"20","2018/12/06",0.72486,0.72513,0.71474,0.71819
"20","2018/12/05",0.73149,0.73354,0.72438,0.72503
"20","2018/12/04",0.73390,0.73574,0.73122,0.73175
"20","2018/12/03",0.73629,0.73746,0.73324,0.73422
"20","2018/11/30",0.72836,0.73030,0.72666,0.72978
"20","2018/11/29",0.72545,0.73115,0.72399,0.7288
"20","2018/11/28",0.72148,0.72802,0.72102,0.72598
"20","2018/11/27",0.72021,0.72559,0.71930,0.72139
