"通貨ペア","日付","始値","高値","安値","終値"
"21","2018/12/31",1.04805,1.05243,1.04794,1.04852
"21","2018/12/28",1.04870,1.05235,1.04814,1.04973
"21","2018/12/27",1.04909,1.05153,1.04621,1.04935
"21","2018/12/26",1.04420,1.05096,1.04420,1.04994
"21","2018/12/25",1.04492,1.04866,1.04360,1.04678
"21","2018/12/24",1.04602,1.04988,1.04253,1.04546
"21","2018/12/21",1.04993,1.05353,1.04765,1.04917
"21","2018/12/20",1.05032,1.05521,1.04830,1.04885
"21","2018/12/19",1.04831,1.05086,1.04418,1.05046
"21","2018/12/18",1.05411,1.05497,1.04546,1.04897
"21","2018/12/17",1.05480,1.05727,1.05323,1.05416
"21","2018/12/14",1.05269,1.05851,1.05185,1.05567
"21","2018/12/13",1.05272,1.05474,1.05141,1.05301
"21","2018/12/12",1.04699,1.05528,1.04648,1.05249
"21","2018/12/11",1.04621,1.04941,1.04489,1.04759
"21","2018/12/10",1.04522,1.04972,1.04313,1.04604
"21","2018/12/07",1.05074,1.05238,1.04841,1.04908
"21","2018/12/06",1.05327,1.05416,1.04723,1.05121
"21","2018/12/05",1.05837,1.05941,1.05131,1.05388
"21","2018/12/04",1.06145,1.06234,1.05733,1.05894
"21","2018/12/03",1.06598,1.06698,1.06064,1.06221
"21","2018/11/30",1.06549,1.06693,1.06160,1.06253
"21","2018/11/29",1.06286,1.06812,1.06253,1.06678
"21","2018/11/28",1.06358,1.06539,1.06250,1.06336
"21","2018/11/27",1.06503,1.06891,1.06222,1.06376
"21","2018/11/26",1.06866,1.06965,1.06451,1.06561
"21","2018/11/23",1.06379,1.06769,1.06284,1.06619
"21","2018/11/22",1.06262,1.06597,1.06210,1.06396
"21","2018/11/21",1.06201,1.06461,1.05981,1.06298
"21","2018/11/20",1.06609,1.06666,1.05865,1.06267
"21","2018/11/19",1.06411,1.06935,1.06369,1.06659
"21","2018/11/16",1.06425,1.06721,1.06335,1.06594
"21","2018/11/15",1.06400,1.07101,1.06333,1.06518
"21","2018/11/14",1.06617,1.06886,1.06101,1.06403
"21","2018/11/13",1.06833,1.06962,1.06594,1.06669
"21","2018/11/12",1.07250,1.07380,1.06742,1.06873
"21","2018/11/09",1.07335,1.07642,1.07169,1.07223
"21","2018/11/08",1.07142,1.07558,1.07087,1.07424
"21","2018/11/07",1.07443,1.07630,1.06849,1.07176
"21","2018/11/06",1.08120,1.08482,1.07466,1.07545
"21","2018/11/05",1.08316,1.08343,1.08004,1.08131
"21","2018/11/02",1.08261,1.08573,1.08071,1.0826
"21","2018/11/01",1.08504,1.08754,1.08159,1.08262
"21","2018/10/31",1.08316,1.08556,1.07960,1.08482
"21","2018/10/30",1.08119,1.08444,1.08091,1.08366
"21","2018/10/29",1.08642,1.08801,1.08054,1.08187
"21","2018/10/26",1.08478,1.08770,1.08268,1.08701
"21","2018/10/25",1.08154,1.08679,1.08131,1.08484
"21","2018/10/24",1.08060,1.08408,1.08040,1.08259
"21","2018/10/23",1.07937,1.08138,1.07736,1.08109
"21","2018/10/22",1.07836,1.08188,1.07651,1.08047
"21","2018/10/19",1.08420,1.08702,1.07979,1.07986
"21","2018/10/18",1.08471,1.08976,1.08426,1.08465
"21","2018/10/17",1.08371,1.08573,1.08197,1.08511
"21","2018/10/16",1.08798,1.08966,1.08127,1.0838
"21","2018/10/15",1.09330,1.09385,1.08774,1.0879
"21","2018/10/12",1.09055,1.09512,1.08976,1.09319
"21","2018/10/11",1.09239,1.09486,1.08935,1.09091
"21","2018/10/10",1.09677,1.09877,1.09282,1.09369
"21","2018/10/09",1.09644,1.09912,1.09348,1.09722
"21","2018/10/08",1.09447,1.09733,1.09330,1.0964
"21","2018/10/05",1.09182,1.09498,1.09028,1.09413
"21","2018/10/04",1.09039,1.09310,1.08884,1.09241
"21","2018/10/03",1.08959,1.09280,1.08870,1.09025
"21","2018/10/02",1.09196,1.09493,1.08876,1.08972
"21","2018/10/01",1.09045,1.09324,1.08977,1.09192
"21","2018/09/28",1.08900,1.09260,1.08846,1.08976
"21","2018/09/27",1.08832,1.09170,1.08727,1.08938
"21","2018/09/26",1.09016,1.09250,1.08571,1.09045
"21","2018/09/25",1.09091,1.09279,1.08959,1.08996
"21","2018/09/24",1.08872,1.09224,1.08797,1.0915
"21","2018/09/21",1.08968,1.09124,1.08816,1.0904
"21","2018/09/20",1.09750,1.09966,1.08896,1.08991
"21","2018/09/19",1.09588,1.10005,1.09536,1.09842
"21","2018/09/18",1.09067,1.09625,1.08751,1.09579
"21","2018/09/17",1.09114,1.09265,1.09028,1.09066
"21","2018/09/14",1.09410,1.09458,1.09123,1.09252
"21","2018/09/13",1.09223,1.09781,1.09211,1.09438
"21","2018/09/12",1.09006,1.09408,1.08910,1.09307
"21","2018/09/11",1.08964,1.09164,1.08756,1.091
"21","2018/09/10",1.08666,1.09054,1.08647,1.09012
"21","2018/09/07",1.09180,1.09266,1.08615,1.08819
"21","2018/09/06",1.09093,1.09269,1.08802,1.09223
"21","2018/09/05",1.09452,1.10179,1.08982,1.09138
"21","2018/09/04",1.09250,1.09738,1.08964,1.09516
"21","2018/09/03",1.08575,1.09307,1.08535,1.09257
"21","2018/08/31",1.09090,1.09311,1.08555,1.0863
"21","2018/08/30",1.08823,1.09590,1.08784,1.09172
"21","2018/08/29",1.09300,1.09446,1.08696,1.08848
"21","2018/08/28",1.09645,1.09762,1.09240,1.09315
"21","2018/08/27",1.09549,1.09752,1.09406,1.09628
"21","2018/08/24",1.09139,1.09835,1.09061,1.09423
"21","2018/08/23",1.09642,1.09780,1.09038,1.09196
"21","2018/08/22",1.09923,1.10045,1.09450,1.09728
"21","2018/08/21",1.10403,1.10538,1.09947,1.09958
"21","2018/08/20",1.10215,1.10546,1.10164,1.10432
"21","2018/08/17",1.10143,1.10372,1.09968,1.10277
"21","2018/08/16",1.10166,1.10451,1.09940,1.10227
"21","2018/08/15",1.10043,1.10346,1.09895,1.10244
"21","2018/08/14",1.10444,1.10561,1.09837,1.10087
"21","2018/08/13",1.10672,1.10758,1.10315,1.10519
"21","2018/08/10",1.11434,1.11728,1.10469,1.10933
"21","2018/08/09",1.10601,1.11727,1.10585,1.11473
"21","2018/08/08",1.10070,1.10318,1.09773,1.10132
"21","2018/08/07",1.09658,1.10317,1.09633,1.10124
"21","2018/08/06",1.09608,1.09760,1.09532,1.09714
"21","2018/08/03",1.09189,1.09683,1.09140,1.09606
"21","2018/08/02",1.08932,1.09272,1.08823,1.09209
"21","2018/08/01",1.08921,1.09118,1.08832,1.08997
"21","2018/07/31",1.08494,1.09209,1.08415,1.08946
"21","2018/07/30",1.08869,1.08900,1.08384,1.08533
"21","2018/07/27",1.08720,1.09082,1.08694,1.08925
"21","2018/07/26",1.08968,1.09003,1.08640,1.08718
"21","2018/07/25",1.09026,1.09343,1.08722,1.08997
"21","2018/07/24",1.08718,1.09145,1.08587,1.09063
"21","2018/07/23",1.09072,1.09073,1.08667,1.08775
"21","2018/07/20",1.08990,1.09180,1.08826,1.08916
"21","2018/07/19",1.08826,1.09425,1.08778,1.09071
"21","2018/07/18",1.08833,1.09012,1.08600,1.0883
"21","2018/07/17",1.09434,1.09679,1.08581,1.08884
"21","2018/07/16",1.09605,1.09720,1.09385,1.09427
"21","2018/07/13",1.09228,1.09689,1.09202,1.09616
"21","2018/07/12",1.08963,1.09384,1.08895,1.09262
"21","2018/07/11",1.08965,1.09068,1.08659,1.08992
"21","2018/07/10",1.09173,1.09256,1.08970,1.09088
"21","2018/07/09",1.08621,1.09318,1.08588,1.09146
"21","2018/07/06",1.08739,1.08836,1.08545,1.08557
"21","2018/07/05",1.09088,1.09238,1.08689,1.08794
"21","2018/07/04",1.09270,1.09536,1.08992,1.0912
"21","2018/07/03",1.09235,1.09897,1.09181,1.09298
"21","2018/07/02",1.09038,1.09491,1.08877,1.09251
"21","2018/06/29",1.08702,1.09282,1.08675,1.09171
"21","2018/06/28",1.07843,1.08871,1.07799,1.08793
"21","2018/06/27",1.07785,1.08532,1.07745,1.08008
"21","2018/06/26",1.07450,1.07919,1.07368,1.07844
"21","2018/06/25",1.07550,1.07666,1.07292,1.07432
"21","2018/06/22",1.07408,1.07769,1.07080,1.07556
"21","2018/06/21",1.07338,1.07747,1.07237,1.07357
"21","2018/06/20",1.06915,1.07453,1.06820,1.07319
"21","2018/06/19",1.06932,1.07061,1.06555,1.06932
"21","2018/06/18",1.07234,1.07459,1.06826,1.0703
"21","2018/06/15",1.07036,1.07569,1.07031,1.07201
"21","2018/06/14",1.07837,1.07922,1.07016,1.07169
"21","2018/06/13",1.08047,1.08125,1.07628,1.07901
"21","2018/06/12",1.08240,1.08401,1.08031,1.08064
"21","2018/06/11",1.08037,1.08370,1.07927,1.08321
"21","2018/06/08",1.08403,1.08521,1.07758,1.08041
"21","2018/06/07",1.08922,1.08988,1.08255,1.08442
"21","2018/06/06",1.08351,1.08990,1.08320,1.08953
"21","2018/06/05",1.08765,1.08846,1.08274,1.08389
"21","2018/06/04",1.08293,1.08853,1.08283,1.08731
"21","2018/06/01",1.08018,1.08358,1.07744,1.08347
