"通貨ペア","日付","始値","高値","安値","終値"
"24","2019/01/18",1.58313,1.58803,1.57740,1.58573
"24","2019/01/17",1.58891,1.59216,1.57834,1.58344
"24","2019/01/16",1.58386,1.59127,1.58053,1.58869
"24","2019/01/15",1.59346,1.59450,1.58284,1.58433
"24","2019/01/14",1.58833,1.59883,1.58825,1.59296
"24","2019/01/11",1.60014,1.60229,1.58896,1.58907
"24","2019/01/10",1.60977,1.61537,1.59951,1.60001
"24","2019/01/09",1.60253,1.60995,1.59690,1.60983
"24","2019/01/08",1.60477,1.60750,1.60052,1.60215
"24","2019/01/07",1.60143,1.60863,1.59973,1.60568
"24","2019/01/04",1.62699,1.63058,1.60033,1.60079
"24","2019/01/03",1.62464,1.67668,1.62314,1.62641
"24","2019/01/02",1.62506,1.63476,1.61893,1.62431
"24","2018/12/31",1.62398,1.62696,1.61621,1.62588
"24","2018/12/28",1.62462,1.62691,1.62025,1.62529
"24","2018/12/27",1.60532,1.63156,1.60481,1.62596
"24","2018/12/26",1.61805,1.62277,1.60507,1.60592
"24","2018/12/25",1.61503,1.62059,1.61377,1.61845
"24","2018/12/24",1.61448,1.62040,1.61055,1.61694
"24","2018/12/21",1.60947,1.61539,1.60245,1.61366
"24","2018/12/20",1.59902,1.61427,1.59727,1.61015
"24","2018/12/19",1.58187,1.60375,1.58061,1.60024
"24","2018/12/18",1.58006,1.58548,1.57654,1.58124
"24","2018/12/17",1.57463,1.58222,1.57418,1.58073
"24","2018/12/14",1.57114,1.58224,1.57098,1.57477
"24","2018/12/13",1.57462,1.57648,1.56724,1.57287
"24","2018/12/12",1.57061,1.57639,1.56728,1.57463
"24","2018/12/11",1.57850,1.58172,1.56993,1.57172
"24","2018/12/10",1.58473,1.58848,1.57895,1.57922
"24","2018/12/07",1.57110,1.58456,1.57084,1.5843
"24","2018/12/06",1.56009,1.57853,1.55928,1.57258
"24","2018/12/05",1.54531,1.56248,1.54221,1.56019
"24","2018/12/04",1.54256,1.54651,1.54031,1.54546
"24","2018/12/03",1.53758,1.54417,1.53462,1.54285
"24","2018/11/30",1.55645,1.55802,1.54778,1.54839
"24","2018/11/29",1.55597,1.55896,1.55060,1.55652
"24","2018/11/28",1.56246,1.56340,1.55184,1.55506
"24","2018/11/27",1.56912,1.57046,1.55966,1.56281
"24","2018/11/26",1.56781,1.57007,1.56330,1.56957
"24","2018/11/23",1.57196,1.57552,1.56497,1.56705
"24","2018/11/22",1.56676,1.57574,1.56637,1.57186
"24","2018/11/21",1.57523,1.57817,1.56627,1.56714
"24","2018/11/20",1.56942,1.57711,1.56699,1.57495
"24","2018/11/19",1.56123,1.57227,1.55774,1.56993
"24","2018/11/16",1.55669,1.56432,1.55531,1.55629
"24","2018/11/15",1.56318,1.56496,1.55200,1.55696
"24","2018/11/14",1.56360,1.56931,1.56298,1.56368
"24","2018/11/13",1.56401,1.56659,1.55742,1.56404
"24","2018/11/12",1.56794,1.56895,1.56134,1.56374
"24","2018/11/09",1.56601,1.56965,1.56354,1.56843
"24","2018/11/08",1.57127,1.57337,1.56320,1.56572
"24","2018/11/07",1.57737,1.58265,1.57047,1.57084
"24","2018/11/06",1.58185,1.58316,1.57542,1.57765
"24","2018/11/05",1.58276,1.58518,1.57940,1.58207
"24","2018/11/02",1.58315,1.58531,1.57421,1.58241
"24","2018/11/01",1.59843,1.59944,1.58218,1.58334
"24","2018/10/31",1.59684,1.60340,1.59580,1.59996
"24","2018/10/30",1.61147,1.61188,1.59545,1.59671
"24","2018/10/29",1.60696,1.61499,1.60280,1.61175
"24","2018/10/26",1.60632,1.61889,1.60522,1.60804
"24","2018/10/25",1.61373,1.61604,1.60333,1.60655
"24","2018/10/24",1.61865,1.61991,1.60527,1.61315
"24","2018/10/23",1.61897,1.62497,1.61781,1.61863
"24","2018/10/22",1.61618,1.62272,1.61618,1.61882
"24","2018/10/19",1.61399,1.61817,1.60485,1.618
"24","2018/10/18",1.61747,1.61833,1.61030,1.61343
"24","2018/10/17",1.62098,1.62259,1.61583,1.61752
"24","2018/10/16",1.62373,1.62842,1.62034,1.62055
"24","2018/10/15",1.62453,1.62691,1.62108,1.62363
"24","2018/10/12",1.62727,1.63012,1.61781,1.62503
"24","2018/10/11",1.63453,1.63570,1.62285,1.62765
"24","2018/10/10",1.61794,1.63536,1.61466,1.63319
"24","2018/10/09",1.62341,1.62619,1.61784,1.61792
"24","2018/10/08",1.63316,1.63473,1.62253,1.62353
"24","2018/10/05",1.62697,1.63525,1.62491,1.63358
"24","2018/10/04",1.61577,1.62788,1.61410,1.62667
"24","2018/10/03",1.60630,1.61795,1.60562,1.6156
"24","2018/10/02",1.60279,1.60823,1.59855,1.60645
"24","2018/10/01",1.60723,1.60933,1.60109,1.60259
"24","2018/09/28",1.61489,1.61576,1.60299,1.60706
"24","2018/09/27",1.61743,1.62112,1.61494,1.61533
"24","2018/09/26",1.62195,1.62338,1.61208,1.61725
"24","2018/09/25",1.61936,1.62534,1.61840,1.62333
"24","2018/09/24",1.61608,1.62427,1.61336,1.61957
"24","2018/09/21",1.61474,1.61758,1.61167,1.61305
"24","2018/09/20",1.60675,1.61702,1.60519,1.61536
"24","2018/09/19",1.61567,1.61702,1.60589,1.60653
"24","2018/09/18",1.62741,1.63332,1.61554,1.61617
"24","2018/09/17",1.62496,1.62828,1.62358,1.62775
"24","2018/09/14",1.62514,1.62859,1.62266,1.62443
"24","2018/09/13",1.62159,1.62630,1.61373,1.62565
"24","2018/09/12",1.62884,1.63398,1.61974,1.62114
"24","2018/09/11",1.62987,1.63537,1.62814,1.62975
"24","2018/09/10",1.62570,1.63193,1.62245,1.63004
"24","2018/09/07",1.61451,1.62891,1.61318,1.62566
"24","2018/09/06",1.61667,1.62212,1.61303,1.61471
"24","2018/09/05",1.61390,1.62013,1.60702,1.61634
"24","2018/09/04",1.61011,1.61505,1.60411,1.61362
"24","2018/09/03",1.61242,1.61725,1.60758,1.61038
"24","2018/08/31",1.60609,1.61603,1.60513,1.61367
"24","2018/08/30",1.60142,1.60839,1.59845,1.60648
"24","2018/08/29",1.59400,1.60557,1.59127,1.60173
"24","2018/08/28",1.58885,1.59541,1.58838,1.59368
"24","2018/08/27",1.58494,1.59021,1.58460,1.58981
"24","2018/08/24",1.59240,1.59462,1.58298,1.58648
"24","2018/08/23",1.57750,1.59329,1.57689,1.59234
"24","2018/08/22",1.57105,1.57971,1.57013,1.57704
"24","2018/08/21",1.56459,1.57185,1.56359,1.57089
"24","2018/08/20",1.56359,1.56628,1.56025,1.56453
"24","2018/08/17",1.56653,1.56829,1.56327,1.56387
"24","2018/08/16",1.56764,1.57198,1.56280,1.56654
"24","2018/08/15",1.56673,1.57161,1.56500,1.56708
"24","2018/08/14",1.56875,1.57259,1.56644,1.56707
"24","2018/08/13",1.56288,1.56957,1.56166,1.5683
"24","2018/08/10",1.56321,1.57019,1.56047,1.56334
"24","2018/08/09",1.56194,1.56483,1.55880,1.56343
"24","2018/08/08",1.56285,1.56749,1.56062,1.56196
"24","2018/08/07",1.56380,1.56518,1.55794,1.5633
"24","2018/08/06",1.56340,1.56571,1.56145,1.56362
"24","2018/08/03",1.57331,1.57503,1.56280,1.56346
"24","2018/08/02",1.57483,1.57934,1.57278,1.57339
"24","2018/08/01",1.57367,1.57888,1.57309,1.57449
"24","2018/07/31",1.58038,1.58198,1.57233,1.57418
"24","2018/07/30",1.57463,1.58191,1.57437,1.5801
"24","2018/07/27",1.57721,1.57880,1.57197,1.57494
"24","2018/07/26",1.57339,1.58069,1.57293,1.57818
"24","2018/07/25",1.57416,1.58075,1.57008,1.57303
"24","2018/07/24",1.58328,1.58693,1.57438,1.57494
"24","2018/07/23",1.57931,1.58628,1.57849,1.58388
"24","2018/07/20",1.58274,1.58898,1.57824,1.57824
"24","2018/07/19",1.57329,1.58466,1.56567,1.58287
"24","2018/07/18",1.57800,1.58304,1.57278,1.57366
"24","2018/07/17",1.57808,1.58276,1.57533,1.57877
"24","2018/07/16",1.57561,1.57949,1.57179,1.57823
"24","2018/07/13",1.57515,1.57717,1.57124,1.57446
"24","2018/07/12",1.58382,1.58590,1.57529,1.57554
"24","2018/07/11",1.57670,1.58812,1.57654,1.58482
"24","2018/07/10",1.57351,1.57591,1.56995,1.57441
"24","2018/07/09",1.58036,1.58146,1.57226,1.57399
"24","2018/07/06",1.58238,1.58500,1.57785,1.5803
"24","2018/07/05",1.57935,1.58703,1.57838,1.58262
"24","2018/07/04",1.57892,1.58107,1.57276,1.57871
"24","2018/07/03",1.58536,1.58872,1.57476,1.57872
"24","2018/07/02",1.57663,1.58702,1.57627,1.58604
"24","2018/06/29",1.57330,1.58086,1.57209,1.57755
"24","2018/06/28",1.57325,1.57852,1.57131,1.57349
"24","2018/06/27",1.57539,1.58260,1.56970,1.57435
"24","2018/06/26",1.57854,1.58228,1.57468,1.57569
"24","2018/06/25",1.56735,1.58174,1.56575,1.57872
"24","2018/06/22",1.57293,1.57558,1.56526,1.56732
"24","2018/06/21",1.57035,1.57430,1.56315,1.57273
"24","2018/06/20",1.57067,1.57221,1.56181,1.57124
"24","2018/06/19",1.56538,1.57512,1.56388,1.56984
"24","2018/06/18",1.55759,1.56653,1.55435,1.5657
"24","2018/06/15",1.54862,1.56026,1.54779,1.5595
"24","2018/06/14",1.55566,1.56913,1.54268,1.54812
"24","2018/06/13",1.55043,1.55942,1.54886,1.55609
"24","2018/06/12",1.54878,1.55192,1.54426,1.55073
"24","2018/06/11",1.54981,1.55259,1.54807,1.54848
"24","2018/06/08",1.54772,1.55579,1.54674,1.54893
"24","2018/06/07",1.53584,1.55125,1.53512,1.54744
"24","2018/06/06",1.53839,1.53914,1.52822,1.53554
"24","2018/06/05",1.52864,1.53934,1.52812,1.5382
"24","2018/06/04",1.54022,1.54237,1.52743,1.52915
"24","2018/06/01",1.54504,1.55299,1.53948,1.54049
"24","2018/05/31",1.53949,1.54605,1.53697,1.54541
"24","2018/05/30",1.53699,1.54406,1.53628,1.53968
"24","2018/05/29",1.54007,1.54556,1.53152,1.5368
"24","2018/05/28",1.54550,1.54952,1.53713,1.54055
"24","2018/05/25",1.54703,1.54882,1.54054,1.54358
"24","2018/05/24",1.54718,1.55257,1.54594,1.54654
"24","2018/05/23",1.55458,1.56189,1.54655,1.54733
"24","2018/05/22",1.55489,1.55678,1.54882,1.55437
"24","2018/05/21",1.56345,1.56482,1.55319,1.55457
"24","2018/05/18",1.56967,1.57274,1.56539,1.56642
"24","2018/05/17",1.57128,1.57294,1.56588,1.57034
"24","2018/05/16",1.58415,1.58668,1.56892,1.57135
"24","2018/05/15",1.58394,1.58881,1.58357,1.58417
"24","2018/05/14",1.58345,1.58835,1.58165,1.58485
"24","2018/05/11",1.58176,1.58503,1.57757,1.58282
"24","2018/05/10",1.58789,1.59030,1.58139,1.58158
"24","2018/05/09",1.59194,1.59633,1.58776,1.58844
"24","2018/05/08",1.58674,1.59426,1.58551,1.59197
"24","2018/05/07",1.58627,1.59154,1.58384,1.58611
"24","2018/05/04",1.59155,1.59266,1.58440,1.58722
"24","2018/05/03",1.59553,1.59665,1.58914,1.59171
"24","2018/05/02",1.60099,1.60396,1.59339,1.59535
"24","2018/05/01",1.60362,1.60477,1.59985,1.60087
"24","2018/04/30",1.60031,1.60566,1.59919,1.60434
