"通貨ペア","日付","始値","高値","安値","終値"
"27","2018/12/21",1.77948,1.79456,1.77732,1.79436
"27","2018/12/20",1.77341,1.78486,1.77108,1.78035
"27","2018/12/19",1.75847,1.77991,1.75563,1.77333
"27","2018/12/18",1.75633,1.76511,1.75237,1.75892
"27","2018/12/17",1.75504,1.76195,1.75025,1.75732
"27","2018/12/14",1.74966,1.75981,1.74834,1.75218
"27","2018/12/13",1.74878,1.75377,1.74248,1.75267
"27","2018/12/12",1.73298,1.75551,1.72899,1.74758
"27","2018/12/11",1.74546,1.75578,1.73299,1.73434
"27","2018/12/10",1.76735,1.77228,1.74126,1.74692
"27","2018/12/07",1.76568,1.77268,1.76063,1.76975
"27","2018/12/06",1.75064,1.77431,1.74931,1.76693
"27","2018/12/05",1.73124,1.75544,1.72895,1.75105
"27","2018/12/04",1.72864,1.73697,1.72366,1.73259
"27","2018/12/03",1.72937,1.73747,1.72084,1.72915
"27","2018/11/30",1.74660,1.75147,1.74302,1.74378
"27","2018/11/29",1.75502,1.75894,1.73902,1.74668
"27","2018/11/28",1.76295,1.76918,1.74938,1.75445
"27","2018/11/27",1.77426,1.77552,1.75743,1.76118
"27","2018/11/26",1.77294,1.77555,1.76418,1.77458
"27","2018/11/23",1.77476,1.77772,1.76840,1.77188
"27","2018/11/22",1.75811,1.78168,1.75718,1.77547
"27","2018/11/21",1.77157,1.77498,1.75597,1.75868
"27","2018/11/20",1.76086,1.77309,1.75953,1.7711
"27","2018/11/19",1.75687,1.76540,1.75222,1.76143
"27","2018/11/16",1.75507,1.76953,1.74766,1.74864
"27","2018/11/15",1.79541,1.79734,1.75024,1.75579
"27","2018/11/14",1.79658,1.80582,1.78610,1.79685
"27","2018/11/13",1.79061,1.80645,1.78403,1.79639
"27","2018/11/12",1.78863,1.79334,1.78242,1.79136
"27","2018/11/09",1.79984,1.80276,1.79329,1.79465
"27","2018/11/08",1.80422,1.80665,1.79400,1.79967
"27","2018/11/07",1.80835,1.81485,1.80041,1.80482
"27","2018/11/06",1.80917,1.81478,1.79985,1.80936
"27","2018/11/05",1.81037,1.81037,1.80203,1.80898
