"通貨ペア","日付","始値","高値","安値","終値"
"1","2018/02/02",109.367,110.475,109.282,110.167
"1","2018/02/01",109.166,109.745,109.091,109.396
"1","2018/01/31",108.746,109.439,108.593,109.216
"1","2018/01/30",108.911,109.196,108.414,108.777
"1","2018/01/29",108.678,109.194,108.510,108.964
"1","2018/01/26",109.379,109.766,108.279,108.652
"1","2018/01/25",109.142,109.694,108.495,109.419
"1","2018/01/24",110.242,110.333,108.964,109.231
"1","2018/01/23",110.896,111.173,110.251,110.284
"1","2018/01/22",110.540,111.216,110.500,110.927
"1","2018/01/19",111.048,111.124,110.491,110.767
"1","2018/01/18",111.254,111.474,110.689,111.078
"1","2018/01/17",110.463,111.339,110.192,111.331
"1","2018/01/16",110.507,110.976,110.247,110.494
"1","2018/01/15",111.064,111.180,110.322,110.529
"1","2018/01/12",111.249,111.689,110.910,110.992
"1","2018/01/11",111.413,111.871,111.042,111.281
"1","2018/01/10",112.624,112.778,111.267,111.44
"1","2018/01/09",113.082,113.175,112.364,112.643
"1","2018/01/08",113.105,113.379,112.881,113.083
"1","2018/01/05",112.705,113.302,112.700,113.094
"1","2018/01/04",112.458,112.856,112.442,112.728
"1","2018/01/03",112.300,112.605,112.168,112.507
"1","2018/01/02",112.597,112.788,112.055,112.301
"1","2017/12/29",112.840,112.966,112.468,112.674
"1","2017/12/28",113.179,113.262,112.659,112.865
"1","2017/12/27",113.175,113.376,113.145,113.341
"1","2017/12/26",113.258,113.349,113.119,113.227
"1","2017/12/25",113.176,113.355,113.170,113.267
"1","2017/12/22",113.303,113.443,113.250,113.291
"1","2017/12/21",113.371,113.633,113.195,113.313
"1","2017/12/20",112.846,113.460,112.838,113.382
"1","2017/12/19",112.529,113.070,112.507,112.887
"1","2017/12/18",112.699,112.826,112.306,112.54
"1","2017/12/15",112.354,112.735,112.031,112.621
"1","2017/12/14",112.547,112.878,112.070,112.409
"1","2017/12/13",113.511,113.571,112.466,112.525
"1","2017/12/12",113.504,113.742,113.371,113.545
"1","2017/12/11",113.505,113.680,113.238,113.556
"1","2017/12/08",113.061,113.584,113.061,113.511
"1","2017/12/07",112.238,113.150,112.214,113.096
"1","2017/12/06",112.596,112.619,111.992,112.287
"1","2017/12/05",112.393,112.865,112.374,112.573
"1","2017/12/04",112.775,113.086,112.363,112.421
"1","2017/12/01",112.513,112.868,111.400,112.168
"1","2017/11/30",111.862,112.631,111.734,112.549
"1","2017/11/29",111.451,112.145,111.368,111.955
"1","2017/11/28",111.085,111.637,110.927,111.455
"1","2017/11/27",111.483,111.688,110.834,111.084
"1","2017/11/24",111.185,111.618,111.182,111.567
"1","2017/11/23",111.188,111.375,111.069,111.206
"1","2017/11/22",112.455,112.490,111.137,111.212
"1","2017/11/21",112.601,112.694,112.171,112.437
"1","2017/11/20",112.113,112.714,111.888,112.624
"1","2017/11/17",113.023,113.138,111.942,112.116
"1","2017/11/16",112.805,113.327,112.735,113.025
"1","2017/11/15",113.426,113.489,112.484,112.867
"1","2017/11/14",113.557,113.908,113.315,113.455
"1","2017/11/13",113.478,113.710,113.245,113.621
"1","2017/11/10",113.439,113.627,113.217,113.511
"1","2017/11/09",113.810,114.063,113.088,113.452
"1","2017/11/08",113.969,113.996,113.392,113.867
"1","2017/11/07",113.687,114.334,113.682,113.98
"1","2017/11/06",113.989,114.727,113.693,113.712
"1","2017/11/03",114.051,114.418,113.639,114.071
"1","2017/11/02",114.128,114.210,113.539,114.061
"1","2017/11/01",113.612,114.273,113.604,114.148
"1","2017/10/31",113.160,113.726,112.959,113.639
"1","2017/10/30",113.692,113.830,113.026,113.181
"1","2017/10/27",113.948,114.448,113.644,113.673
"1","2017/10/26",113.680,114.069,113.341,114.006
"1","2017/10/25",113.876,114.238,113.477,113.737
"1","2017/10/24",113.399,114.014,113.246,113.936
"1","2017/10/23",113.812,114.090,113.239,113.434
"1","2017/10/20",112.518,113.567,112.505,113.496
"1","2017/10/19",112.917,113.141,112.294,112.551
"1","2017/10/18",112.148,113.046,112.128,112.931
"1","2017/10/17",112.140,112.469,112.035,112.201
"1","2017/10/16",111.870,112.285,111.652,112.2
"1","2017/10/13",112.247,112.304,111.686,111.859
"1","2017/10/12",112.435,112.520,112.124,112.291
"1","2017/10/11",112.394,112.579,112.076,112.489
"1","2017/10/10",112.621,112.820,111.991,112.437
"1","2017/10/09",112.645,112.741,112.333,112.692
"1","2017/10/06",112.781,113.433,112.605,112.607
"1","2017/10/05",112.717,112.910,112.408,112.827
"1","2017/10/04",112.817,112.931,112.322,112.74
"1","2017/10/03",112.711,113.187,112.657,112.83
"1","2017/10/02",112.483,113.045,112.480,112.715
"1","2017/09/29",112.248,112.727,112.210,112.536
"1","2017/09/28",112.768,113.198,112.255,112.336
"1","2017/09/27",112.221,113.253,112.216,112.792
"1","2017/09/26",111.690,112.472,111.496,112.223
"1","2017/09/25",112.135,112.525,111.479,111.72
"1","2017/09/22",112.457,112.553,111.652,112.02
"1","2017/09/21",112.213,112.713,112.141,112.485
"1","2017/09/20",111.524,112.523,111.115,112.149
"1","2017/09/19",111.468,111.879,111.202,111.603
"1","2017/09/18",111.111,111.656,110.992,111.59
"1","2017/09/15",110.235,111.325,109.551,110.883
"1","2017/09/14",110.449,111.037,110.058,110.269
"1","2017/09/13",110.124,110.683,109.899,110.466
"1","2017/09/12",109.365,110.246,109.239,110.176
"1","2017/09/11",108.208,109.497,108.161,109.391
"1","2017/09/08",108.428,108.480,107.308,107.784
"1","2017/09/07",109.218,109.262,108.052,108.496
"1","2017/09/06",108.679,109.389,108.452,109.199
"1","2017/09/05",109.685,109.829,108.630,108.815
"1","2017/09/04",109.628,109.932,109.385,109.695
"1","2017/09/01",109.955,110.482,109.559,110.277
"1","2017/08/31",110.221,110.665,109.879,109.958
"1","2017/08/30",109.652,110.435,109.544,110.27
"1","2017/08/29",108.985,109.891,108.268,109.657
"1","2017/08/28",109.218,109.406,109.018,109.248
"1","2017/08/25",109.510,109.841,109.110,109.312
"1","2017/08/24",108.992,109.597,108.847,109.538
"1","2017/08/23",109.527,109.821,108.919,109.029
"1","2017/08/22",108.938,109.646,108.883,109.554
"1","2017/08/21",109.249,109.419,108.638,108.967
"1","2017/08/18",109.546,109.600,108.601,109.172
"1","2017/08/17",110.161,110.372,109.443,109.56
"1","2017/08/16",110.621,110.942,110.025,110.187
"1","2017/08/15",109.624,110.841,109.594,110.67
"1","2017/08/14",109.065,109.795,109.065,109.656
"1","2017/08/11",109.144,109.399,108.716,109.152
"1","2017/08/10",109.982,110.179,109.145,109.215
"1","2017/08/09",110.327,110.354,109.559,110.058
"1","2017/08/08",110.731,110.824,110.249,110.35
"1","2017/08/07",110.725,110.914,110.647,110.737
"1","2017/08/04",109.996,111.042,109.841,110.696
"1","2017/08/03",110.679,110.823,109.849,110.018
"1","2017/08/02",110.289,110.983,110.285,110.741
"1","2017/08/01",110.216,110.588,109.924,110.373
"1","2017/07/31",110.628,110.766,110.216,110.25
"1","2017/07/28",111.224,111.328,110.549,110.653
"1","2017/07/27",111.147,111.704,110.782,111.288
"1","2017/07/26",111.876,112.185,111.062,111.143
"1","2017/07/25",111.078,111.953,110.828,111.91
"1","2017/07/24",111.133,111.314,110.619,111.111
"1","2017/07/21",111.874,112.076,111.012,111.104
"1","2017/07/20",111.886,112.412,111.480,111.861
"1","2017/07/19",112.067,112.225,111.556,111.871
"1","2017/07/18",112.592,112.678,111.686,112.073
"1","2017/07/17",112.452,112.863,112.324,112.608
"1","2017/07/14",113.271,113.570,112.260,112.5
"1","2017/07/13",113.155,113.521,112.860,113.277
"1","2017/07/12",113.881,113.964,112.932,113.176
"1","2017/07/11",114.019,114.490,113.719,113.945
"1","2017/07/10",114.003,114.294,113.903,114.033
"1","2017/07/07",113.154,114.166,113.101,113.905
"1","2017/07/06",113.247,113.465,112.888,113.204
"1","2017/07/05",113.244,113.678,112.824,113.254
