"通貨ペア","日付","始値","高値","安値","終値"
"2","2018/02/23",131.577,131.842,130.926,131.318
"2","2018/02/22",132.311,132.350,131.280,131.635
"2","2018/02/21",132.355,133.050,132.257,132.364
"2","2018/02/20",132.206,132.504,132.109,132.401
"2","2018/02/19",131.836,132.368,131.801,132.249
"2","2018/02/16",132.700,133.095,131.803,131.857
"2","2018/02/15",133.236,133.283,132.508,132.756
"2","2018/02/14",133.141,133.379,131.599,133.22
"2","2018/02/13",133.502,133.784,132.511,133.169
"2","2018/02/12",133.328,133.640,132.892,133.552
"2","2018/02/09",133.237,134.162,131.977,133.205
"2","2018/02/08",134.090,134.787,132.929,133.17
"2","2018/02/07",135.540,135.833,133.814,134.079
"2","2018/02/06",135.011,135.782,133.970,135.64
"2","2018/02/05",136.997,137.180,134.940,134.956
"2","2018/02/02",136.838,137.496,136.657,137.224
"2","2018/02/01",135.452,136.953,135.428,136.805
"2","2018/01/31",134.895,136.043,134.840,135.563
"2","2018/01/30",134.859,135.199,134.121,134.905
"2","2018/01/29",135.067,135.335,134.321,134.912
"2","2018/01/26",135.601,136.130,134.534,135.003
"2","2018/01/25",135.428,136.285,135.035,135.596
"2","2018/01/24",135.593,135.654,134.913,135.52
"2","2018/01/23",135.970,136.209,135.193,135.622
"2","2018/01/22",135.662,136.138,135.338,136.018
"2","2018/01/19",135.913,136.037,135.178,135.481
"2","2018/01/18",135.586,136.302,135.453,135.96
"2","2018/01/17",135.427,135.976,135.146,135.59
"2","2018/01/16",135.553,136.089,134.972,135.426
"2","2018/01/15",135.439,135.980,135.011,135.575
"2","2018/01/12",133.865,135.543,133.841,135.319
"2","2018/01/11",133.138,134.340,133.028,133.868
"2","2018/01/10",134.439,134.552,133.068,133.154
"2","2018/01/09",135.342,135.467,134.043,134.457
"2","2018/01/08",136.087,136.315,135.121,135.328
"2","2018/01/05",135.994,136.629,135.985,136.067
"2","2018/01/04",135.124,136.360,135.089,136.035
"2","2018/01/03",135.401,135.500,134.795,135.182
"2","2018/01/02",135.259,135.620,134.927,135.432
"2","2017/12/29",134.794,135.507,134.537,135.209
"2","2017/12/28",134.686,134.972,134.453,134.778
"2","2017/12/27",134.211,134.965,134.186,134.736
"2","2017/12/26",134.459,134.554,134.189,134.284
"2","2017/12/25",134.170,134.353,134.160,134.309
"2","2017/12/22",134.511,134.541,133.897,134.364
"2","2017/12/21",134.614,134.873,134.437,134.531
"2","2017/12/20",133.624,134.767,133.611,134.62
"2","2017/12/19",132.587,133.913,132.571,133.647
"2","2017/12/18",132.371,132.999,132.148,132.586
"2","2017/12/15",132.335,132.720,132.045,132.387
"2","2017/12/14",133.132,133.749,132.226,132.387
"2","2017/12/13",133.248,133.357,132.844,133.127
"2","2017/12/12",133.597,133.749,133.000,133.303
"2","2017/12/11",133.547,133.876,133.527,133.633
"2","2017/12/08",133.109,133.603,133.105,133.56
"2","2017/12/07",132.427,133.278,132.404,133.135
"2","2017/12/06",133.174,133.207,132.253,132.452
"2","2017/12/05",133.347,133.736,133.001,133.146
"2","2017/12/04",133.798,134.042,133.261,133.39
"2","2017/12/01",133.961,134.372,132.906,133.449
"2","2017/11/30",132.536,134.139,132.536,134
"2","2017/11/29",131.995,132.788,131.900,132.633
"2","2017/11/28",132.171,132.560,131.715,131.967
"2","2017/11/27",132.981,133.218,132.072,132.147
"2","2017/11/24",131.792,133.228,131.733,133.151
"2","2017/11/23",131.455,131.874,131.223,131.792
"2","2017/11/22",132.021,132.042,131.426,131.484
"2","2017/11/21",132.115,132.267,131.567,131.978
"2","2017/11/20",132.160,132.462,131.164,132.124
"2","2017/11/17",133.032,133.149,132.042,132.17
"2","2017/11/16",133.019,133.445,132.750,133.003
"2","2017/11/15",133.800,133.879,132.961,133.076
"2","2017/11/14",132.509,133.844,132.474,133.83
"2","2017/11/13",132.294,132.619,131.922,132.545
"2","2017/11/10",132.029,132.544,131.943,132.404
"2","2017/11/09",131.968,132.254,131.510,132.064
"2","2017/11/08",132.079,132.160,131.390,132.017
"2","2017/11/07",132.047,132.403,131.831,132.072
"2","2017/11/06",132.413,133.112,131.996,132.007
"2","2017/11/03",132.977,132.997,132.391,132.425
"2","2017/11/02",132.657,133.141,132.557,132.982
"2","2017/11/01",132.322,132.847,132.320,132.662
"2","2017/10/31",131.848,132.561,131.500,132.365
"2","2017/10/30",131.957,132.278,131.447,131.884
"2","2017/10/27",132.813,132.946,131.748,131.947
"2","2017/10/26",134.307,134.485,132.658,132.863
"2","2017/10/25",133.964,134.492,133.748,134.36
"2","2017/10/24",133.227,134.178,133.172,133.985
"2","2017/10/23",134.011,134.126,133.102,133.277
"2","2017/10/20",133.319,133.955,133.293,133.672
"2","2017/10/19",133.119,133.609,132.466,133.402
"2","2017/10/18",131.961,133.273,131.939,133.115
"2","2017/10/17",132.308,132.365,131.835,132.014
"2","2017/10/16",132.129,132.380,131.661,132.348
"2","2017/10/13",132.792,132.928,132.141,132.259
"2","2017/10/12",133.333,133.482,132.781,132.824
"2","2017/10/11",132.738,133.484,132.444,133.445
"2","2017/10/10",132.222,132.856,132.217,132.77
"2","2017/10/09",132.217,132.488,131.840,132.291
"2","2017/10/06",132.083,132.758,131.970,132.162
"2","2017/10/05",132.555,132.760,131.833,132.075
"2","2017/10/04",132.482,132.829,132.236,132.578
"2","2017/10/03",132.282,132.880,132.183,132.532
"2","2017/10/02",132.809,133.066,132.181,132.24
"2","2017/09/29",132.312,133.107,132.303,132.992
"2","2017/09/28",132.469,132.878,132.282,132.39
"2","2017/09/27",132.354,132.736,132.080,132.476
"2","2017/09/26",132.316,132.588,131.741,132.311
"2","2017/09/25",133.632,134.236,131.915,132.371
"2","2017/09/22",134.281,134.398,133.491,133.785
"2","2017/09/21",133.484,134.370,133.387,134.314
"2","2017/09/20",133.768,134.102,133.248,133.419
"2","2017/09/19",133.288,134.162,133.227,133.854
"2","2017/09/18",132.599,133.420,132.525,133.398
"2","2017/09/15",131.386,133.085,130.606,132.518
"2","2017/09/14",131.301,131.747,131.097,131.415
"2","2017/09/13",131.771,132.006,131.245,131.289
"2","2017/09/12",130.750,131.892,130.665,131.804
"2","2017/09/11",130.102,130.900,129.978,130.746
"2","2017/09/08",130.368,130.663,129.459,129.736
"2","2017/09/07",130.178,131.089,129.901,130.425
"2","2017/09/06",129.481,130.386,129.364,130.158
"2","2017/09/05",130.495,130.630,129.376,129.631
"2","2017/09/04",130.217,130.703,130.093,130.473
"2","2017/09/01",130.959,131.335,130.652,130.783
"2","2017/08/31",130.995,131.578,130.697,130.926
"2","2017/08/30",131.295,131.695,131.011,131.014
"2","2017/08/29",130.580,131.616,129.646,131.285
"2","2017/08/28",130.456,130.967,129.981,130.847
"2","2017/08/25",129.223,130.426,129.104,130.384
"2","2017/08/24",128.706,129.356,128.530,129.253
"2","2017/08/23",128.842,129.116,128.485,128.713
"2","2017/08/22",128.679,129.174,128.323,128.861
"2","2017/08/21",128.460,128.782,127.827,128.754
"2","2017/08/18",128.413,128.783,127.554,128.436
"2","2017/08/17",129.633,129.696,128.363,128.451
"2","2017/08/16",129.805,130.390,129.509,129.652
"2","2017/08/15",129.143,130.026,129.068,129.856
"2","2017/08/14",128.964,129.642,128.912,129.154
"2","2017/08/11",128.472,129.154,128.043,129.059
"2","2017/08/10",129.340,129.547,128.219,128.581
"2","2017/08/09",129.677,129.710,128.427,129.441
"2","2017/08/08",130.607,130.818,129.591,129.693
"2","2017/08/07",130.381,130.866,130.332,130.596
"2","2017/08/04",130.563,131.115,130.091,130.35
"2","2017/08/03",131.238,131.317,130.452,130.589
"2","2017/08/02",130.163,131.397,130.156,131.273
"2","2017/08/01",130.543,130.585,129.832,130.252
"2","2017/07/31",130.037,130.568,129.539,130.556
"2","2017/07/28",129.876,130.401,129.550,130.062
"2","2017/07/27",130.421,130.578,129.540,129.933
"2","2017/07/26",130.310,130.600,129.934,130.409
"2","2017/07/25",129.333,130.584,129.245,130.327
"2","2017/07/24",129.668,129.757,128.863,129.345
"2","2017/07/21",130.121,130.499,129.491,129.606
"2","2017/07/20",128.833,130.256,128.775,130.132
"2","2017/07/19",129.496,129.534,128.571,128.826
"2","2017/07/18",129.239,129.740,129.054,129.493
"2","2017/07/17",128.994,129.463,128.729,129.26
"2","2017/07/14",129.136,129.512,128.582,129.045
"2","2017/07/13",129.159,129.655,128.492,129.104
"2","2017/07/12",130.572,130.678,129.038,129.145
"2","2017/07/11",129.971,130.760,129.952,130.654
"2","2017/07/10",129.953,130.387,129.846,129.988
"2","2017/07/07",129.258,130.127,129.169,129.843
"2","2017/07/06",128.554,129.406,127.990,129.321
"2","2017/07/05",128.476,129.077,128.145,128.563
"2","2017/07/04",128.869,128.957,128.029,128.512
"2","2017/07/03",128.147,128.940,128.073,128.835
"2","2017/06/30",128.289,128.590,127.435,128.436
"2","2017/06/29",127.735,128.824,127.718,128.312
"2","2017/06/28",127.260,127.856,126.483,127.788
"2","2017/06/27",125.052,127.476,124.732,127.427
"2","2017/06/26",124.520,125.143,124.470,125.068
"2","2017/06/23",124.097,124.698,124.012,124.6
"2","2017/06/22",124.328,124.434,123.835,124.135
"2","2017/06/21",124.085,124.452,123.649,124.373
"2","2017/06/20",124.340,124.637,123.914,124.089
"2","2017/06/19",124.097,124.490,124.053,124.307
"2","2017/06/16",123.611,124.462,123.548,124.119
"2","2017/06/15",122.952,123.706,122.382,123.647
"2","2017/06/14",123.329,123.632,122.762,122.918
"2","2017/06/13",123.082,123.740,123.006,123.397
"2","2017/06/12",123.685,123.736,122.787,123.173
"2","2017/06/09",123.346,123.858,122.800,123.46
"2","2017/06/08",123.646,124.027,123.157,123.349
"2","2017/06/07",123.323,123.729,122.612,123.638
"2","2017/06/06",124.312,124.391,122.923,123.379
"2","2017/06/05",124.555,124.704,124.186,124.327
"2","2017/06/02",124.843,125.303,124.419,124.564
"2","2017/06/01",124.527,125.084,124.461,124.853
"2","2017/05/31",123.962,124.523,123.722,124.51
"2","2017/05/30",124.186,124.385,123.146,123.981
"2","2017/05/29",124.348,124.633,124.199,124.21
"2","2017/05/26",125.331,125.420,124.162,124.353
"2","2017/05/25",125.092,125.795,125.075,125.338
"2","2017/05/24",124.981,125.401,124.894,125.09
"2","2017/05/23",125.059,125.382,124.560,124.976
"2","2017/05/22",124.529,125.291,124.112,125.058
"2","2017/05/19",123.722,124.935,123.373,124.622
