"通貨ペア","日付","始値","高値","安値","終値"
"3","2018/05/18",1.17927,1.18220,1.17498,1.17685
"3","2018/05/17",1.18077,1.18374,1.17763,1.17946
"3","2018/05/16",1.18382,1.18541,1.17631,1.18074
"3","2018/05/15",1.19217,1.19384,1.18201,1.18389
"3","2018/05/14",1.19448,1.19960,1.19265,1.1927
"3","2018/05/11",1.19142,1.19678,1.18912,1.1943
"3","2018/05/10",1.18471,1.19464,1.18428,1.19152
"3","2018/05/09",1.18623,1.18968,1.18225,1.18516
"3","2018/05/08",1.19216,1.19393,1.18378,1.18659
"3","2018/05/07",1.19550,1.19779,1.18974,1.19234
"3","2018/05/04",1.19859,1.19954,1.19104,1.19608
"3","2018/05/03",1.19525,1.20088,1.19475,1.19875
"3","2018/05/02",1.19908,1.20316,1.19376,1.19501
"3","2018/05/01",1.20747,1.20841,1.19812,1.19922
"3","2018/04/30",1.21252,1.21386,1.20641,1.20797
"3","2018/04/27",1.21029,1.21328,1.20553,1.21306
"3","2018/04/26",1.21599,1.22099,1.20962,1.21035
"3","2018/04/25",1.22320,1.22388,1.21607,1.2161
"3","2018/04/24",1.22056,1.22447,1.21817,1.22315
"3","2018/04/23",1.22798,1.22894,1.21973,1.22068
"3","2018/04/20",1.23441,1.23528,1.22498,1.22884
"3","2018/04/19",1.23782,1.24000,1.23290,1.23448
"3","2018/04/18",1.23656,1.23971,1.23415,1.23751
"3","2018/04/17",1.23774,1.24136,1.23359,1.23698
"3","2018/04/16",1.23266,1.23945,1.23240,1.23798
"3","2018/04/13",1.23256,1.23458,1.23070,1.23358
"3","2018/04/12",1.23636,1.23797,1.22991,1.2326
"3","2018/04/11",1.23494,1.23967,1.23469,1.23672
"3","2018/04/10",1.23175,1.23775,1.23027,1.23539
"3","2018/04/09",1.22749,1.23307,1.22603,1.23191
"3","2018/04/06",1.22347,1.22906,1.22149,1.2281
"3","2018/04/05",1.22769,1.22901,1.22182,1.22403
"3","2018/04/04",1.22675,1.23145,1.22570,1.2279
"3","2018/04/03",1.23010,1.23357,1.22535,1.2268
"3","2018/04/02",1.23195,1.23449,1.22817,1.23015
"3","2018/03/30",1.23013,1.23305,1.22893,1.23275
"3","2018/03/29",1.23045,1.23350,1.22836,1.23008
"3","2018/03/28",1.24025,1.24213,1.22998,1.23061
"3","2018/03/27",1.24432,1.24761,1.23722,1.24019
"3","2018/03/26",1.23557,1.24613,1.23515,1.2449
"3","2018/03/23",1.23026,1.23732,1.23023,1.2358
"3","2018/03/22",1.23394,1.23882,1.22848,1.23018
"3","2018/03/21",1.22396,1.23499,1.22393,1.23419
"3","2018/03/20",1.23344,1.23543,1.22394,1.2241
"3","2018/03/19",1.22858,1.23584,1.22579,1.2337
"3","2018/03/16",1.23033,1.23358,1.22598,1.22855
"3","2018/03/15",1.23643,1.23835,1.23000,1.23044
"3","2018/03/14",1.23873,1.24123,1.23468,1.23689
"3","2018/03/13",1.23343,1.24070,1.23142,1.23917
"3","2018/03/12",1.23082,1.23451,1.22904,1.23354
"3","2018/03/09",1.23110,1.23340,1.22728,1.23079
"3","2018/03/08",1.24088,1.24458,1.22976,1.23107
"3","2018/03/07",1.24046,1.24443,1.23846,1.24104
"3","2018/03/06",1.23348,1.24199,1.23277,1.2405
"3","2018/03/05",1.23325,1.23633,1.22686,1.23344
"3","2018/03/02",1.22660,1.23356,1.22511,1.23243
"3","2018/03/01",1.21921,1.22727,1.21543,1.22669
"3","2018/02/28",1.22291,1.22414,1.21875,1.21933
"3","2018/02/27",1.23119,1.23460,1.22214,1.22314
"3","2018/02/26",1.22910,1.23543,1.22775,1.23168
"3","2018/02/23",1.23270,1.23370,1.22795,1.22955
"3","2018/02/22",1.22811,1.23520,1.22593,1.23299
"3","2018/02/21",1.23351,1.23596,1.22807,1.22855
"3","2018/02/20",1.24030,1.24122,1.23196,1.23368
"3","2018/02/19",1.24006,1.24348,1.23688,1.24068
"3","2018/02/16",1.25008,1.25550,1.23932,1.24105
"3","2018/02/15",1.24518,1.25098,1.24477,1.25076
"3","2018/02/14",1.23516,1.24648,1.22756,1.24489
"3","2018/02/13",1.22869,1.23708,1.22841,1.23497
"3","2018/02/12",1.22463,1.22971,1.22345,1.22926
"3","2018/02/09",1.22440,1.22869,1.22052,1.22444
"3","2018/02/08",1.22543,1.22947,1.22118,1.22479
"3","2018/02/07",1.23686,1.24057,1.22456,1.227
"3","2018/02/06",1.23700,1.24343,1.23137,1.23773
"3","2018/02/05",1.24352,1.24745,1.23640,1.23647
"3","2018/02/02",1.25075,1.25178,1.24092,1.24562
"3","2018/02/01",1.24043,1.25223,1.23851,1.25057
"3","2018/01/31",1.23998,1.24745,1.23867,1.24124
"3","2018/01/30",1.23791,1.24536,1.23346,1.24019
"3","2018/01/29",1.24248,1.24320,1.23364,1.23816
"3","2018/01/26",1.23932,1.24932,1.23698,1.24255
"3","2018/01/25",1.24045,1.25377,1.23637,1.23924
"3","2018/01/24",1.22959,1.24146,1.22906,1.24066
"3","2018/01/23",1.22578,1.23058,1.22227,1.22977
"3","2018/01/22",1.22676,1.22702,1.22140,1.22619
"3","2018/01/19",1.22353,1.22950,1.22145,1.22313
"3","2018/01/18",1.21833,1.22646,1.21648,1.224
"3","2018/01/17",1.22564,1.23229,1.21769,1.21785
"3","2018/01/16",1.22634,1.22830,1.21950,1.22564
"3","2018/01/15",1.21918,1.22963,1.21873,1.22661
"3","2018/01/12",1.20295,1.22180,1.20288,1.21915
"3","2018/01/11",1.19466,1.20586,1.19291,1.20298
"3","2018/01/10",1.19337,1.20176,1.19228,1.19486
"3","2018/01/09",1.19646,1.19754,1.19153,1.19366
"3","2018/01/08",1.20251,1.20519,1.19554,1.19672
"3","2018/01/05",1.20616,1.20828,1.20203,1.20306
"3","2018/01/04",1.20106,1.20886,1.20042,1.20669
"3","2018/01/03",1.20535,1.20658,1.20010,1.20153
"3","2018/01/02",1.20092,1.20811,1.20022,1.20589
"3","2017/12/29",1.19403,1.20252,1.19345,1.19986
"3","2017/12/28",1.18954,1.19587,1.18953,1.194
"3","2017/12/27",1.18547,1.19099,1.18543,1.18877
"3","2017/12/26",1.18682,1.18784,1.18463,1.18596
"3","2017/12/25",1.18437,1.18596,1.18431,1.18566
"3","2017/12/22",1.18701,1.18743,1.18166,1.1861
"3","2017/12/21",1.18710,1.18892,1.18490,1.1873
"3","2017/12/20",1.18376,1.19015,1.18286,1.18732
"3","2017/12/19",1.17792,1.18484,1.17762,1.18389
"3","2017/12/18",1.17419,1.18339,1.17369,1.17814
"3","2017/12/15",1.17753,1.18119,1.17502,1.17552
"3","2017/12/14",1.18259,1.18623,1.17704,1.17773
"3","2017/12/13",1.17347,1.18313,1.17291,1.18309
"3","2017/12/12",1.17668,1.17924,1.17172,1.17403
"3","2017/12/11",1.17626,1.18113,1.17624,1.17681
"3","2017/12/08",1.17697,1.17763,1.17298,1.17662
"3","2017/12/07",1.17954,1.18144,1.17717,1.17719
"3","2017/12/06",1.18245,1.18477,1.17804,1.17956
"3","2017/12/05",1.18610,1.18764,1.18004,1.18278
"3","2017/12/04",1.18593,1.18782,1.18289,1.18653
"3","2017/12/01",1.19030,1.19400,1.18505,1.18973
"3","2017/11/30",1.18447,1.19312,1.18087,1.19059
"3","2017/11/29",1.18433,1.18826,1.18161,1.18469
"3","2017/11/28",1.18946,1.19196,1.18267,1.18405
"3","2017/11/27",1.19239,1.19609,1.18953,1.18962
"3","2017/11/24",1.18494,1.19439,1.18364,1.1934
"3","2017/11/23",1.18188,1.18557,1.18129,1.18501
"3","2017/11/22",1.17347,1.18267,1.17306,1.18211
"3","2017/11/21",1.17296,1.17573,1.17125,1.1738
"3","2017/11/20",1.17841,1.18084,1.17220,1.17314
"3","2017/11/17",1.17670,1.18214,1.17650,1.17885
"3","2017/11/16",1.17885,1.18005,1.17564,1.17675
"3","2017/11/15",1.17923,1.18601,1.17845,1.17907
"3","2017/11/14",1.16649,1.18048,1.16613,1.17959
"3","2017/11/13",1.16554,1.16748,1.16371,1.16652
"3","2017/11/10",1.16364,1.16775,1.16225,1.16645
"3","2017/11/09",1.15921,1.16544,1.15854,1.16405
"3","2017/11/08",1.15862,1.16108,1.15788,1.15938
"3","2017/11/07",1.16108,1.16152,1.15537,1.15874
"3","2017/11/06",1.16134,1.16237,1.15799,1.1609
"3","2017/11/03",1.16560,1.16909,1.15988,1.16091
"3","2017/11/02",1.16198,1.16870,1.16130,1.16584
"3","2017/11/01",1.16426,1.16570,1.16061,1.16197
"3","2017/10/31",1.16475,1.16610,1.16245,1.16477
"3","2017/10/30",1.16032,1.16575,1.15934,1.16525
"3","2017/10/27",1.16516,1.16565,1.15738,1.16076
"3","2017/10/26",1.18115,1.18365,1.16402,1.16539
"3","2017/10/25",1.17610,1.18177,1.17527,1.18132
"3","2017/10/24",1.17446,1.17927,1.17424,1.17598
"3","2017/10/23",1.17690,1.17770,1.17245,1.17492
"3","2017/10/20",1.18457,1.18576,1.17622,1.17774
"3","2017/10/19",1.17861,1.18577,1.17678,1.18525
"3","2017/10/18",1.17634,1.18051,1.17299,1.17874
"3","2017/10/17",1.17950,1.18000,1.17358,1.17654
"3","2017/10/16",1.18084,1.18191,1.17802,1.17956
"3","2017/10/13",1.18271,1.18747,1.18049,1.18231
"3","2017/10/12",1.18554,1.18797,1.18269,1.18289
"3","2017/10/11",1.18065,1.18689,1.17949,1.18633
"3","2017/10/10",1.17371,1.18255,1.17371,1.1809
"3","2017/10/09",1.17342,1.17560,1.17193,1.17395
"3","2017/10/06",1.17078,1.17384,1.16690,1.17361
"3","2017/10/05",1.17568,1.17786,1.16988,1.17057
"3","2017/10/04",1.17399,1.17875,1.17350,1.17596
"3","2017/10/03",1.17326,1.17730,1.16957,1.17461
"3","2017/10/02",1.18041,1.18150,1.17298,1.17324
"3","2017/09/29",1.17837,1.18321,1.17723,1.1818
"3","2017/09/28",1.17432,1.18037,1.17209,1.17858
"3","2017/09/27",1.17901,1.17948,1.17168,1.17455
"3","2017/09/26",1.18437,1.18613,1.17570,1.17904
"3","2017/09/25",1.19128,1.19363,1.18319,1.18486
