"通貨ペア","日付","始値","高値","安値","終値"
"4","2018/07/13",148.510,148.685,147.642,148.662
"4","2018/07/12",147.822,148.899,147.771,148.584
"4","2018/07/11",147.261,148.128,146.801,147.868
"4","2018/07/10",146.826,147.791,146.809,147.431
"4","2018/07/09",146.971,147.612,146.111,146.912
"4","2018/07/06",146.207,146.743,146.119,146.595
"4","2018/07/05",146.210,146.870,145.834,146.291
"4","2018/07/04",145.807,146.366,145.522,146.171
"4","2018/07/03",145.649,146.385,145.283,145.884
"4","2018/07/02",146.014,146.490,145.184,145.707
"4","2018/06/29",144.392,146.330,144.339,146.163
"4","2018/06/28",144.526,144.676,143.769,144.478
"4","2018/06/27",145.434,145.655,144.521,144.633
"4","2018/06/26",145.738,145.752,144.971,145.483
"4","2018/06/25",145.779,146.185,144.693,145.727
"4","2018/06/22",145.603,146.648,145.455,145.831
"4","2018/06/21",145.341,146.217,144.597,145.6
"4","2018/06/20",144.953,145.617,144.581,145.407
"4","2018/06/19",146.366,146.464,144.382,145.003
"4","2018/06/18",146.885,146.906,146.101,146.437
"4","2018/06/15",146.673,147.065,146.293,146.943
"4","2018/06/14",147.539,147.848,146.690,146.726
"4","2018/06/13",147.560,147.893,147.208,147.572
"4","2018/06/12",147.155,147.984,147.099,147.565
"4","2018/06/11",146.553,147.847,146.553,147.231
"4","2018/06/08",147.139,147.439,146.092,146.709
"4","2018/06/07",147.720,148.118,146.903,147.194
"4","2018/06/06",147.047,148.005,147.047,147.787
"4","2018/06/05",146.154,147.069,146.034,147.067
"4","2018/06/04",146.075,146.898,145.838,146.158
"4","2018/06/01",144.575,146.291,144.484,146.173
"4","2018/05/31",144.622,145.310,144.122,144.684
"4","2018/05/30",144.069,145.051,143.597,144.659
"4","2018/05/29",145.576,145.708,143.194,144.08
"4","2018/05/28",146.107,146.174,145.315,145.626
"4","2018/05/25",146.136,146.725,145.277,145.765
"4","2018/05/24",146.848,147.270,145.689,146.189
"4","2018/05/23",148.894,148.995,145.944,146.964
"4","2018/05/22",149.073,149.722,148.767,148.953
"4","2018/05/21",149.339,149.652,148.812,149.088
"4","2018/05/18",149.638,150.005,149.089,149.228
"4","2018/05/17",148.908,149.833,148.884,149.66
"4","2018/05/16",148.989,149.074,148.181,148.868
"4","2018/05/15",148.644,149.197,148.377,149.066
"4","2018/05/14",147.995,149.065,147.993,148.607
"4","2018/05/11",147.805,148.486,147.580,148.022
"4","2018/05/10",148.589,149.306,147.479,147.857
"4","2018/05/09",147.745,149.194,147.720,148.642
"4","2018/05/08",147.865,148.073,147.049,147.859
"4","2018/05/07",147.596,148.264,147.340,147.87
"4","2018/05/04",148.152,148.288,147.061,147.587
"4","2018/05/03",149.037,149.464,147.599,148.19
"4","2018/05/02",149.521,150.124,149.008,149.105
"4","2018/05/01",150.438,150.635,149.147,149.577
"4","2018/04/30",150.214,150.844,149.840,150.449
"4","2018/04/27",152.048,152.275,150.249,150.308
"4","2018/04/26",152.414,152.725,151.973,152.114
"4","2018/04/25",152.075,152.565,152.064,152.388
"4","2018/04/24",151.462,152.596,151.407,152.093
"4","2018/04/23",150.865,151.641,150.717,151.486
"4","2018/04/20",151.160,151.698,150.680,150.752
"4","2018/04/19",152.300,152.959,151.086,151.215
"4","2018/04/18",152.853,153.625,152.062,152.298
"4","2018/04/17",153.517,153.751,152.778,152.91
"4","2018/04/16",153.012,153.760,152.653,153.579
"4","2018/04/13",152.696,153.848,152.582,152.904
"4","2018/04/12",151.371,152.878,151.168,152.697
"4","2018/04/11",151.921,152.242,151.278,151.404
"4","2018/04/10",150.784,152.135,150.705,151.948
"4","2018/04/09",150.577,151.489,150.491,150.813
"4","2018/04/06",150.348,151.222,149.887,150.646
"4","2018/04/05",150.286,150.685,149.963,150.4
"4","2018/04/04",149.845,150.425,148.798,150.343
"4","2018/04/03",148.676,149.955,148.495,149.881
"4","2018/04/02",149.041,149.669,148.384,148.734
"4","2018/03/30",149.175,149.465,148.828,149.042
"4","2018/03/29",150.318,150.449,149.010,149.228
"4","2018/03/28",149.060,150.579,149.040,150.366
"4","2018/03/27",149.925,150.481,148.919,149.141
"4","2018/03/26",148.032,150.095,148.018,149.973
"4","2018/03/23",148.456,148.957,147.656,148.119
"4","2018/03/22",149.918,150.166,148.258,148.405
"4","2018/03/21",149.087,150.294,148.937,149.937
"4","2018/03/20",148.664,149.776,148.562,149.116
"4","2018/03/19",147.806,149.669,147.032,148.752
"4","2018/03/16",148.108,148.251,147.233,147.873
"4","2018/03/15",148.375,148.492,147.431,148.175
"4","2018/03/14",148.746,149.150,147.735,148.447
"4","2018/03/13",147.923,149.372,147.752,148.799
"4","2018/03/12",147.847,148.198,147.399,147.911
"4","2018/03/09",146.601,148.541,146.592,147.916
"4","2018/03/08",147.382,147.647,146.351,146.603
"4","2018/03/07",147.372,147.550,146.214,147.485
"4","2018/03/06",146.972,147.997,146.536,147.383
"4","2018/03/05",145.504,147.105,145.064,147.05
"4","2018/03/02",146.309,146.430,144.974,145.82
"4","2018/03/01",146.712,147.468,145.991,146.345
"4","2018/02/28",149.240,149.501,146.709,146.814
"4","2018/02/27",149.301,149.793,148.821,149.33
"4","2018/02/26",149.907,149.995,148.979,149.366
"4","2018/02/23",148.945,149.501,148.627,149.13
"4","2018/02/22",149.875,149.913,148.526,148.988
"4","2018/02/21",150.125,150.912,149.407,149.962
"4","2018/02/20",149.186,150.366,149.059,150.202
"4","2018/02/19",148.973,149.459,148.865,149.222
"4","2018/02/16",149.596,149.949,148.764,148.99
"4","2018/02/15",149.823,150.171,148.915,149.62
"4","2018/02/14",149.650,150.013,147.951,149.776
"4","2018/02/13",150.264,150.607,148.960,149.746
"4","2018/02/12",150.264,150.812,149.650,150.34
"4","2018/02/09",151.368,152.736,148.905,150.396
"4","2018/02/08",151.736,154.033,150.817,151.264
"4","2018/02/07",152.782,153.115,151.316,151.671
"4","2018/02/06",152.283,152.897,151.196,152.858
"4","2018/02/05",155.348,155.515,152.268,152.325
"4","2018/02/02",156.033,156.593,155.399,155.567
"4","2018/02/01",154.942,156.429,154.919,156.018
"4","2018/01/31",153.808,155.331,153.552,154.977
"4","2018/01/30",153.273,154.070,151.959,153.876
"4","2018/01/29",153.642,154.009,152.807,153.334
"4","2018/01/26",154.707,155.839,153.411,153.718
"4","2018/01/25",155.426,156.070,154.412,154.685
"4","2018/01/24",154.363,155.605,154.112,155.459
"4","2018/01/23",155.051,155.384,153.715,154.399
"4","2018/01/22",153.572,155.237,153.467,155.155
"4","2018/01/19",154.273,154.415,153.093,153.516
"4","2018/01/18",153.835,154.556,153.603,154.318
"4","2018/01/17",152.329,154.270,152.132,153.888
"4","2018/01/16",152.415,153.086,152.032,152.362
"4","2018/01/15",152.492,152.791,151.917,152.472
"4","2018/01/12",150.625,152.660,150.548,152.428
"4","2018/01/11",150.492,150.989,150.177,150.64
"4","2018/01/10",152.480,152.583,150.345,150.529
"4","2018/01/09",153.383,153.558,151.927,152.501
