"通貨ペア","日付","始値","高値","安値","終値"
"6","2018/03/09",82.301,83.422,82.270,83.314
"6","2018/03/08",82.114,82.450,81.858,82.286
"6","2018/03/07",82.371,82.421,81.389,82.163
"6","2018/03/06",81.826,82.546,81.525,82.391
"6","2018/03/05",81.830,82.028,81.360,81.831
"6","2018/03/02",82.760,82.874,81.652,82.045
"6","2018/03/01",83.097,83.634,82.494,82.768
"6","2018/02/28",83.996,84.176,83.014,83.13
"6","2018/02/27",84.291,84.467,84.010,84.043
"6","2018/02/26",84.765,84.765,84.092,84.33
"6","2018/02/23",83.990,84.588,83.939,84.475
"6","2018/02/22",84.799,84.859,83.825,84.015
"6","2018/02/21",84.815,85.246,84.731,84.814
"6","2018/02/20",84.805,85.102,84.774,84.845
"6","2018/02/19",84.600,84.965,84.536,84.836
"6","2018/02/16",84.974,85.153,84.467,84.65
"6","2018/02/15",85.600,85.640,84.740,85.041
"6","2018/02/14",85.598,85.732,84.652,85.628
"6","2018/02/13",86.267,86.446,85.165,85.613
"6","2018/02/12",86.433,86.558,85.977,86.328
"6","2018/02/09",86.311,86.755,85.540,86.423
"6","2018/02/08",87.022,87.364,86.141,86.262
"6","2018/02/07",87.605,87.788,86.859,86.982
"6","2018/02/06",86.997,87.731,86.330,87.69
"6","2018/02/05",88.569,88.634,86.993,87.004
"6","2018/02/02",89.144,89.425,88.583,88.636
"6","2018/02/01",88.644,89.262,88.635,89.204
"6","2018/01/31",88.138,89.041,88.099,88.711
"6","2018/01/30",88.252,88.359,87.780,88.152
"6","2018/01/29",88.238,88.485,87.973,88.302
"6","2018/01/26",88.348,88.848,87.872,88.138
"6","2018/01/25",88.422,88.705,88.101,88.387
"6","2018/01/24",88.744,88.884,88.178,88.543
"6","2018/01/23",89.085,89.221,88.389,88.775
"6","2018/01/22",88.577,89.192,88.541,89.091
"6","2018/01/19",89.403,89.525,88.493,88.61
"6","2018/01/18",89.441,89.537,88.860,89.428
"6","2018/01/17",88.826,89.616,88.219,89.42
"6","2018/01/16",88.892,89.298,88.598,88.836
"6","2018/01/15",89.087,89.316,88.809,88.937
"6","2018/01/12",88.840,89.144,88.622,89.005
"6","2018/01/11",88.774,89.119,88.535,88.857
