"通貨ペア","日付","始値","高値","安値","終値"
"7","2017/12/01",1.28926,1.29013,1.26828,1.26915
"7","2017/11/30",1.28596,1.29086,1.28499,1.28948
"7","2017/11/29",1.28176,1.28740,1.28040,1.28646
"7","2017/11/28",1.27648,1.28239,1.27538,1.28173
"7","2017/11/27",1.27031,1.27687,1.26795,1.27679
"7","2017/11/24",1.27073,1.27468,1.26928,1.27113
"7","2017/11/23",1.26978,1.27240,1.26719,1.27147
"7","2017/11/22",1.27788,1.27849,1.26931,1.26985
"7","2017/11/21",1.28130,1.28359,1.27483,1.27794
"7","2017/11/20",1.27655,1.28193,1.27541,1.28193
"7","2017/11/17",1.27502,1.28228,1.27128,1.27773
"7","2017/11/16",1.27597,1.27829,1.27278,1.27546
"7","2017/11/15",1.27291,1.27885,1.27124,1.27611
"7","2017/11/14",1.27319,1.27725,1.27003,1.27319
"7","2017/11/13",1.26835,1.27409,1.26773,1.27296
"7","2017/11/10",1.26801,1.26953,1.26653,1.26794
"7","2017/11/09",1.27206,1.27400,1.26670,1.26808
"7","2017/11/08",1.27723,1.27761,1.27146,1.27271
"7","2017/11/07",1.27028,1.28188,1.27026,1.2781
"7","2017/11/06",1.27642,1.27817,1.27036,1.27046
"7","2017/11/03",1.28061,1.28347,1.27144,1.27653
"7","2017/11/02",1.28595,1.28751,1.27983,1.28067
"7","2017/11/01",1.28850,1.29094,1.28537,1.28658
"7","2017/10/31",1.28242,1.29140,1.28222,1.28885
"7","2017/10/30",1.28155,1.28604,1.28110,1.28309
"7","2017/10/27",1.28437,1.29160,1.28194,1.28198
"7","2017/10/26",1.27910,1.28568,1.27808,1.28456
"7","2017/10/25",1.26706,1.28160,1.26322,1.2794
"7","2017/10/24",1.26442,1.26923,1.26213,1.26746
"7","2017/10/23",1.26232,1.26595,1.26128,1.26481
"7","2017/10/20",1.24824,1.26292,1.24761,1.26289
"7","2017/10/19",1.24608,1.24936,1.24500,1.24832
"7","2017/10/18",1.25177,1.25331,1.24575,1.24649
"7","2017/10/17",1.25147,1.25901,1.25126,1.2523
"7","2017/10/16",1.24740,1.25573,1.24693,1.25187
"7","2017/10/13",1.24745,1.25191,1.24515,1.24798
"7","2017/10/12",1.24562,1.24897,1.24323,1.24744
"7","2017/10/11",1.25111,1.25298,1.24519,1.24608
"7","2017/10/10",1.25463,1.25546,1.24828,1.25145
"7","2017/10/09",1.25348,1.25579,1.25249,1.25505
"7","2017/10/06",1.25603,1.25987,1.25249,1.25387
"7","2017/10/05",1.24716,1.25839,1.24613,1.25676
"7","2017/10/04",1.24845,1.24970,1.24481,1.24735
"7","2017/10/03",1.25041,1.25377,1.24800,1.24869
"7","2017/10/02",1.24715,1.25235,1.24661,1.25104
"7","2017/09/29",1.24230,1.25317,1.24161,1.24793
"7","2017/09/28",1.24727,1.25184,1.24156,1.24319
"7","2017/09/27",1.23445,1.24817,1.23354,1.24756
"7","2017/09/26",1.23655,1.24125,1.23294,1.23481
"7","2017/09/25",1.23353,1.23842,1.23122,1.23685
"7","2017/09/22",1.23189,1.23505,1.22515,1.23395
"7","2017/09/21",1.23253,1.23673,1.23201,1.2326
"7","2017/09/20",1.22857,1.23898,1.21966,1.23202
"7","2017/09/19",1.22883,1.23080,1.22541,1.22944
"7","2017/09/18",1.21925,1.23370,1.21709,1.22908
"7","2017/09/15",1.21667,1.22170,1.21173,1.21889
"7","2017/09/14",1.21687,1.22385,1.21562,1.21696
"7","2017/09/13",1.21782,1.22190,1.21301,1.21765
"7","2017/09/12",1.21111,1.21889,1.20818,1.21849
"7","2017/09/11",1.21400,1.21694,1.20971,1.21127
"7","2017/09/08",1.21179,1.21646,1.20606,1.21463
"7","2017/09/07",1.22208,1.22404,1.21097,1.21156
"7","2017/09/06",1.23726,1.24140,1.21849,1.22218
"7","2017/09/05",1.24090,1.24166,1.23353,1.23766
"7","2017/09/04",1.24051,1.24253,1.23749,1.24119
"7","2017/09/01",1.24778,1.24909,1.23396,1.23907
"7","2017/08/31",1.26173,1.26620,1.24758,1.24825
"7","2017/08/30",1.25100,1.26363,1.25000,1.26199
"7","2017/08/29",1.25017,1.25495,1.24399,1.25136
"7","2017/08/28",1.24708,1.25071,1.24436,1.25053
"7","2017/08/25",1.25155,1.25388,1.24649,1.2486
"7","2017/08/24",1.25438,1.25603,1.25137,1.25175
"7","2017/08/23",1.25616,1.25975,1.25405,1.25489
"7","2017/08/22",1.25545,1.25944,1.25252,1.25648
"7","2017/08/21",1.25662,1.26060,1.25530,1.2556
"7","2017/08/18",1.26727,1.26904,1.25565,1.25753
"7","2017/08/17",1.26067,1.26782,1.25878,1.26734
"7","2017/08/16",1.27529,1.27695,1.26133,1.26184
"7","2017/08/15",1.27197,1.27775,1.27178,1.27558
"7","2017/08/14",1.26694,1.27299,1.26694,1.27244
"7","2017/08/11",1.27379,1.27520,1.26521,1.26808
"7","2017/08/10",1.26942,1.27445,1.26721,1.27417
"7","2017/08/09",1.26627,1.27207,1.26625,1.27002
