"通貨ペア","日付","始値","高値","安値","終値"
"9","2018/06/08",0.76182,0.76264,0.75599,0.75985
"9","2018/06/07",0.76622,0.76721,0.76116,0.76223
"9","2018/06/06",0.76095,0.76759,0.76086,0.76668
"9","2018/06/05",0.76442,0.76553,0.75939,0.76153
"9","2018/06/04",0.75662,0.76655,0.75597,0.76473
"9","2018/06/01",0.75623,0.75725,0.75136,0.75712
"9","2018/05/31",0.75717,0.75923,0.75520,0.75671
"9","2018/05/30",0.75004,0.75831,0.74754,0.75777
"9","2018/05/29",0.75420,0.75519,0.74972,0.75041
"9","2018/05/28",0.75567,0.75803,0.75392,0.75452
"9","2018/05/25",0.75714,0.75892,0.75419,0.7551
"9","2018/05/24",0.75555,0.75819,0.75414,0.75777
"9","2018/05/23",0.75711,0.75820,0.75217,0.75581
"9","2018/05/22",0.75767,0.76045,0.75653,0.75758
"9","2018/05/21",0.75211,0.75857,0.75021,0.75835
"9","2018/05/18",0.75083,0.75272,0.74877,0.75118
"9","2018/05/17",0.75105,0.75469,0.74969,0.75097
"9","2018/05/16",0.74689,0.75221,0.74464,0.75133
"9","2018/05/15",0.75224,0.75368,0.74470,0.74722
"9","2018/05/14",0.75395,0.75644,0.75243,0.75243
"9","2018/05/11",0.75283,0.75660,0.75219,0.75443
"9","2018/05/10",0.74572,0.75389,0.74541,0.75326
"9","2018/05/09",0.74472,0.74718,0.74117,0.74603
"9","2018/05/08",0.75099,0.75271,0.74330,0.74527
"9","2018/05/07",0.75322,0.75422,0.74924,0.75164
"9","2018/05/04",0.75270,0.75598,0.74915,0.75347
"9","2018/05/03",0.74866,0.75420,0.74847,0.75301
"9","2018/05/02",0.74849,0.75365,0.74748,0.74895
"9","2018/05/01",0.75257,0.75457,0.74717,0.749
"9","2018/04/30",0.75725,0.75814,0.75246,0.75283
"9","2018/04/27",0.75489,0.75833,0.75313,0.75782
"9","2018/04/26",0.75603,0.75882,0.75464,0.75514
"9","2018/04/25",0.75983,0.76054,0.75513,0.75634
"9","2018/04/24",0.76013,0.76200,0.75741,0.7602
"9","2018/04/23",0.76668,0.76818,0.75988,0.76035
