"通貨ペア","日付","始値","高値","安値","終値"
"10","2017/11/24",0.98106,0.98255,0.97835,0.97936
"10","2017/11/23",0.98185,0.98264,0.97932,0.98177
"10","2017/11/22",0.99043,0.99129,0.98106,0.98163
"10","2017/11/21",0.99302,0.99448,0.98974,0.99132
"10","2017/11/20",0.98827,0.99356,0.98769,0.99328
"10","2017/11/17",0.99375,0.99412,0.98741,0.98885
"10","2017/11/16",0.98819,0.99434,0.98806,0.9938
"10","2017/11/15",0.98876,0.99093,0.98445,0.98842
"10","2017/11/14",0.99585,0.99688,0.98802,0.98945
"10","2017/11/13",0.99567,0.99849,0.99346,0.99592
"10","2017/11/10",0.99344,0.99667,0.99234,0.99562
"10","2017/11/09",0.99974,1.00159,0.99199,0.99386
"10","2017/11/08",0.99979,1.00048,0.99789,1.00014
"10","2017/11/07",0.99691,1.00177,0.99691,1.00014
"10","2017/11/06",0.99880,1.00273,0.99708,0.9974
"10","2017/11/03",0.99882,1.00227,0.99474,1.00022
"10","2017/11/02",1.00259,1.00325,0.99475,0.99918
"10","2017/11/01",0.99702,1.00357,0.99683,1.00317
"10","2017/10/31",0.99397,0.99928,0.99393,0.99719
"10","2017/10/30",0.99725,0.99945,0.99369,0.99414
"10","2017/10/27",0.99709,1.00370,0.99680,0.99701
"10","2017/10/26",0.98904,0.99776,0.98741,0.99746
"10","2017/10/25",0.99060,0.99380,0.98670,0.98933
"10","2017/10/24",0.98468,0.99095,0.98363,0.99074
"10","2017/10/23",0.98458,0.98794,0.98293,0.98477
"10","2017/10/20",0.97572,0.98510,0.97546,0.98438
"10","2017/10/19",0.98117,0.98160,0.97350,0.97604
"10","2017/10/18",0.97791,0.98345,0.97719,0.9814
"10","2017/10/17",0.97493,0.98071,0.97466,0.97819
"10","2017/10/16",0.97463,0.97671,0.97280,0.97543
"10","2017/10/13",0.97505,0.97697,0.97033,0.97425
"10","2017/10/12",0.97315,0.97618,0.97101,0.97528
"10","2017/10/11",0.97455,0.97651,0.97150,0.973
"10","2017/10/10",0.97932,0.97979,0.97335,0.97499
"10","2017/10/09",0.97741,0.98057,0.97721,0.97961
"10","2017/10/06",0.97800,0.98345,0.97690,0.97761
"10","2017/10/05",0.97445,0.97939,0.97410,0.97825
"10","2017/10/04",0.97329,0.97602,0.97080,0.97489
"10","2017/10/03",0.97375,0.97846,0.97269,0.97333
"10","2017/10/02",0.96812,0.97532,0.96791,0.97469
"10","2017/09/29",0.96978,0.97192,0.96685,0.96804
"10","2017/09/28",0.97187,0.97570,0.96963,0.97009
"10","2017/09/27",0.96823,0.97679,0.96817,0.97189
"10","2017/09/26",0.96652,0.97249,0.96508,0.96868
"10","2017/09/25",0.97025,0.97439,0.96403,0.96619
"10","2017/09/22",0.97021,0.97080,0.96665,0.96997
"10","2017/09/21",0.96917,0.97460,0.96834,0.97056
"10","2017/09/20",0.96205,0.97163,0.95864,0.96961
"10","2017/09/19",0.96114,0.96471,0.95934,0.96262
"10","2017/09/18",0.96061,0.96389,0.95788,0.96173
"10","2017/09/15",0.96252,0.96458,0.95631,0.95903
"10","2017/09/14",0.96400,0.97035,0.96164,0.96313
"10","2017/09/13",0.95944,0.96589,0.95820,0.96395
"10","2017/09/12",0.95502,0.96163,0.95446,0.96005
