"通貨ペア","日付","始値","高値","安値","終値"
"12","2018/02/02",0.87633,0.88249,0.87566,0.88204
"12","2018/02/01",0.87356,0.87738,0.87160,0.87676
"12","2018/01/31",0.87642,0.88156,0.87418,0.87463
"12","2018/01/30",0.87932,0.88326,0.87539,0.87662
"12","2018/01/29",0.87843,0.88159,0.87665,0.87974
"12","2018/01/26",0.87588,0.87838,0.87231,0.87814
"12","2018/01/25",0.87075,0.87848,0.86866,0.87649
"12","2018/01/24",0.87789,0.87873,0.86998,0.87164
"12","2018/01/23",0.87642,0.87952,0.87613,0.87832
"12","2018/01/22",0.88272,0.88336,0.87616,0.87656
"12","2018/01/19",0.88029,0.88453,0.88017,0.88241
"12","2018/01/18",0.88080,0.88371,0.88013,0.88094
"12","2018/01/17",0.88838,0.89077,0.88091,0.88101
"12","2018/01/16",0.88885,0.89011,0.88619,0.88874
"12","2018/01/15",0.88809,0.89097,0.88722,0.88908
"12","2018/01/12",0.88823,0.89280,0.88554,0.88764
"12","2018/01/11",0.88413,0.89121,0.88409,0.88857
"12","2018/01/10",0.88112,0.88726,0.88098,0.88447
"12","2018/01/09",0.88179,0.88336,0.88084,0.88157
"12","2018/01/08",0.88676,0.88753,0.88145,0.88208
"12","2018/01/05",0.88997,0.89117,0.88680,0.88687
"12","2018/01/04",0.88852,0.89240,0.88801,0.89045
"12","2018/01/03",0.88655,0.88997,0.88477,0.889
"12","2018/01/02",0.88829,0.89179,0.88585,0.88699
"12","2017/12/29",0.88800,0.88915,0.88573,0.88859
"12","2017/12/28",0.88673,0.88936,0.88662,0.8883
"12","2017/12/27",0.88620,0.88869,0.88534,0.88715
"12","2017/12/26",0.88733,0.88929,0.88626,0.88672
"12","2017/12/25",0.88558,0.88721,0.88484,0.88696
"12","2017/12/22",0.88652,0.88868,0.88354,0.88759
"12","2017/12/21",0.88732,0.88897,0.88675,0.88711
"12","2017/12/20",0.88416,0.88790,0.88282,0.8877
"12","2017/12/19",0.87983,0.88662,0.87972,0.88435
"12","2017/12/18",0.88185,0.88403,0.87922,0.88032
"12","2017/12/15",0.87642,0.88592,0.87612,0.88205
"12","2017/12/14",0.88133,0.88332,0.87602,0.87681
"12","2017/12/13",0.88082,0.88349,0.87821,0.88194
"12","2017/12/12",0.88209,0.88454,0.87905,0.88162
"12","2017/12/11",0.87860,0.88442,0.87724,0.88238
"12","2017/12/08",0.87317,0.88059,0.86890,0.87804
"12","2017/12/07",0.88042,0.88497,0.87332,0.87368
"12","2017/12/06",0.87933,0.88531,0.87924,0.88061
"12","2017/12/05",0.87992,0.88674,0.87793,0.87988
"12","2017/12/04",0.88175,0.88327,0.87555,0.88033
"12","2017/12/01",0.87941,0.88438,0.87883,0.88281
"12","2017/11/30",0.88286,0.88384,0.87762,0.87974
"12","2017/11/29",0.88713,0.88748,0.88168,0.88326
"12","2017/11/28",0.89288,0.89814,0.88469,0.88771
"12","2017/11/27",0.89491,0.89667,0.89243,0.89327
"12","2017/11/24",0.89023,0.89620,0.88926,0.89546
"12","2017/11/23",0.88687,0.89114,0.88659,0.89034
"12","2017/11/22",0.88609,0.88912,0.88536,0.88706
"12","2017/11/21",0.88590,0.88852,0.88416,0.88673
"12","2017/11/20",0.89137,0.89224,0.88563,0.88669
