"通貨ペア","日付","始値","高値","安値","終値"
"13","2018/03/02",77.016,77.250,76.134,76.497
"13","2018/03/01",76.831,77.693,76.600,77.015
"13","2018/02/28",77.625,77.798,76.839,76.883
"13","2018/02/27",78.055,78.111,77.624,77.651
"13","2018/02/26",78.154,78.295,77.753,78.112
"13","2018/02/23",78.345,78.395,77.628,77.85
"13","2018/02/22",78.806,78.838,78.178,78.347
"13","2018/02/21",78.745,79.287,78.724,78.836
"13","2018/02/20",78.533,78.921,78.435,78.84
"13","2018/02/19",78.408,78.778,78.379,78.558
"13","2018/02/16",78.575,78.772,78.305,78.541
"13","2018/02/15",78.779,78.914,78.314,78.609
"13","2018/02/14",78.348,78.924,77.632,78.788
"13","2018/02/13",78.869,79.000,78.217,78.429
"13","2018/02/12",78.833,79.076,78.478,78.897
"13","2018/02/09",78.481,79.055,78.079,78.924
"13","2018/02/08",79.132,79.277,78.269,78.476
"13","2018/02/07",80.331,80.568,78.916,79.091
"13","2018/02/06",79.239,80.529,78.802,80.396
"13","2018/02/05",80.284,80.513,79.202,79.26
"13","2018/02/02",80.873,81.016,80.359,80.428
"13","2018/02/01",80.356,81.050,80.356,80.892
"13","2018/01/31",79.697,80.899,79.692,80.42
"13","2018/01/30",79.780,79.918,79.146,79.727
"13","2018/01/29",79.786,79.984,79.604,79.742
"13","2018/01/26",80.079,80.413,79.582,79.897
"13","2018/01/25",80.049,80.584,79.943,80.114
"13","2018/01/24",81.054,81.172,80.238,80.244
"13","2018/01/23",81.223,81.548,80.738,81.082
"13","2018/01/22",80.511,81.259,80.448,81.252
"13","2018/01/19",80.957,81.090,80.419,80.638
"13","2018/01/18",80.869,81.254,80.647,81.084
"13","2018/01/17",80.243,81.189,80.133,80.91
"13","2018/01/16",80.631,81.009,80.168,80.304
"13","2018/01/15",80.365,80.858,80.319,80.661
"13","2018/01/12",80.760,80.884,80.381,80.54
"13","2018/01/11",80.172,80.775,80.085,80.773
"13","2018/01/10",80.635,80.645,79.996,80.206
"13","2018/01/09",81.121,81.295,80.553,80.653
"13","2018/01/08",80.903,81.256,80.903,81.141
"13","2018/01/05",80.613,81.253,80.605,81.056
"13","2018/01/04",79.737,80.733,79.718,80.637
"13","2018/01/03",79.751,79.919,79.467,79.755
"13","2018/01/02",79.992,80.287,78.741,79.757
"13","2017/12/29",79.962,80.154,79.797,79.845
"13","2017/12/28",79.847,80.136,79.813,79.982
"13","2017/12/27",79.649,80.149,79.553,80.037
"13","2017/12/26",79.534,79.715,79.416,79.707
"13","2017/12/25",79.308,79.608,79.308,79.557
"13","2017/12/22",79.474,79.602,79.370,79.569
"13","2017/12/21",79.480,79.629,79.236,79.484
"13","2017/12/20",78.657,79.472,78.521,79.466
"13","2017/12/19",78.676,79.016,78.619,78.664
"13","2017/12/18",78.855,79.185,78.680,78.695
"13","2017/12/15",78.424,78.973,78.373,78.73
"13","2017/12/14",79.024,79.195,78.385,78.496
"13","2017/12/13",78.691,79.171,78.607,79.023
"13","2017/12/12",78.420,78.875,78.340,78.705
"13","2017/12/11",77.622,78.582,77.567,78.442
"13","2017/12/08",77.209,77.796,77.179,77.587
"13","2017/12/07",77.210,77.407,76.918,77.225
"13","2017/12/06",77.394,77.535,77.086,77.217
"13","2017/12/05",77.053,77.721,77.047,77.391
"13","2017/12/04",77.368,77.575,76.989,77.095
"13","2017/12/01",76.868,77.427,76.717,77.238
"13","2017/11/30",76.968,77.144,76.575,76.901
"13","2017/11/29",76.884,77.222,76.745,76.999
"13","2017/11/28",76.761,77.333,76.722,76.864
"13","2017/11/27",76.697,76.904,76.319,76.767
"13","2017/11/24",76.606,76.813,76.479,76.729
"13","2017/11/23",76.507,76.768,76.266,76.609
"13","2017/11/22",76.796,76.928,76.409,76.514
"13","2017/11/21",76.643,76.876,76.369,76.767
"13","2017/11/20",76.276,76.721,76.076,76.675
"13","2017/11/17",77.377,77.493,76.191,76.385
"13","2017/11/16",77.561,77.614,77.295,77.378
"13","2017/11/15",77.952,78.088,77.512,77.579
"13","2017/11/14",78.299,78.435,77.801,77.992
"13","2017/11/13",78.563,78.777,78.204,78.411
"13","2017/11/10",78.781,78.887,78.428,78.629
"13","2017/11/09",79.248,79.446,78.641,78.761
"13","2017/11/08",78.626,79.383,78.481,79.182
"13","2017/11/07",78.933,79.128,78.497,78.65
"13","2017/11/06",78.727,79.160,78.560,78.952
"13","2017/11/03",78.811,79.196,78.731,78.76
"13","2017/11/02",78.611,78.968,78.565,78.844
"13","2017/11/01",77.769,78.958,77.685,78.586
"13","2017/10/31",77.795,77.856,77.333,77.785
"13","2017/10/30",78.051,78.139,77.643,77.819
"13","2017/10/27",77.941,78.251,77.849,78.108
"13","2017/10/26",78.313,78.352,77.821,78.023
"13","2017/10/25",78.577,78.709,77.919,78.3
"13","2017/10/24",78.983,79.346,78.302,78.635
"13","2017/10/23",79.046,79.467,78.910,78.988
"13","2017/10/20",79.125,79.226,78.803,79.017
"13","2017/10/19",80.772,80.943,78.889,79.09
"13","2017/10/18",80.402,80.783,80.176,80.761
"13","2017/10/17",80.393,80.863,80.260,80.432
"13","2017/10/16",80.271,80.475,80.126,80.444
