"通貨ペア","日付","始値","高値","安値","終値"
"14","2018/01/26",116.188,116.934,115.780,116.378
"14","2018/01/25",115.398,117.002,115.333,116.194
"14","2018/01/24",115.096,115.828,114.973,115.496
"14","2018/01/23",115.282,115.479,114.773,115.122
"14","2018/01/22",115.023,115.420,114.913,115.307
"14","2018/01/19",115.799,115.936,114.896,115.056
"14","2018/01/18",115.202,115.993,115.139,115.84
"14","2018/01/17",115.098,115.559,114.776,115.292
"14","2018/01/16",114.734,115.204,114.536,115.126
"14","2018/01/15",114.690,115.156,114.405,114.752
"14","2018/01/12",113.943,114.859,113.830,114.651
"14","2018/01/11",113.860,114.488,113.738,113.998
"14","2018/01/10",114.604,114.608,113.649,113.89
"14","2018/01/09",115.755,115.792,114.282,114.566
"14","2018/01/08",115.985,116.089,115.429,115.695
"14","2018/01/05",115.600,116.143,115.596,116.001
"14","2018/01/04",115.078,115.828,115.065,115.642
"14","2018/01/03",115.519,115.574,114.703,115.145
"14","2018/01/02",115.490,115.822,115.285,115.563
"14","2017/12/29",115.269,115.740,115.125,115.6
"14","2017/12/28",114.813,115.496,114.746,115.327
"14","2017/12/27",114.377,114.890,114.258,114.886
"14","2017/12/26",114.497,114.654,114.250,114.411
"14","2017/12/25",114.349,114.649,114.349,114.478
"14","2017/12/22",114.601,114.676,114.333,114.477
"14","2017/12/21",114.947,115.166,114.452,114.594
"14","2017/12/20",114.544,115.145,114.442,114.89
"14","2017/12/19",114.173,114.717,114.118,114.61
"14","2017/12/18",113.831,114.222,113.397,114.163
"14","2017/12/15",113.588,113.797,113.277,113.787
"14","2017/12/14",114.196,114.453,113.435,113.645
"14","2017/12/13",114.473,114.537,114.078,114.196
"14","2017/12/12",114.412,114.669,114.282,114.511
"14","2017/12/11",114.163,114.548,114.163,114.463
"14","2017/12/08",113.675,114.383,113.675,114.325
"14","2017/12/07",113.371,113.777,113.364,113.726
"14","2017/12/06",114.052,114.092,113.276,113.42
"14","2017/12/05",114.083,114.381,113.884,114.002
"14","2017/12/04",114.917,115.158,114.031,114.077
"14","2017/12/01",114.379,114.924,114.089,114.864
"14","2017/11/30",113.551,114.534,113.544,114.409
"14","2017/11/29",113.216,113.746,113.156,113.692
"14","2017/11/28",113.132,113.408,112.953,113.261
"14","2017/11/27",113.843,113.951,113.053,113.12
"14","2017/11/24",113.257,113.979,113.255,113.88
"14","2017/11/23",113.173,113.488,113.126,113.237
"14","2017/11/22",113.491,113.598,113.133,113.276
"14","2017/11/21",113.326,113.446,113.097,113.384
"14","2017/11/20",113.378,113.509,113.054,113.348
"14","2017/11/17",113.661,113.800,113.111,113.344
"14","2017/11/16",114.081,114.336,113.509,113.694
"14","2017/11/15",114.645,114.674,114.096,114.152
"14","2017/11/14",113.966,114.689,113.958,114.627
"14","2017/11/13",113.897,114.080,113.505,114.051
"14","2017/11/10",114.119,114.277,113.827,113.973
"14","2017/11/09",113.771,114.115,113.269,114.113
