"通貨ペア","日付","始値","高値","安値","終値"
"18","2017/12/01",1.33046,1.33204,1.31381,1.31556
"18","2017/11/30",1.32086,1.33135,1.31902,1.33089
"18","2017/11/29",1.31370,1.32342,1.31188,1.3203
"18","2017/11/28",1.30698,1.31699,1.29992,1.31205
"18","2017/11/27",1.30426,1.31199,1.30334,1.3073
"18","2017/11/24",1.30557,1.30823,1.30301,1.30528
"18","2017/11/23",1.30803,1.30885,1.30308,1.3067
"18","2017/11/22",1.31135,1.31323,1.30411,1.30813
"18","2017/11/21",1.31456,1.31829,1.31113,1.31227
"18","2017/11/20",1.30665,1.31521,1.30287,1.31416
"18","2017/11/17",1.31126,1.31480,1.30504,1.30672
"18","2017/11/16",1.30173,1.31141,1.30075,1.31112
"18","2017/11/15",1.30152,1.30392,1.29533,1.30191
"18","2017/11/14",1.30619,1.30755,1.29807,1.30263
"18","2017/11/13",1.31091,1.31260,1.30002,1.30629
"18","2017/11/10",1.30634,1.31629,1.30436,1.31355
"18","2017/11/09",1.31106,1.31423,1.30291,1.30629
"18","2017/11/08",1.31642,1.31682,1.30792,1.31173
"18","2017/11/07",1.31345,1.31718,1.30973,1.31662
"18","2017/11/06",1.30583,1.31430,1.30583,1.3138
"18","2017/11/03",1.30460,1.31025,1.30314,1.30734
"18","2017/11/02",1.32815,1.32924,1.30278,1.30513
"18","2017/11/01",1.32434,1.33276,1.32404,1.32877
"18","2017/10/31",1.31293,1.32575,1.31285,1.32468
"18","2017/10/30",1.30938,1.31910,1.30938,1.31298
"18","2017/10/27",1.31251,1.31383,1.30538,1.30964
"18","2017/10/26",1.31193,1.31352,1.30523,1.31231
"18","2017/10/25",1.30124,1.31636,1.29830,1.31163
"18","2017/10/24",1.29945,1.30264,1.29722,1.30095
"18","2017/10/23",1.29839,1.30290,1.29704,1.29953
"18","2017/10/20",1.28421,1.29939,1.28297,1.29814
"18","2017/10/19",1.29583,1.29630,1.28267,1.28382
"18","2017/10/18",1.29030,1.29578,1.28911,1.29565
