"通貨ペア","日付","始値","高値","安値","終値"
"21","2018/06/08",1.08403,1.08521,1.07758,1.08041
"21","2018/06/07",1.08922,1.08988,1.08255,1.08442
"21","2018/06/06",1.08351,1.08990,1.08320,1.08953
"21","2018/06/05",1.08765,1.08846,1.08274,1.08389
"21","2018/06/04",1.08293,1.08853,1.08283,1.08731
"21","2018/06/01",1.08018,1.08358,1.07744,1.08347
"21","2018/05/31",1.08355,1.08546,1.07743,1.08084
"21","2018/05/30",1.08718,1.08899,1.08021,1.08378
"21","2018/05/29",1.08646,1.08873,1.08432,1.08735
"21","2018/05/28",1.09085,1.09209,1.08619,1.0869
"21","2018/05/25",1.09319,1.09586,1.09086,1.09135
"21","2018/05/24",1.09197,1.09378,1.09094,1.09311
"21","2018/05/23",1.09184,1.09403,1.09071,1.09281
"21","2018/05/22",1.09074,1.09441,1.08936,1.09214
"21","2018/05/21",1.08532,1.09252,1.08494,1.09153
"21","2018/05/18",1.09120,1.09266,1.08491,1.08514
"21","2018/05/17",1.08903,1.09371,1.08699,1.09174
"21","2018/05/16",1.08806,1.08979,1.08483,1.08936
"21","2018/05/15",1.08822,1.08978,1.08505,1.08879
"21","2018/05/14",1.08284,1.08925,1.08253,1.08831
"21","2018/05/11",1.08124,1.08402,1.07930,1.08237
"21","2018/05/10",1.07339,1.08216,1.07313,1.08169
"21","2018/05/09",1.06836,1.06949,1.06556,1.06816
"21","2018/05/08",1.06992,1.07159,1.06758,1.06917
"21","2018/05/07",1.07346,1.07363,1.06965,1.07098
"21","2018/05/04",1.06901,1.07534,1.06850,1.07308
"21","2018/05/03",1.07042,1.07288,1.06718,1.06934
"21","2018/05/02",1.06855,1.07234,1.06559,1.07094
"21","2018/05/01",1.06948,1.07185,1.06828,1.06919
"21","2018/04/30",1.06891,1.07123,1.06800,1.06994
"21","2018/04/27",1.06898,1.07155,1.06778,1.06923
"21","2018/04/26",1.06921,1.07264,1.06816,1.06911
"21","2018/04/25",1.06721,1.07117,1.06668,1.06985
"21","2018/04/24",1.06340,1.06941,1.06222,1.06787
"21","2018/04/23",1.06229,1.06593,1.06151,1.06346
"21","2018/04/20",1.06233,1.06596,1.06172,1.06346
"21","2018/04/19",1.06293,1.06702,1.06024,1.06265
"21","2018/04/18",1.05823,1.06307,1.05733,1.06269
"21","2018/04/17",1.05609,1.05992,1.05491,1.05812
"21","2018/04/16",1.05557,1.05897,1.05487,1.05666
"21","2018/04/13",1.05076,1.05803,1.05064,1.05579
"21","2018/04/12",1.05345,1.05505,1.04853,1.05148
"21","2018/04/11",1.05305,1.05531,1.05088,1.05411
"21","2018/04/10",1.05268,1.05555,1.05111,1.05371
"21","2018/04/09",1.05432,1.05596,1.05015,1.05351
"21","2018/04/06",1.05532,1.06063,1.05372,1.05438
"21","2018/04/05",1.05471,1.05738,1.05227,1.05671
"21","2018/04/04",1.05819,1.05939,1.05244,1.05588
"21","2018/04/03",1.06167,1.06543,1.05650,1.05868
"21","2018/04/02",1.06164,1.06358,1.05966,1.06155
"21","2018/03/30",1.06100,1.06450,1.05952,1.06077
"21","2018/03/29",1.06180,1.06667,1.06149,1.06163
"21","2018/03/28",1.05614,1.06345,1.05561,1.06227
"21","2018/03/27",1.06089,1.06245,1.05616,1.05682
"21","2018/03/26",1.06397,1.06503,1.05824,1.06143
"21","2018/03/23",1.06727,1.06881,1.06257,1.0631
"21","2018/03/22",1.07412,1.07595,1.06529,1.06685
"21","2018/03/21",1.06863,1.07536,1.06857,1.07408
"21","2018/03/20",1.06488,1.07010,1.06365,1.06921
"21","2018/03/19",1.06811,1.06894,1.06330,1.06522
"21","2018/03/16",1.07085,1.07579,1.06841,1.06849
"21","2018/03/15",1.07395,1.07816,1.07090,1.07099
"21","2018/03/14",1.07209,1.07758,1.07020,1.07387
"21","2018/03/13",1.07868,1.07933,1.07135,1.07263
"21","2018/03/12",1.07624,1.07992,1.07381,1.0789
"21","2018/03/09",1.07172,1.07694,1.07018,1.07649
"21","2018/03/08",1.07410,1.07564,1.07116,1.07228
"21","2018/03/07",1.07220,1.07426,1.06630,1.07339
"21","2018/03/06",1.07374,1.07638,1.07020,1.07278
"21","2018/03/05",1.07217,1.07449,1.07026,1.07399
"21","2018/03/02",1.06915,1.07328,1.06583,1.07223
"21","2018/03/01",1.07581,1.07736,1.06845,1.06964
"21","2018/02/28",1.07590,1.08240,1.07563,1.07654
"21","2018/02/27",1.07456,1.07832,1.07445,1.07617
"21","2018/02/26",1.07468,1.07680,1.07129,1.07478
"21","2018/02/23",1.06748,1.07474,1.06746,1.07461
"21","2018/02/22",1.06566,1.06941,1.06518,1.06854
