"通貨ペア","日付","始値","高値","安値","終値"
"22","2017/11/03",0.69027,0.69351,0.69004,0.69061
"22","2017/11/02",0.69062,0.69369,0.68824,0.69072
"22","2017/11/01",0.68251,0.69244,0.68165,0.69066
"22","2017/10/31",0.68338,0.68443,0.68079,0.68263
"22","2017/10/30",0.68460,0.68565,0.68165,0.68355
"22","2017/10/27",0.68206,0.68739,0.68065,0.6851
"22","2017/10/26",0.68145,0.68319,0.67928,0.68266
"22","2017/10/25",0.68355,0.68475,0.67848,0.6811
"22","2017/10/24",0.68595,0.68924,0.68158,0.6838
"22","2017/10/23",0.68383,0.68842,0.68300,0.68578
"22","2017/10/20",0.68607,0.68704,0.68249,0.68535
"22","2017/10/19",0.70171,0.70265,0.68369,0.68588
"22","2017/10/18",0.70115,0.70205,0.69768,0.70188
"22","2017/10/17",0.69884,0.70291,0.69884,0.70125
"22","2017/10/16",0.69935,0.70197,0.69824,0.69938
"22","2017/10/13",0.69484,0.70147,0.69379,0.70014
"22","2017/10/12",0.68924,0.69621,0.68905,0.6952
"22","2017/10/11",0.68869,0.69144,0.68689,0.68905
"22","2017/10/10",0.69170,0.69291,0.68883,0.68938
"22","2017/10/09",0.69054,0.69357,0.69006,0.69177
"22","2017/10/06",0.69582,0.69646,0.69271,0.69292
"22","2017/10/05",0.69818,0.69921,0.69591,0.69624
"22","2017/10/04",0.69648,0.69968,0.69580,0.69859
"22","2017/10/03",0.70000,0.70287,0.69585,0.69673
"22","2017/10/02",0.69805,0.70211,0.69634,0.70135
"22","2017/09/29",0.70158,0.70183,0.69839,0.69878
"22","2017/09/28",0.69983,0.70318,0.69800,0.702
"22","2017/09/27",0.69780,0.70385,0.69735,0.69963
"22","2017/09/26",0.70217,0.70300,0.69637,0.69798
"22","2017/09/25",0.71072,0.71084,0.69967,0.70176
"22","2017/09/22",0.70871,0.71165,0.70434,0.71045
"22","2017/09/21",0.71278,0.71415,0.70857,0.70901
"22","2017/09/20",0.70364,0.71363,0.70198,0.71301
"22","2017/09/19",0.69780,0.70521,0.69727,0.7041
"22","2017/09/18",0.69992,0.70458,0.69684,0.69859
"22","2017/09/15",0.69490,0.70123,0.69423,0.69926
"22","2017/09/14",0.69777,0.70153,0.69405,0.69566
"22","2017/09/13",0.69895,0.70099,0.69640,0.69769
"22","2017/09/12",0.69263,0.70131,0.68995,0.69973
"22","2017/09/11",0.68703,0.69344,0.68469,0.69344
"22","2017/09/08",0.68699,0.69253,0.68569,0.68586
"22","2017/09/07",0.68827,0.69035,0.68490,0.68735
"22","2017/09/06",0.69072,0.69230,0.68673,0.6882
"22","2017/09/05",0.68541,0.69481,0.68425,0.69069
"22","2017/09/04",0.68620,0.68951,0.68481,0.68599
"22","2017/09/01",0.68796,0.69153,0.68560,0.6907
"22","2017/08/31",0.69323,0.69453,0.68738,0.68782
"22","2017/08/30",0.69254,0.69503,0.69003,0.69345
"22","2017/08/29",0.69155,0.69312,0.68593,0.69298
"22","2017/08/28",0.69089,0.69346,0.68946,0.69308
"22","2017/08/25",0.69574,0.69708,0.69096,0.69204
