"通貨ペア","日付","始値","高値","安値","終値"
"24","2018/03/09",1.58157,1.58244,1.56776,1.568
"24","2018/03/08",1.58588,1.59403,1.57886,1.58118
"24","2018/03/07",1.58556,1.59775,1.58529,1.58582
"24","2018/03/06",1.58881,1.59104,1.58231,1.58479
"24","2018/03/05",1.58752,1.59364,1.58592,1.58882
"24","2018/03/02",1.58125,1.59195,1.57867,1.58781
"24","2018/03/01",1.57167,1.58145,1.57000,1.5812
"24","2018/02/28",1.57000,1.57159,1.56262,1.57095
"24","2018/02/27",1.56784,1.57343,1.56601,1.5706
"24","2018/02/26",1.56728,1.57174,1.56179,1.56826
"24","2018/02/23",1.57124,1.57587,1.56867,1.56893
"24","2018/02/22",1.57363,1.57549,1.56758,1.57156
"24","2018/02/21",1.56513,1.57475,1.56169,1.57404
"24","2018/02/20",1.56745,1.56997,1.56059,1.56483
"24","2018/02/19",1.56809,1.57010,1.56509,1.56779
"24","2018/02/16",1.57396,1.57725,1.56760,1.56843
"24","2018/02/15",1.57090,1.58044,1.56747,1.57437
"24","2018/02/14",1.57158,1.58163,1.56910,1.57092
"24","2018/02/13",1.56359,1.57791,1.56067,1.57134
"24","2018/02/12",1.56706,1.57121,1.56228,1.56335
"24","2018/02/09",1.57425,1.57840,1.56471,1.56671
"24","2018/02/08",1.56693,1.57446,1.56480,1.57319
"24","2018/02/07",1.56507,1.57462,1.56382,1.56834
"24","2018/02/06",1.56926,1.57964,1.56551,1.56593
"24","2018/02/05",1.57140,1.57573,1.56338,1.56943
"24","2018/02/02",1.55587,1.57301,1.55523,1.57178
"24","2018/02/01",1.54033,1.55760,1.53937,1.5553
"24","2018/01/31",1.53379,1.54248,1.53132,1.54061
"24","2018/01/30",1.52922,1.53787,1.52773,1.53422
"24","2018/01/29",1.53354,1.53598,1.52593,1.5297
"24","2018/01/26",1.54406,1.54666,1.52949,1.53198
"24","2018/01/25",1.54076,1.54946,1.53347,1.5435
"24","2018/01/24",1.53763,1.53980,1.52782,1.53711
"24","2018/01/23",1.52901,1.53977,1.52846,1.53713
"24","2018/01/22",1.53359,1.53410,1.52689,1.52935
"24","2018/01/19",1.52976,1.53245,1.52691,1.52978
"24","2018/01/18",1.52911,1.53435,1.52602,1.53006
"24","2018/01/17",1.54030,1.54094,1.52667,1.52849
"24","2018/01/16",1.53961,1.54242,1.53407,1.53967
"24","2018/01/15",1.54263,1.54406,1.53516,1.53997
"24","2018/01/12",1.52430,1.54459,1.52397,1.54007
"24","2018/01/11",1.52359,1.53124,1.51544,1.52432
"24","2018/01/10",1.52534,1.53112,1.52338,1.52347
"24","2018/01/09",1.52571,1.52735,1.52162,1.52565
"24","2018/01/08",1.52954,1.53408,1.52525,1.52625
"24","2018/01/05",1.53446,1.53942,1.52884,1.53004
"24","2018/01/04",1.53285,1.54149,1.53123,1.53427
"24","2018/01/03",1.53993,1.54306,1.53154,1.53343
"24","2018/01/02",1.53914,1.54287,1.53221,1.54016
"24","2017/12/29",1.53072,1.53933,1.53033,1.53755
"24","2017/12/28",1.53139,1.53486,1.52874,1.53122
"24","2017/12/27",1.53425,1.53556,1.52789,1.52946
"24","2017/12/26",1.53719,1.53845,1.53443,1.53446
"24","2017/12/25",1.53607,1.53732,1.53406,1.53603
"24","2017/12/22",1.54124,1.54162,1.53253,1.53748
"24","2017/12/21",1.54869,1.55199,1.53950,1.54145
"24","2017/12/20",1.54475,1.55269,1.54191,1.54867
"24","2017/12/19",1.53740,1.54667,1.53605,1.54522
"24","2017/12/18",1.53599,1.54246,1.53415,1.53693
"24","2017/12/15",1.53629,1.54101,1.53219,1.53777
"24","2017/12/14",1.54891,1.55215,1.53473,1.53614
"24","2017/12/13",1.55239,1.55562,1.54406,1.54887
"24","2017/12/12",1.56359,1.56591,1.55170,1.55325
"24","2017/12/11",1.56628,1.56826,1.56250,1.56347
"24","2017/12/08",1.56698,1.56838,1.56012,1.56702
"24","2017/12/07",1.55980,1.56957,1.55920,1.56732
"24","2017/12/06",1.55442,1.56303,1.54876,1.55938
"24","2017/12/05",1.56136,1.56161,1.54930,1.55477
"24","2017/12/04",1.56150,1.56386,1.55628,1.56152
"24","2017/12/01",1.57339,1.57702,1.55775,1.56342
"24","2017/11/30",1.56414,1.57497,1.56132,1.57349
"24","2017/11/29",1.55877,1.56789,1.55741,1.56477
"24","2017/11/28",1.56452,1.56881,1.55681,1.55897
"24","2017/11/27",1.56558,1.56969,1.56150,1.56476
"24","2017/11/24",1.55377,1.56734,1.55228,1.5664
"24","2017/11/23",1.55126,1.55593,1.55105,1.55356
"24","2017/11/22",1.54896,1.55634,1.54645,1.55104
"24","2017/11/21",1.55404,1.55915,1.54587,1.54881
"24","2017/11/20",1.55761,1.56059,1.55057,1.55378
"24","2017/11/17",1.55042,1.56566,1.55024,1.5584
"24","2017/11/16",1.55358,1.55591,1.54840,1.55075
"24","2017/11/15",1.54583,1.56058,1.54506,1.55388
"24","2017/11/14",1.53065,1.54724,1.52789,1.54566
"24","2017/11/13",1.52291,1.53041,1.51966,1.53009
