"通貨ペア","日付","始値","高値","安値","終値"
"15","2019/07/08",1.11264,1.11556,1.10691,1.10885
"15","2019/07/01",1.11167,1.11697,1.11054,1.11295
"15","2019/06/24",1.10934,1.11431,1.10599,1.10993
"15","2019/06/17",1.11901,1.12197,1.10544,1.10986
"15","2019/06/10",1.11957,1.12621,1.11829,1.11931
"15","2019/06/03",1.11766,1.12047,1.11172,1.11883
"15","2019/05/27",1.12254,1.12761,1.11688,1.11784
"15","2019/05/20",1.12807,1.12905,1.11931,1.12225
"15","2019/05/13",1.13517,1.13627,1.12619,1.12774
"15","2019/05/06",1.13622,1.14373,1.13575,1.13584
"15","2019/04/29",1.13581,1.14428,1.13581,1.13846
"15","2019/04/22",1.13973,1.14740,1.13486,1.13618
"15","2019/04/15",1.13238,1.14196,1.13214,1.14031
"15","2019/04/08",1.12119,1.13293,1.12086,1.13277
"15","2019/04/01",1.11697,1.12373,1.11647,1.12138
"15","2019/03/25",1.12223,1.12547,1.11612,1.11648
"15","2019/03/18",1.13435,1.13631,1.12098,1.12254
"15","2019/03/11",1.13210,1.13827,1.13132,1.13443
"15","2019/03/04",1.13571,1.13672,1.13056,1.13215
"15","2019/02/25",1.13310,1.13913,1.13250,1.13523
"15","2019/02/18",1.13437,1.13714,1.13278,1.13348
"15","2019/02/11",1.13207,1.14210,1.13074,1.13476
"15","2019/02/04",1.13972,1.14416,1.13200,1.13206
"15","2019/01/28",1.13246,1.14266,1.13079,1.13998
"15","2019/01/21",1.13055,1.13450,1.12569,1.13288
"15","2019/01/14",1.12814,1.13355,1.12429,1.13139
"15","2019/01/07",1.12427,1.13379,1.12070,1.12782
"15","2018/12/31",1.12506,1.12845,1.11425,1.12422
"15","2018/12/24",1.13037,1.13424,1.12127,1.12598
"15","2018/12/17",1.12650,1.13471,1.12460,1.13082
"15","2018/12/10",1.12829,1.13058,1.12227,1.12846
"15","2018/12/03",1.13303,1.13463,1.12785,1.12833
"15","2018/11/26",1.13039,1.13548,1.12588,1.13019
"15","2018/11/19",1.14013,1.14150,1.12929,1.13037
"15","2018/11/12",1.13796,1.14325,1.13321,1.14087
"15","2018/11/05",1.14215,1.14682,1.13808,1.13966
"15","2018/10/29",1.13712,1.14527,1.13631,1.14302
"15","2018/10/22",1.14576,1.14988,1.13406,1.13623
"15","2018/10/15",1.14456,1.14896,1.13897,1.14695
"15","2018/10/08",1.14224,1.14900,1.13668,1.14603
"15","2018/10/01",1.13794,1.14477,1.13103,1.14319
"15","2018/09/24",1.12566,1.14126,1.12488,1.139
"15","2018/09/17",1.12488,1.13251,1.12195,1.12602
"15","2018/09/10",1.11919,1.13415,1.11829,1.12401
"15","2018/09/03",1.12406,1.13182,1.11810,1.11937
"15","2018/08/27",1.14247,1.14519,1.12370,1.12464
"15","2018/08/20",1.13803,1.14273,1.13516,1.1423
"15","2018/08/13",1.13062,1.13924,1.12413,1.13849
"15","2018/08/06",1.14999,1.15554,1.13377,1.1361
"15","2018/07/30",1.15889,1.16020,1.14952,1.14982
"15","2018/07/23",1.16281,1.16397,1.15649,1.15944
"15","2018/07/16",1.16956,1.17117,1.16003,1.16262
"15","2018/07/09",1.16223,1.17063,1.16036,1.17021
"15","2018/07/02",1.15583,1.16374,1.15325,1.16301
"15","2018/06/25",1.15240,1.15983,1.14874,1.1569
"15","2018/06/18",1.15593,1.15698,1.14774,1.1512
"15","2018/06/11",1.15902,1.16546,1.15231,1.15701
"15","2018/06/04",1.15283,1.16377,1.15040,1.15897
"15","2018/05/28",1.15963,1.16264,1.13659,1.15198
